keyword,caption_name,alert_threshold,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
issued,issued,general.alert2.local,188296,Media,issued,,dgm_extratwitterevent,28e32fb02cd44e44796348fbc2b93e1c,dgm_extratwitterevent__28e32fb02cd44e44796348fbc2b93e1c
cancelled,canceled,general.alert3,188297,Media,canceled,,dgm_extratwitterevent,d5c39a1d9aced393f835f334a1fb9206,dgm_extratwitterevent__d5c39a1d9aced393f835f334a1fb9206
discontinued,discontinued,general.alert3,188297,ForeignMinistry,discontinued,,dgm_extratwitterevent,d26fe686e5d8db762b4368ae14c7d242,dgm_extratwitterevent__d26fe686e5d8db762b4368ae14c7d242
updated,updated,general.alert2.local,188296,News,updated,,dgm_extratwitterevent,0f81d52e06caaa4860887488d18271c7,dgm_extratwitterevent__0f81d52e06caaa4860887488d18271c7
extended,extended,general.alert2.local,188296,ForeignMinistry,extended,,dgm_extratwitterevent,d3e78e3d3b68cb0fbd9f66dcaef93cea,dgm_extratwitterevent__d3e78e3d3b68cb0fbd9f66dcaef93cea
deactivated,deactivated,general.alert3,188297,Diplomat,deactivated,,dgm_extratwitterevent,7c04d50ec1496027d0ed6fd0d6f00a85,dgm_extratwitterevent__7c04d50ec1496027d0ed6fd0d6f00a85
canceled,canceled,general.alert3,188297,ForeignMinistry,canceled,,dgm_extratwitterevent,d5c39a1d9aced393f835f334a1fb9206,dgm_extratwitterevent__d5c39a1d9aced393f835f334a1fb9206
district https,issued,general.alert2.local,188296,Person,issued,,dgm_extratwitterevent,28e32fb02cd44e44796348fbc2b93e1c,dgm_extratwitterevent__28e32fb02cd44e44796348fbc2b93e1c
has been located https,canceled,general.alert3,188297,IndustryTerm,canceled,,dgm_extratwitterevent,d5c39a1d9aced393f835f334a1fb9206,dgm_extratwitterevent__d5c39a1d9aced393f835f334a1fb9206
active,issued,general.alert2.local,188296,ForeignMinister,issued,,dgm_extratwitterevent,28e32fb02cd44e44796348fbc2b93e1c,dgm_extratwitterevent__28e32fb02cd44e44796348fbc2b93e1c
continues,continues,general.alert3,188296,Exec,continues,,dgm_extratwitterevent,340bac32dadc0feb0ba6cc0ffac94515,dgm_extratwitterevent__340bac32dadc0feb0ba6cc0ffac94515
alert activation,issued,general.alert2.local,188296,Wells,issued,,dgm_extratwitterevent,28e32fb02cd44e44796348fbc2b93e1c,dgm_extratwitterevent__28e32fb02cd44e44796348fbc2b93e1c
deactivation,deactivated,general.alert3,188297,Pipeline,deactivated,,dgm_extratwitterevent,7c04d50ec1496027d0ed6fd0d6f00a85,dgm_extratwitterevent__7c04d50ec1496027d0ed6fd0d6f00a85
