fentanyl_keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
运输,transport,DiplomaticFacilities,transport,,dgm_fentanylsalementions,7b334b7260361141659fa9862e803476,dgm_fentanylsalementions__7b334b7260361141659fa9862e803476
走私,smuggling,Shipping,smuggling,,dgm_fentanylsalementions,fdf49dda3f31285cf5b1db969b7f7c7e,dgm_fentanylsalementions__fdf49dda3f31285cf5b1db969b7f7c7e
生产,production,News,production,,dgm_fentanylsalementions,fd89784e59c72499525556f80289b2c7,dgm_fentanylsalementions__fd89784e59c72499525556f80289b2c7
制造,production,IndustryTerm,production,,dgm_fentanylsalementions,fd89784e59c72499525556f80289b2c7,dgm_fentanylsalementions__fd89784e59c72499525556f80289b2c7
贩运,transport sale,AAEntity,transport sale,,dgm_fentanylsalementions,88b7da22f2e6920da4b03b6540c07d65,dgm_fentanylsalementions__88b7da22f2e6920da4b03b6540c07d65
管制,regulation,space,regulation,,dgm_fentanylsalementions,b367d9be2f2d5cda285724eb8d1f1c7e,dgm_fentanylsalementions__b367d9be2f2d5cda285724eb8d1f1c7e
管控,regulation control,Pipeline,regulation control,,dgm_fentanylsalementions,1024cb4c893dc57d011fd5b3c7137288,dgm_fentanylsalementions__1024cb4c893dc57d011fd5b3c7137288
线上销售,online sale,AAEntity,online sale,,dgm_fentanylsalementions,968aa0c49935a3295e7b0841aca517ed,dgm_fentanylsalementions__968aa0c49935a3295e7b0841aca517ed
网络销售,online sale,Legislator,online sale,,dgm_fentanylsalementions,968aa0c49935a3295e7b0841aca517ed,dgm_fentanylsalementions__968aa0c49935a3295e7b0841aca517ed
销售,sale,News,sale,,dgm_fentanylsalementions,e70b59714528d5798b1c8adaf0d0ed15,dgm_fentanylsalementions__e70b59714528d5798b1c8adaf0d0ed15
查缴,seizure,Refinery,seizure,,dgm_fentanylsalementions,ef945baa62c4c530af3b3d856e418906,dgm_fentanylsalementions__ef945baa62c4c530af3b3d856e418906
捣毁,crackdown,Keyphrase,crackdown,,dgm_fentanylsalementions,4e196c82faf8d4fb6f7392165c6a5bf1,dgm_fentanylsalementions__4e196c82faf8d4fb6f7392165c6a5bf1
抓获,arrest,News,arrest,,dgm_fentanylsalementions,b6a6ca37a5282cbe169bcfe65b0d6789,dgm_fentanylsalementions__b6a6ca37a5282cbe169bcfe65b0d6789
破获,crackdown,News,crackdown,,dgm_fentanylsalementions,4e196c82faf8d4fb6f7392165c6a5bf1,dgm_fentanylsalementions__4e196c82faf8d4fb6f7392165c6a5bf1
抓捕,arrest,Wells,arrest,,dgm_fentanylsalementions,b6a6ca37a5282cbe169bcfe65b0d6789,dgm_fentanylsalementions__b6a6ca37a5282cbe169bcfe65b0d6789
侦破,crackdown,DiplomaticFacilities,crackdown,,dgm_fentanylsalementions,4e196c82faf8d4fb6f7392165c6a5bf1,dgm_fentanylsalementions__4e196c82faf8d4fb6f7392165c6a5bf1
贩卖,sale,AAEntity,sale,,dgm_fentanylsalementions,e70b59714528d5798b1c8adaf0d0ed15,dgm_fentanylsalementions__e70b59714528d5798b1c8adaf0d0ed15
进出口,import export,Diplomat,import export,,dgm_fentanylsalementions,596bbdefc66993277b2170ed69c9b8fb,dgm_fentanylsalementions__596bbdefc66993277b2170ed69c9b8fb
端掉,crackdown,Keyphrase,crackdown,,dgm_fentanylsalementions,4e196c82faf8d4fb6f7392165c6a5bf1,dgm_fentanylsalementions__4e196c82faf8d4fb6f7392165c6a5bf1
打击,crackdown,Keyphrase,crackdown,,dgm_fentanylsalementions,4e196c82faf8d4fb6f7392165c6a5bf1,dgm_fentanylsalementions__4e196c82faf8d4fb6f7392165c6a5bf1
网络,network,DiplomaticFacilities,network,,dgm_fentanylsalementions,91e02cd2b8621d0c05197f645668c5c4,dgm_fentanylsalementions__91e02cd2b8621d0c05197f645668c5c4
犯罪,crime,Wells,crime,,dgm_fentanylsalementions,bc8fba5b68a7babc05ec51771bf6be21,dgm_fentanylsalementions__bc8fba5b68a7babc05ec51771bf6be21
美国,US,Keyphrase,US,,dgm_fentanylsalementions,7516fd43adaa5e0b8a65a672c39845d2,dgm_fentanylsalementions__7516fd43adaa5e0b8a65a672c39845d2
印度,India,CompanyKeyword,India,,dgm_fentanylsalementions,7d31e0da1ab99fe8b08a22118e2f402b,dgm_fentanylsalementions__7d31e0da1ab99fe8b08a22118e2f402b
墨西哥,Mexico,AAEntity,Mexico,,dgm_fentanylsalementions,8dbb07a18d46f63d8b3c8994d5ccc351,dgm_fentanylsalementions__8dbb07a18d46f63d8b3c8994d5ccc351
菲律宾,Philippines,Media,Philippines,,dgm_fentanylsalementions,77dab2f81a6c8c9136efba7ab2c4c0f2,dgm_fentanylsalementions__77dab2f81a6c8c9136efba7ab2c4c0f2
印度尼西亚,Indonesia,Pipeline,Indonesia,,dgm_fentanylsalementions,4647d00cf81f8fb0ab80f753320d0fc9,dgm_fentanylsalementions__4647d00cf81f8fb0ab80f753320d0fc9
台湾,Taiwan,ForeignMinister,Taiwan,,dgm_fentanylsalementions,551fe18ef47d4e6e9d943b9a68ada21d,dgm_fentanylsalementions__551fe18ef47d4e6e9d943b9a68ada21d
越南,Vietnam,Exec,Vietnam,,dgm_fentanylsalementions,fdef6daa799e80dbce1b561577b21181,dgm_fentanylsalementions__fdef6daa799e80dbce1b561577b21181
新加坡,Singapore,Organization,Singapore,,dgm_fentanylsalementions,458e4cbc78201c1aec5fc53a31c59378,dgm_fentanylsalementions__458e4cbc78201c1aec5fc53a31c59378
柬埔寨,Cambodia,IndustryTerm,Cambodia,,dgm_fentanylsalementions,06c7a3c3a3344a62864b951aec4df830,dgm_fentanylsalementions__06c7a3c3a3344a62864b951aec4df830
泰国,Thailand,CompanyKeyword,Thailand,,dgm_fentanylsalementions,103357e3e40a9c0e4e9d36110f7bbc7a,dgm_fentanylsalementions__103357e3e40a9c0e4e9d36110f7bbc7a
马来西亚,Malaysia,News,Malaysia,,dgm_fentanylsalementions,3f0e49c46cbde0c7adf5ea04a97ab261,dgm_fentanylsalementions__3f0e49c46cbde0c7adf5ea04a97ab261
斯里兰卡,Sri Lanka,Keyphrase,Sri Lanka,,dgm_fentanylsalementions,ef547e2d9750443f6d203233dfa38e39,dgm_fentanylsalementions__ef547e2d9750443f6d203233dfa38e39
芬太尼,fentanyl,Wells,fentanyl,,dgm_fentanylsalementions,a2266bea0e0b9ec32d8dcd7ee86c12a5,dgm_fentanylsalementions__a2266bea0e0b9ec32d8dcd7ee86c12a5
