permalink,authority_caption,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
5492443184,Anti Drug Authority in Beijing,beijing,ForeignMinistry,Anti Drug Authority in Beijing,,dgm_fentanylsources,287ebd77c60c272bc6bc4998178754b0,dgm_fentanylsources__287ebd77c60c272bc6bc4998178754b0
5703799536,Chinese National Anti Drug Authority,beijing,ForeignMinister,Chinese National Anti Drug Authority,,dgm_fentanylsources,7d017e4e4da2be0032ad142e538ff169,dgm_fentanylsources__7d017e4e4da2be0032ad142e538ff169
6515176197,"Anti Drug Authority in Nanjing, Jiangsu",nanjing,FTO,"Anti Drug Authority in Nanjing, Jiangsu",,dgm_fentanylsources,4d18574c5039a2e7ff957eccf6b21ffc,dgm_fentanylsources__4d18574c5039a2e7ff957eccf6b21ffc
6238983631,Anti Drug Authority in Hainan,haikou,Refinery,Anti Drug Authority in Hainan,,dgm_fentanylsources,936d53e48905033724dd48f8fb2be3bb,dgm_fentanylsources__936d53e48905033724dd48f8fb2be3bb
5781578422,Anti Drug Authority in Chongqing,chongqing,Person,Anti Drug Authority in Chongqing,,dgm_fentanylsources,57f7c3e84cc16c2976349bac1567571f,dgm_fentanylsources__57f7c3e84cc16c2976349bac1567571f
6361439950,Anti Drug Authority in Shandong,jinan,space,Anti Drug Authority in Shandong,,dgm_fentanylsources,1baeac47cf10205803ec738ff05268b9,dgm_fentanylsources__1baeac47cf10205803ec738ff05268b9
1969817932,Anti Drug Authority in Jilin,jilin,Pipeline,Anti Drug Authority in Jilin,,dgm_fentanylsources,d6ad4c2cdd21398cb9e7f5846cbc2082,dgm_fentanylsources__d6ad4c2cdd21398cb9e7f5846cbc2082
2747973904,Anti Drug Authority in Fujian,fuzhou,Wells,Anti Drug Authority in Fujian,,dgm_fentanylsources,50b80370dd0e65eb2b9482a734b69d12,dgm_fentanylsources__50b80370dd0e65eb2b9482a734b69d12
5998252503,Anti Drug Authority in Shaanxi,xian,Media,Anti Drug Authority in Shaanxi,,dgm_fentanylsources,b75b2f18c4e297c369972fb337f60e5e,dgm_fentanylsources__b75b2f18c4e297c369972fb337f60e5e
2811946900,Anti Drug Authority in Tianjin,tianjin,space,Anti Drug Authority in Tianjin,,dgm_fentanylsources,fec702ea97add4d185a41034db83a978,dgm_fentanylsources__fec702ea97add4d185a41034db83a978
5802679732,Anti Drug Authority in Shanxi,taiyuan,Pipeline,Anti Drug Authority in Shanxi,,dgm_fentanylsources,be9bb9850702607db4ce53a15bb552fd,dgm_fentanylsources__be9bb9850702607db4ce53a15bb552fd
1977460817,Anti Drug Authority in Hunan,changsha,AAEntity,Anti Drug Authority in Hunan,,dgm_fentanylsources,25772941ed4bc582622d32a6c8761363,dgm_fentanylsources__25772941ed4bc582622d32a6c8761363
7316361186,"Anti Drug Authority in Guangzhou, Guangdong",guangzhou,ForeignMinister,"Anti Drug Authority in Guangzhou, Guangdong",,dgm_fentanylsources,3fc8173005a74b448efa04d625d561bf,dgm_fentanylsources__3fc8173005a74b448efa04d625d561bf
5872836496,Anti Drug Authority in Hubei,wuhan,News,Anti Drug Authority in Hubei,,dgm_fentanylsources,38636914c7af593e56b4e58683a49c17,dgm_fentanylsources__38636914c7af593e56b4e58683a49c17
5076834477,Anti Drug Authority in Inner Mongolia,hohhot,Organization,Anti Drug Authority in Inner Mongolia,,dgm_fentanylsources,0fd1b61db6ae164c6728bdf41eec65e3,dgm_fentanylsources__0fd1b61db6ae164c6728bdf41eec65e3
2159710317,"Anti Drug Authority in Jinan, Shandong",jinan,Shipping,"Anti Drug Authority in Jinan, Shandong",,dgm_fentanylsources,587544d6ca77a76e659c60d6461a92e9,dgm_fentanylsources__587544d6ca77a76e659c60d6461a92e9
2319240360,Anti Drug Authority in Anhui,hefei,CompanyKeyword,Anti Drug Authority in Anhui,,dgm_fentanylsources,dd868bc85408e848dabeec7c0df1cf67,dgm_fentanylsources__dd868bc85408e848dabeec7c0df1cf67
1988568472,Anti Drug Authority in Jiangxi,nanchang,ForeignMinister,Anti Drug Authority in Jiangxi,,dgm_fentanylsources,c2ef3bc612ede032df29aa110dd104a1,dgm_fentanylsources__c2ef3bc612ede032df29aa110dd104a1
3302648714,"Anti Drug Authority in Hangzhou, Zhejiang",hangzhou,Wells,"Anti Drug Authority in Hangzhou, Zhejiang",,dgm_fentanylsources,c8c0bae9c3dae3c9331508f73a9be15f,dgm_fentanylsources__c8c0bae9c3dae3c9331508f73a9be15f
