keyword,caption_name,location,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
2 canadian division support base valcartier,"Canadian Forces Base Valcartier in Saint-Gabriel-de-Valcartier, Canada","-71.493055555,46.893055555",forbase1,LegislativeCommittee,"Canadian Forces Base Valcartier in Saint-Gabriel-de-Valcartier, Canada",,dgm_foreignbases,cb06b75d3789ba12b4c7a52c2d3822f9,dgm_foreignbases__cb06b75d3789ba12b4c7a52c2d3822f9
2 cdsb valcartier,"Canadian Forces Base Valcartier in Saint-Gabriel-de-Valcartier, Canada","-71.493055555,46.893055555",forbase1,Diplomat,"Canadian Forces Base Valcartier in Saint-Gabriel-de-Valcartier, Canada",,dgm_foreignbases,cb06b75d3789ba12b4c7a52c2d3822f9,dgm_foreignbases__cb06b75d3789ba12b4c7a52c2d3822f9
32° stormo di amendola,"Italian Air Force Amendola Airport in Puglia, Italy","15.713333,41.538611",forbase2,Consulates,"Italian Air Force Amendola Airport in Puglia, Italy",,dgm_foreignbases,d7d41a3b5e94690d3bedbe9307ef77d1,dgm_foreignbases__d7d41a3b5e94690d3bedbe9307ef77d1
33rd experimental training base,"PLA Luoyang Electronic Equipment Test Center in Luoyang, China","34.6554311,112.1679706",forbase3,Exec,"PLA Luoyang Electronic Equipment Test Center in Luoyang, China",,dgm_foreignbases,cf21ade60aede4ff66a22fa3ea746c09,dgm_foreignbases__cf21ade60aede4ff66a22fa3ea746c09
367 cayenne-rochambeau air base / air base 367,"French Air and Space Force Air Base 367 in Matoury, French Guiana","-52.3757,4.81594",forbase4,Shipping,"French Air and Space Force Air Base 367 in Matoury, French Guiana",,dgm_foreignbases,2e054450acbcdabef74037e332afae57,dgm_foreignbases__2e054450acbcdabef74037e332afae57
374cs tokorozawa transmitter site,"US military Tokorozawa Communication Base in Saitama Prefecture, Japan","35.9156984,139.5788845",forbase5,AAEntity,"US military Tokorozawa Communication Base in Saitama Prefecture, Japan",,dgm_foreignbases,b52ef20af77f47ee1146156a2944e153,dgm_foreignbases__b52ef20af77f47ee1146156a2944e153
3rd canadian division support base detachment wainwright,"Canadian Forces Base Wainwright in Wainwright, Canada","-110.887,52.8242",forbase6,ForeignMinister,"Canadian Forces Base Wainwright in Wainwright, Canada",,dgm_foreignbases,a558859c17d9c3a464a68a38969b0c6a,dgm_foreignbases__a558859c17d9c3a464a68a38969b0c6a
3rd canadian division support base edmonton,"Canadian Forces Base Edmonton in Edmonton, Canada","-113.475555555,53.669166666",forbase7,ForeignMinister,"Canadian Forces Base Edmonton in Edmonton, Canada",,dgm_foreignbases,0c004db0ded7a93c29b1330ceb97c240,dgm_foreignbases__0c004db0ded7a93c29b1330ceb97c240
3rd division support base,"Canadian Forces Base Edmonton in Edmonton, Canada","-113.475555555,53.669166666",forbase7,ForeignMinistry,"Canadian Forces Base Edmonton in Edmonton, Canada",,dgm_foreignbases,0c004db0ded7a93c29b1330ceb97c240,dgm_foreignbases__0c004db0ded7a93c29b1330ceb97c240
4th canadian division support base petawawa,"Canadian Forces Base Petawawa in Petawawa, Canada","-77.29,45.91",forbase8,ForeignMinistry,"Canadian Forces Base Petawawa in Petawawa, Canada",,dgm_foreignbases,da1894bd9bb5802c18fa9669cccbb974,dgm_foreignbases__da1894bd9bb5802c18fa9669cccbb974
