keyword,caption_name,topic_id,guid,group,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@canantifraud,Canadian Anti-Fraud Centre,188354,,anti_fraud_mention,Organization,Canadian Anti-Fraud Centre,,dgm_fraud_agencymention,393841e2e116c9b7af9cce2e292d8f29,dgm_fraud_agencymention__393841e2e116c9b7af9cce2e292d8f29
@euantifraud,EU Anti-Fraud,188354,,anti_fraud_mention,Diplomat,EU Anti-Fraud,,dgm_fraud_agencymention,5e6b34198bff33195fe356c27c75e371,dgm_fraud_agencymention__5e6b34198bff33195fe356c27c75e371
@actionfrauduk,Action Fraud UK,188354,,anti_fraud_mention,Keyphrase,Action Fraud UK,,dgm_fraud_agencymention,d9703bf2a2c21c9d0dd90c709273280d,dgm_fraud_agencymention__d9703bf2a2c21c9d0dd90c709273280d
@uksfo,UK Serious Fraud Office,188354,,anti_fraud_mention,Refinery,UK Serious Fraud Office,,dgm_fraud_agencymention,5b9773b1142aaae5cabf7a27de785d6b,dgm_fraud_agencymention__5b9773b1142aaae5cabf7a27de785d6b
@citypolicefraud,London Fraud Police,188354,,anti_fraud_mention,Wells,London Fraud Police,,dgm_fraud_agencymention,4cf6680575d1ad661e2909b9cc7aafaf,dgm_fraud_agencymention__4cf6680575d1ad661e2909b9cc7aafaf
@citypoliceifed,London Fraud Police IFED,188354,,anti_fraud_mention,LegislativeCommittee,London Fraud Police IFED,,dgm_fraud_agencymention,02020ce36075328f9f05674240401337,dgm_fraud_agencymention__02020ce36075328f9f05674240401337
@nottsfraudcops,Nottinghamshire Fraud Police,188354,,anti_fraud_mention,Exec,Nottinghamshire Fraud Police,,dgm_fraud_agencymention,6c70257a816453d54753fb2deb4a64a7,dgm_fraud_agencymention__6c70257a816453d54753fb2deb4a64a7
@lancsfraudcyber,Lancashire Fraud Police,188354,,anti_fraud_mention,News,Lancashire Fraud Police,,dgm_fraud_agencymention,ccfd8d29d716cd24a95655c5902a09fe,dgm_fraud_agencymention__ccfd8d29d716cd24a95655c5902a09fe
@derpolfraud,Derbyshire Fraud Police,188354,,anti_fraud_mention,Wells,Derbyshire Fraud Police,,dgm_fraud_agencymention,a9c4c226732efde3274d9e942e150d8b,dgm_fraud_agencymention__a9c4c226732efde3274d9e942e150d8b
@theacfe,Association of Certified Fraud Examiners,188354,,anti_fraud_mention,AAEntity,Association of Certified Fraud Examiners,,dgm_fraud_agencymention,20b3d3458fb61f2ffe88fc3f3fe6c995,dgm_fraud_agencymention__20b3d3458fb61f2ffe88fc3f3fe6c995
@irs_ci,IRS Criminal Investigation,188354,,anti_fraud_mention,ForeignMinistry,IRS Criminal Investigation,,dgm_fraud_agencymention,117254eb28e9710722a6d0515f5987b3,dgm_fraud_agencymention__117254eb28e9710722a6d0515f5987b3
@nhscfa,NHS Counter Fraud Authority,188354,,anti_fraud_mention,Person,NHS Counter Fraud Authority,,dgm_fraud_agencymention,efa291a717ef36b07ff407926adcfd55,dgm_fraud_agencymention__efa291a717ef36b07ff407926adcfd55
@nca_uk,National Crime Agency UK,188354,,anti_fraud_mention,space,National Crime Agency UK,,dgm_fraud_agencymention,b0c9b69f8704a9b1d5247e39193adad8,dgm_fraud_agencymention__b0c9b69f8704a9b1d5247e39193adad8
@njinsurfraud,NJ Insurance Fraud,188354,,anti_fraud_mention,Person,NJ Insurance Fraud,,dgm_fraud_agencymention,879c7ecce85c7aa7fbb5127567a3d4ee,dgm_fraud_agencymention__879c7ecce85c7aa7fbb5127567a3d4ee
@wyp_ecocrmunit,West Yorkshire Fraud Police,188354,,anti_fraud_mention,Refinery,West Yorkshire Fraud Police,,dgm_fraud_agencymention,a89718739fae50869fa6b228abd941d4,dgm_fraud_agencymention__a89718739fae50869fa6b228abd941d4
@stopfraudco,Stop Fraud Colorado,188354,,anti_fraud_mention,LegislativeCommittee,Stop Fraud Colorado,,dgm_fraud_agencymention,f8f9e5209f93c0a990febb04ed5d1a9d,dgm_fraud_agencymention__f8f9e5209f93c0a990febb04ed5d1a9d
@gcfprofession,Government Counter Fraud Profession,188354,,anti_fraud_mention,Diplomat,Government Counter Fraud Profession,,dgm_fraud_agencymention,af77f112394a62335148958192d15222,dgm_fraud_agencymention__af77f112394a62335148958192d15222
@mff_forum,Midlands Fraud Forum,188354,,anti_fraud_mention,Organization,Midlands Fraud Forum,,dgm_fraud_agencymention,60c2c018f76c51a4b12dbf513d55f7a1,dgm_fraud_agencymention__60c2c018f76c51a4b12dbf513d55f7a1
@fraud_panel,Fraud Advisory Panel,188354,,anti_fraud_mention,Consulates,Fraud Advisory Panel,,dgm_fraud_agencymention,a515340358f8c2f2222d9e3b43609ffb,dgm_fraud_agencymention__a515340358f8c2f2222d9e3b43609ffb
@_icaie,International Coalition Against Illicit Economies,188354,,anti_fraud_mention,ForeignMinister,International Coalition Against Illicit Economies,,dgm_fraud_agencymention,852f312af589eb50d918efb0b6958484,dgm_fraud_agencymention__852f312af589eb50d918efb0b6958484
@fatfnews,Financial Action Task Force,188354,,anti_fraud_mention,Diplomat,Financial Action Task Force,,dgm_fraud_agencymention,40dc63774a187d39ad6071fcdc44a432,dgm_fraud_agencymention__40dc63774a187d39ad6071fcdc44a432
