handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
scamdetector,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Wells,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
crypto_guyys,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Organization,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
scamalertapp,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",LegislativeCommittee,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
scamwatch_gov,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Person,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
scam_directory,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Wells,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
fakewebbuster,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Consulates,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
pissedconsumer,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Keyphrase,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
jimbrowning11,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Person,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
fbscambusters,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",Wells,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
fraudalertsuk,Scam Detector,"San Francisco, CA",resale_hashtags;resale_mentions;cryptocurrency_scam;rewards;gift_cards;products;counterfeit_company;client_credit_card;discount_code,"san francisco, ca",AAEntity,Scam Detector,,dgm_fraud_handles,181ae8cba04c9361da64c5e4a63cf8a5,dgm_fraud_handles__181ae8cba04c9361da64c5e4a63cf8a5
