keyword,caption_name,topic_id,guid,groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ozon,Ozon,188354,,resale_hashtags,Keyphrase,Ozon,,dgm_fraud_keywords,bca91e17778ad6fc27b86a64e56dc2db,dgm_fraud_keywords__63dad0e8bf81ba03d794bbebe225635e
facebook marketplace,Facebook Marketplace,188354,,resale_hashtags,CompanyKeyword,Facebook Marketplace,,dgm_fraud_keywords,7a923a3c7d0cd85a10405cf42e8db3b8,dgm_fraud_keywords__12b26c86beb06d1c5131bf621b162bba
yandex,Yandex,188354,,resale_hashtags,ForeignMinister,Yandex,,dgm_fraud_keywords,7b2d98f8daf194e23c538a7312cdbddb,dgm_fraud_keywords__0c0a230358d00f0fcf81c28d23bf6e8c
ebay,eBay,188354,,resale_hashtags,Person,eBay,,dgm_fraud_keywords,143c28f176205cd3de7bf659497fbc7d,dgm_fraud_keywords__282539987a2276dd5259f8e745d668a1
alibaba,Alibaba,188354,,resale_hashtags,CompanyKeyword,Alibaba,,dgm_fraud_keywords,771d75c0ab8951fd9969690f074bb627,dgm_fraud_keywords__02c758bf69c8e228d37ca626297e21fd
ebay canada,eBay Canada,188354,,resale_hashtags,Consulates,eBay Canada,,dgm_fraud_keywords,24e54584419079545e13a6cfbeed4fbf,dgm_fraud_keywords__be4d6286acbf0eea607306fbb6c05f3c
gumtree,Gumtree,188354,,resale_hashtags,Shipping,Gumtree,,dgm_fraud_keywords,bc2831062d9ed4326967292930f98285,dgm_fraud_keywords__09b861f120bd8c656a98351eadce2eff
gumtree australia,Gumtree Australia,188354,,resale_hashtags,Consulates,Gumtree Australia,,dgm_fraud_keywords,26b95c3641b37ad4a04946d389bc2803,dgm_fraud_keywords__7c19450182d5bafaad99ac3f4737bf87
grailed,Grailed,188354,,resale_hashtags,Pipeline,Grailed,,dgm_fraud_keywords,f2828a1649abc58902393b9607a56f00,dgm_fraud_keywords__d13be33d77f98eb33e12040e75d3dfc2
craigslist,Craigslist,188354,,resale_hashtags,Organization,Craigslist,,dgm_fraud_keywords,94c997527323c84f3d32151ef6b4f799,dgm_fraud_keywords__6da9802d9c407641e29b3d2f93e189b9
