keyword,caption_name,topic_id,guid,group,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ozon,Ozon,188354,,resale_hashtags,Diplomat,Ozon,,dgm_fraud_resale,63dad0e8bf81ba03d794bbebe225635e,dgm_fraud_resale__63dad0e8bf81ba03d794bbebe225635e
facebook marketplace,Facebook Marketplace,188354,,resale_hashtags,DiplomaticFacilities,Facebook Marketplace,,dgm_fraud_resale,12b26c86beb06d1c5131bf621b162bba,dgm_fraud_resale__12b26c86beb06d1c5131bf621b162bba
yandex,Yandex,188354,,resale_hashtags,Organization,Yandex,,dgm_fraud_resale,0c0a230358d00f0fcf81c28d23bf6e8c,dgm_fraud_resale__0c0a230358d00f0fcf81c28d23bf6e8c
ebay,eBay,188354,,resale_hashtags,CompanyKeyword,eBay,,dgm_fraud_resale,282539987a2276dd5259f8e745d668a1,dgm_fraud_resale__282539987a2276dd5259f8e745d668a1
alibaba,Alibaba,188354,,resale_hashtags,Legislator,Alibaba,,dgm_fraud_resale,02c758bf69c8e228d37ca626297e21fd,dgm_fraud_resale__02c758bf69c8e228d37ca626297e21fd
ebay canada,eBay Canada,188354,,resale_hashtags,Pipeline,eBay Canada,,dgm_fraud_resale,be4d6286acbf0eea607306fbb6c05f3c,dgm_fraud_resale__be4d6286acbf0eea607306fbb6c05f3c
gumtree,Gumtree,188354,,resale_hashtags,Refinery,Gumtree,,dgm_fraud_resale,09b861f120bd8c656a98351eadce2eff,dgm_fraud_resale__09b861f120bd8c656a98351eadce2eff
gumtree australia,Gumtree Australia,188354,,resale_hashtags,Wells,Gumtree Australia,,dgm_fraud_resale,7c19450182d5bafaad99ac3f4737bf87,dgm_fraud_resale__7c19450182d5bafaad99ac3f4737bf87
grailed,Grailed,188354,,resale_hashtags,FTO,Grailed,,dgm_fraud_resale,d13be33d77f98eb33e12040e75d3dfc2,dgm_fraud_resale__d13be33d77f98eb33e12040e75d3dfc2
craigslist,Craigslist,188354,,resale_hashtags,Wells,Craigslist,,dgm_fraud_resale,6da9802d9c407641e29b3d2f93e189b9,dgm_fraud_resale__6da9802d9c407641e29b3d2f93e189b9
ebay deals canada,eBay Deals Canada,188354,,resale_hashtags,Wells,eBay Deals Canada,,dgm_fraud_resale,7affeb1cfbf7366b8130f718fb3b77a6,dgm_fraud_resale__7affeb1cfbf7366b8130f718fb3b77a6
ebay australia,eBay Australia,188354,,resale_hashtags,Keyphrase,eBay Australia,,dgm_fraud_resale,049dbac0aaf58f3b9e1b225bb42785c9,dgm_fraud_resale__049dbac0aaf58f3b9e1b225bb42785c9
