keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
fraud,fraud,Person,fraud,,dgm_fraud_variants,4f2b2ec0df16270a80017dda345f8570,dgm_fraud_variants__4f2b2ec0df16270a80017dda345f8570
scam,scam,IndustryTerm,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
fraudulent,fraud,Shipping,fraud,,dgm_fraud_variants,4f2b2ec0df16270a80017dda345f8570,dgm_fraud_variants__4f2b2ec0df16270a80017dda345f8570
#fraud,fraud,Pipeline,fraud,,dgm_fraud_variants,4f2b2ec0df16270a80017dda345f8570,dgm_fraud_variants__4f2b2ec0df16270a80017dda345f8570
scam,scam,Media,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
scammer,scam,Exec,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
scammers,scam,Wells,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
scamming,scam,News,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
scammed,scam,IndustryTerm,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
#scam,scam,ForeignMinister,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
fraudalert,fraud,Legislator,fraud,,dgm_fraud_variants,4f2b2ec0df16270a80017dda345f8570,dgm_fraud_variants__4f2b2ec0df16270a80017dda345f8570
#fraudalert,fraud,Shipping,fraud,,dgm_fraud_variants,4f2b2ec0df16270a80017dda345f8570,dgm_fraud_variants__4f2b2ec0df16270a80017dda345f8570
#scammer,scam,Wells,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
#scamcoin,scam,AAEntity,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
#scamalert,scam,FTO,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
scamalert,scam,Refinery,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
scamm,scam,Media,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
fraud text,fraud,Pipeline,fraud,,dgm_fraud_variants,4f2b2ec0df16270a80017dda345f8570,dgm_fraud_variants__4f2b2ec0df16270a80017dda345f8570
scam text,scam,Exec,scam,,dgm_fraud_variants,674a298f5659de080bb22ea002de4fbf,dgm_fraud_variants__674a298f5659de080bb22ea002de4fbf
mail fraud,mail fraud,Shipping,mail fraud,,dgm_fraud_variants,acfe7d1ae08e45603582a05f45578072,dgm_fraud_variants__acfe7d1ae08e45603582a05f45578072
driver’s license fraud,driver’s license fraud,Diplomat,driver’s license fraud,,dgm_fraud_variants,1369f347cc34b6bbbf0bae5b6a8d4ad7,dgm_fraud_variants__1369f347cc34b6bbbf0bae5b6a8d4ad7
healthcare fraud,healthcare fraud,LegislativeCommittee,healthcare fraud,,dgm_fraud_variants,1a37082c598e09448f31d161b7249975,dgm_fraud_variants__1a37082c598e09448f31d161b7249975
debit and credit card fraud,debit and credit card fraud,Legislator,debit and credit card fraud,,dgm_fraud_variants,94a8060813c78308c28c2fa6d3026aca,dgm_fraud_variants__94a8060813c78308c28c2fa6d3026aca
bank account takeover fraud,bank account takeover fraud,Pipeline,bank account takeover fraud,,dgm_fraud_variants,990b196a6399a3ce9eb40f3ba9827317,dgm_fraud_variants__990b196a6399a3ce9eb40f3ba9827317
stolen tax refund fraud,stolen tax refund fraud,News,stolen tax refund fraud,,dgm_fraud_variants,e52b0c8c4b3e995e61fc8df20969a24e,dgm_fraud_variants__e52b0c8c4b3e995e61fc8df20969a24e
voter fraud,voter fraud,News,voter fraud,,dgm_fraud_variants,33b51608115d6db8db4eda776905c56e,dgm_fraud_variants__33b51608115d6db8db4eda776905c56e
internet fraud,internet fraud,space,internet fraud,,dgm_fraud_variants,ee15f76fef28faac893bf105a4337267,dgm_fraud_variants__ee15f76fef28faac893bf105a4337267
elder fraud,elder fraud,IndustryTerm,elder fraud,,dgm_fraud_variants,2483104465f727557ecf1424a8dde8bc,dgm_fraud_variants__2483104465f727557ecf1424a8dde8bc
credit card fraud,credit card fraud,Keyphrase,credit card fraud,,dgm_fraud_variants,419b239a2c2b938a5d529bfd585a5b45,dgm_fraud_variants__419b239a2c2b938a5d529bfd585a5b45
wire fraud,wire fraud,Keyphrase,wire fraud,,dgm_fraud_variants,36d1165967b758a8950000ee94bf92e6,dgm_fraud_variants__36d1165967b758a8950000ee94bf92e6
credit fraud,credit fraud,IndustryTerm,credit fraud,,dgm_fraud_variants,6f26c0e8131e713e1e1d4d98dc847612,dgm_fraud_variants__6f26c0e8131e713e1e1d4d98dc847612
financial fraud,financial fraud,Exec,financial fraud,,dgm_fraud_variants,f81ebe8069f4af92d7f8b127412b84d5,dgm_fraud_variants__f81ebe8069f4af92d7f8b127412b84d5
