keyword,caption_name,topic_id,alert_threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
bombenfund,due to World War II bomb found,188118;188130,general.alert2.local,AAEntity,due to World War II bomb found,,dgm_german_disaster_event,33cb6f01e6ee9e97405ae52484bebc14,dgm_german_disaster_event__33cb6f01e6ee9e97405ae52484bebc14
bootfahrverbot,due to boat driving ban,188131;188447,general.alert2.local,AAEntity,due to boat driving ban,,dgm_german_disaster_event,074785d33e7743c639adc2df9c61e45d,dgm_german_disaster_event__074785d33e7743c639adc2df9c61e45d
brandereignis,due to fire,188118,general.alert2.local,Diplomat,due to fire,,dgm_german_disaster_event,b4c788d95380a0e1809f24a3de20b2a6,dgm_german_disaster_event__b4c788d95380a0e1809f24a3de20b2a6
ausfall der festnetztelefonie und internet,due to landline and internet outages,188328,general.alert2.local,IndustryTerm,due to landline and internet outages,,dgm_german_disaster_event,b6d4007a66687217b649cc9aabfadec7,dgm_german_disaster_event__b6d4007a66687217b649cc9aabfadec7
unwetter,due to storm,188117,general.alert2.local,Diplomat,due to storm,,dgm_german_disaster_event,7bbc6ed8573fdb1b9776f71c00b6f038,dgm_german_disaster_event__7bbc6ed8573fdb1b9776f71c00b6f038
hochwasser,due to high tide,188117;188130;188451,general.alert2.local,IndustryTerm,due to high tide,,dgm_german_disaster_event,c4483223eb47734ab2efd6ee4d0572a8,dgm_german_disaster_event__c4483223eb47734ab2efd6ee4d0572a8
hinweise zum trinkwasser,due to possible tap water contamination,188242,general.alert2.local,Exec,due to possible tap water contamination,,dgm_german_disaster_event,8a13d22de30f3a2b0daafe3b4e6d7bcd,dgm_german_disaster_event__8a13d22de30f3a2b0daafe3b4e6d7bcd
bakterium im trinkwassernetz,due to tap water contamination,188242,general.alert2.local,LegislativeCommittee,due to tap water contamination,,dgm_german_disaster_event,bef6a8bc0b460ca622d50f698606cd74,dgm_german_disaster_event__bef6a8bc0b460ca622d50f698606cd74
evakuierung,due to evacuation,188118,general.alert2.local,AAEntity,due to evacuation,,dgm_german_disaster_event,00b473883ccf4e1184057fe986d989b2,dgm_german_disaster_event__00b473883ccf4e1184057fe986d989b2
straßensperrungen,due to road closures,188451;188130,general.alert3,LegislativeCommittee,due to road closures,,dgm_german_disaster_event,13528e92511c7e476941535c86ae05f2,dgm_german_disaster_event__13528e92511c7e476941535c86ae05f2
rauchgase,due to fumes from fire,188118,general.alert3,Pipeline,due to fumes from fire,,dgm_german_disaster_event,645e1a6f64dc33ccdb6b344893126d67,dgm_german_disaster_event__645e1a6f64dc33ccdb6b344893126d67
ausfall notruf 112,due to outage of emergency telephone number,188328,general.alert2.local,Pipeline,due to outage of emergency telephone number,,dgm_german_disaster_event,a17d4abc4bedd9578cbda243ea6baa79,dgm_german_disaster_event__a17d4abc4bedd9578cbda243ea6baa79
schadenereignis,due to incident,188296,general.alert2.local,Media,due to incident,,dgm_german_disaster_event,71575d9015d5ddeb53b8c60b25bd23a1,dgm_german_disaster_event__71575d9015d5ddeb53b8c60b25bd23a1
verkehrsinformation zu straßensperrungen,due to road closures,188451;188130,general.alert3,Consulates,due to road closures,,dgm_german_disaster_event,13528e92511c7e476941535c86ae05f2,dgm_german_disaster_event__13528e92511c7e476941535c86ae05f2
überflutung,due to flooding,188117;188130;188451,general.alert2.local,AAEntity,due to flooding,,dgm_german_disaster_event,7da5711bc31c1f8402e0273146ba1fb4,dgm_german_disaster_event__7da5711bc31c1f8402e0273146ba1fb4
starke rauchentwicklung,due to heavy smoke,188118,general.alert3,AAEntity,due to heavy smoke,,dgm_german_disaster_event,947ae9a5abe88af2628f7c7be59e8c38,dgm_german_disaster_event__947ae9a5abe88af2628f7c7be59e8c38
dammbruch,due to dam break,188242;188118,general.alert2.national,LegislativeCommittee,due to dam break,,dgm_german_disaster_event,c12356e45d5150beb100b3776e8c5d40,dgm_german_disaster_event__c12356e45d5150beb100b3776e8c5d40
möglicher dammbruch,due to possible dam break,188242;188118,general.alert2.national,ForeignMinistry,due to possible dam break,,dgm_german_disaster_event,bebbff73ee588dd6db6c894abe9a74e6,dgm_german_disaster_event__bebbff73ee588dd6db6c894abe9a74e6
rauchentwicklung,due to smoke development,188118,general.alert3,FTO,due to smoke development,,dgm_german_disaster_event,f567b345cda54a97e4cd4eb8281a8162,dgm_german_disaster_event__f567b345cda54a97e4cd4eb8281a8162
abkochgebot,due to tap water contamination,188242,general.alert2.local,Shipping,due to tap water contamination,,dgm_german_disaster_event,bef6a8bc0b460ca622d50f698606cd74,dgm_german_disaster_event__bef6a8bc0b460ca622d50f698606cd74
evakuierung,due to evacuation,188118,general.alert2.local,CompanyKeyword,due to evacuation,,dgm_german_disaster_event,00b473883ccf4e1184057fe986d989b2,dgm_german_disaster_event__00b473883ccf4e1184057fe986d989b2
leitungswasser abkochen,due to tap water contamination,188242,general.alert2.local,Wells,due to tap water contamination,,dgm_german_disaster_event,bef6a8bc0b460ca622d50f698606cd74,dgm_german_disaster_event__bef6a8bc0b460ca622d50f698606cd74
trinkwasser wird gechlort,due to chlorination of tap water,188242,general.alert2.local,Organization,due to chlorination of tap water,,dgm_german_disaster_event,3310a12107d5ee2648ec1cf763f01dd8,dgm_german_disaster_event__3310a12107d5ee2648ec1cf763f01dd8
anscheinsgefahr,due to potential danger,188296,general.alert2.local,ForeignMinistry,due to potential danger,,dgm_german_disaster_event,e6a17919f99b1982f19f16d032982343,dgm_german_disaster_event__e6a17919f99b1982f19f16d032982343
ausfall der amtsleitung,due to truck line outage,188328,general.alert2.local,Media,due to truck line outage,,dgm_german_disaster_event,2f6327a39934f2232f599f15307cd9ae,dgm_german_disaster_event__2f6327a39934f2232f599f15307cd9ae
vorsorgliche information,due to potential danger,188296,general.alert2.local,space,due to potential danger,,dgm_german_disaster_event,e6a17919f99b1982f19f16d032982343,dgm_german_disaster_event__e6a17919f99b1982f19f16d032982343
trübstoffe im trinkwasser,due to tap water contamination,188242,general.alert2.local,IndustryTerm,due to tap water contamination,,dgm_german_disaster_event,bef6a8bc0b460ca622d50f698606cd74,dgm_german_disaster_event__bef6a8bc0b460ca622d50f698606cd74
wetter,due to weather conditions,188117,general.alert3,space,due to weather conditions,,dgm_german_disaster_event,64b1bb13d3c0fe402d5bd4336ebba36e,dgm_german_disaster_event__64b1bb13d3c0fe402d5bd4336ebba36e
verunreinigung des trinkwassers,due to tap water contamination,188242,general.alert2.local,AAEntity,due to tap water contamination,,dgm_german_disaster_event,bef6a8bc0b460ca622d50f698606cd74,dgm_german_disaster_event__bef6a8bc0b460ca622d50f698606cd74
hochwasser/überflutung,due to flooding,188117;188130;188451,general.alert2.local,Diplomat,due to flooding,,dgm_german_disaster_event,7da5711bc31c1f8402e0273146ba1fb4,dgm_german_disaster_event__7da5711bc31c1f8402e0273146ba1fb4
problem in der trinkwasserversorgung,due to tap water supply issues,188242,general.alert2.local,ForeignMinistry,due to tap water supply issues,,dgm_german_disaster_event,07313e948232b8e88b34348ce4948e12,dgm_german_disaster_event__07313e948232b8e88b34348ce4948e12
leitungswasser abkochen,due to tap water contamination,188242,general.alert2.local,Media,due to tap water contamination,,dgm_german_disaster_event,bef6a8bc0b460ca622d50f698606cd74,dgm_german_disaster_event__bef6a8bc0b460ca622d50f698606cd74
unwetterlage,due to severe weather conditions,188117,general.alert2.local,Pipeline,due to severe weather conditions,,dgm_german_disaster_event,ab3707cbf1cbcf2017a2e2ed2bf86496,dgm_german_disaster_event__ab3707cbf1cbcf2017a2e2ed2bf86496
sirenenwarnung,due to warning siren,188118,general.alert3,Exec,due to warning siren,,dgm_german_disaster_event,aec7aa5164f5deee23d8fa920f6b5932,dgm_german_disaster_event__aec7aa5164f5deee23d8fa920f6b5932
