keyword,caption_name,location_lower,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
zahna-elster,"Zahna-Elster, Germany",zahna-elster,51.8872632,12.8062204,Keyphrase,"Zahna-Elster, Germany",,dgm_german_location,2fd3032775b9b742bfa82abd5ec4e698,dgm_german_location__2fd3032775b9b742bfa82abd5ec4e698
zarrentin am schaalsee,"Zarrentin am Schaalsee, Germany",zarrentin am schaalsee,53.5487491,10.9163473,ForeignMinistry,"Zarrentin am Schaalsee, Germany",,dgm_german_location,b71ccc84badf24bb96228bb9ce3cf97f,dgm_german_location__b71ccc84badf24bb96228bb9ce3cf97f
zehdenick,"Zehdenick, Germany",zehdenick,52.9791731,13.3378948,Pipeline,"Zehdenick, Germany",,dgm_german_location,720442c12a35bdd0a6dd88507502d07c,dgm_german_location__720442c12a35bdd0a6dd88507502d07c
zeil a.main,"Zeil am Main, Germany",zeil a.main,50.011546,10.5922117,IndustryTerm,"Zeil am Main, Germany",,dgm_german_location,91ecb37d0e162f6cddfb3a5251a454f1,dgm_german_location__91ecb37d0e162f6cddfb3a5251a454f1
zeitz,"Zeitz, Germany",zeitz,51.0443266,12.1402795,Consulates,"Zeitz, Germany",,dgm_german_location,a50cebd5e6f80a6cb58f99fd9b6595c1,dgm_german_location__a50cebd5e6f80a6cb58f99fd9b6595c1
zell mosel,"Zell (Mosel), Germany",zell mosel,50.0324264,7.1964981,AAEntity,"Zell (Mosel), Germany",,dgm_german_location,1502836bd8d97691d9f4d48d836e61d5,dgm_german_location__1502836bd8d97691d9f4d48d836e61d5
zell am harmersbach,"Zell am Harmersbach, Germany",zell am harmersbach,48.3471573,8.0656529,DiplomaticFacilities,"Zell am Harmersbach, Germany",,dgm_german_location,e20382b3d497c4549f5cf4efae2d8db2,dgm_german_location__e20382b3d497c4549f5cf4efae2d8db2
zell im wiesental,"Zell im Wiesental, Germany",zell im wiesental,47.7095219,7.8572617,ForeignMinister,"Zell im Wiesental, Germany",,dgm_german_location,78030b79bc9b8736024a12ac0c755a47,dgm_german_location__78030b79bc9b8736024a12ac0c755a47
zella-mehlis,"Zella-Mehlis, Germany",zella-mehlis,50.658799,10.6649645,Exec,"Zella-Mehlis, Germany",,dgm_german_location,cf7ee1c87726639f923bd54eaa70c8b9,dgm_german_location__cf7ee1c87726639f923bd54eaa70c8b9
zerbst_anhalt,"Zerbst, Germany",zerbst_anhalt,51.9669481,12.0846211,Wells,"Zerbst, Germany",,dgm_german_location,eae32fdc36a0359e11e7310f67abeaae,dgm_german_location__eae32fdc36a0359e11e7310f67abeaae
zeulenroda-triebes,"Zeulenroda-Triebes, Germany",zeulenroda-triebes,50.6292435,12.0391162,CompanyKeyword,"Zeulenroda-Triebes, Germany",,dgm_german_location,e223ab4336940dcb77278f953f2e100d,dgm_german_location__e223ab4336940dcb77278f953f2e100d
ziegenrück,"Ziegenrück, Germany",ziegenrück,50.6083002,11.6509304,ForeignMinister,"Ziegenrück, Germany",,dgm_german_location,0ce5b7ebbaef0139d5f98a1692d1bc84,dgm_german_location__0ce5b7ebbaef0139d5f98a1692d1bc84
zierenberg,"Zierenberg, Germany",zierenberg,51.3678209,9.3014482,CompanyKeyword,"Zierenberg, Germany",,dgm_german_location,6d1b86b7ea0e237afe7ed44d86ab3f33,dgm_german_location__6d1b86b7ea0e237afe7ed44d86ab3f33
ziesar,"Ziesar, Germany",ziesar,52.2674683,12.2874395,Keyphrase,"Ziesar, Germany",,dgm_german_location,02dfaeae4b639b1fd131c21f3bc7640f,dgm_german_location__02dfaeae4b639b1fd131c21f3bc7640f
zirndorf,"Zirndorf, Germany",zirndorf,49.444555,10.9550183,Media,"Zirndorf, Germany",,dgm_german_location,5cabd67d3d971988a03e797a6135004c,dgm_german_location__5cabd67d3d971988a03e797a6135004c
zittau,"Zittau, Germany",zittau,50.8999681,14.8029971,space,"Zittau, Germany",,dgm_german_location,6d2f86ec1866e4edf998b9c5fbd6a49e,dgm_german_location__6d2f86ec1866e4edf998b9c5fbd6a49e
zörbig,"Zörbig, Germany",zörbig,51.6281275,12.1195606,Keyphrase,"Zörbig, Germany",,dgm_german_location,9854b242b407c997c895e1ad0e0a43f0,dgm_german_location__9854b242b407c997c895e1ad0e0a43f0
zossen,"Zossen, Germany",zossen,52.2169747,13.453792,Organization,"Zossen, Germany",,dgm_german_location,a8d05b5aa8a0eb0323da24769bf4b988,dgm_german_location__a8d05b5aa8a0eb0323da24769bf4b988
zschopau,"Zschopau, Germany",zschopau,50.7474463,13.0745705,IndustryTerm,"Zschopau, Germany",,dgm_german_location,7634b953a489836c815756a5283dcf7f,dgm_german_location__7634b953a489836c815756a5283dcf7f
zülpich,"Zülpich, Germany",zülpich,50.6938699,6.6549936,DiplomaticFacilities,"Zülpich, Germany",,dgm_german_location,766aba2c7464b6281ddc2406d822600b,dgm_german_location__766aba2c7464b6281ddc2406d822600b
zweibrücken,"Zweibrücken, Germany",zweibrücken,49.2450528,7.3634022,Diplomat,"Zweibrücken, Germany",,dgm_german_location,0f816c2327f5f90905bb8002323e345b,dgm_german_location__0f816c2327f5f90905bb8002323e345b
zwenkau,"Zwenkau, Germany",zwenkau,51.2166912,12.3305257,Legislator,"Zwenkau, Germany",,dgm_german_location,b147130f7d9a5a2454ebab273c0b5051,dgm_german_location__b147130f7d9a5a2454ebab273c0b5051
zwickau,"Zwickau, Germany",zwickau,50.7102169,12.4733725,LegislativeCommittee,"Zwickau, Germany",,dgm_german_location,123cc0d065a347c121c31520659e790b,dgm_german_location__123cc0d065a347c121c31520659e790b
zwiesel,"Zwiesel, Germany",zwiesel,49.0177574,13.2379307,AAEntity,"Zwiesel, Germany",,dgm_german_location,ba17c1eed579860cfb4b05cc0bd15b19,dgm_german_location__ba17c1eed579860cfb4b05cc0bd15b19
zwingenberg,"Zwingenberg, Germany",zwingenberg,49.7250007,8.6109754,Consulates,"Zwingenberg, Germany",,dgm_german_location,4d50fde91382d5b712b7411608e31306,dgm_german_location__4d50fde91382d5b712b7411608e31306
zwönitz,"Zwönitz, Germany",zwönitz,50.6320683,12.8095151,Diplomat,"Zwönitz, Germany",,dgm_german_location,20413774a89206cd13113d382abd6a9e,dgm_german_location__20413774a89206cd13113d382abd6a9e
xanten,"Xanten, Germany",xanten,51.6571081,6.4486504,Organization,"Xanten, Germany",,dgm_german_location,c7561d6c9b8b18f9095611a19424dd15,dgm_german_location__c7561d6c9b8b18f9095611a19424dd15
wachenheim an der weinstraße,"Wachenheim, Germany",wachenheim an der weinstraße,49.441111,8.18,CompanyKeyword,"Wachenheim, Germany",,dgm_german_location,a6ccf3603d6f7bd49b1cad08b13b5b56,dgm_german_location__a6ccf3603d6f7bd49b1cad08b13b5b56
wächtersbach,"Wächtersbach, Germany",wächtersbach,50.2550222,9.2918865,AAEntity,"Wächtersbach, Germany",,dgm_german_location,1a76857441310376a07702ad77098073,dgm_german_location__1a76857441310376a07702ad77098073
wadern,"Wadern, Germany",wadern,49.5409429,6.889597,Media,"Wadern, Germany",,dgm_german_location,e0f109a1294be3fe84dd61ec5d787e7a,dgm_german_location__e0f109a1294be3fe84dd61ec5d787e7a
waghäusel,"Waghäusel, Germany",waghäusel,49.2495336,8.5154348,CompanyKeyword,"Waghäusel, Germany",,dgm_german_location,f48151a09902be7d6a261851b67f5a75,dgm_german_location__f48151a09902be7d6a261851b67f5a75
wahlstedt,"Wahlstedt, Germany",wahlstedt,53.9528496,10.2099094,ForeignMinistry,"Wahlstedt, Germany",,dgm_german_location,4102b287b191bd396c82930d5e169e56,dgm_german_location__4102b287b191bd396c82930d5e169e56
waiblingen,"Waiblingen, Germany",waiblingen,48.8293519,9.3185739,CompanyKeyword,"Waiblingen, Germany",,dgm_german_location,25f7cd8ed4db874d3c00388b0953d227,dgm_german_location__25f7cd8ed4db874d3c00388b0953d227
waibstadt,"Waibstadt, Germany",waibstadt,49.30042,8.9197318,LegislativeCommittee,"Waibstadt, Germany",,dgm_german_location,6e361fc9fd68fa58ba1240919d9696f8,dgm_german_location__6e361fc9fd68fa58ba1240919d9696f8
waischenfeld,"Waischenfeld, Germany",waischenfeld,49.8477842,11.3469137,Legislator,"Waischenfeld, Germany",,dgm_german_location,bacd593ce8f9ccc1dfdadfee39bcb027,dgm_german_location__bacd593ce8f9ccc1dfdadfee39bcb027
waldbröl,"Waldbröl, Germany",waldbröl,50.881469,7.6287457,Wells,"Waldbröl, Germany",,dgm_german_location,d75be649f873e5526d0997f3c34de3a4,dgm_german_location__d75be649f873e5526d0997f3c34de3a4
waldeck,"Waldeck, Germany",waldeck,51.2076269,9.0646516,Legislator,"Waldeck, Germany",,dgm_german_location,86039ea5fd6266c6b9a26f2763030381,dgm_german_location__86039ea5fd6266c6b9a26f2763030381
