keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
張國鈞,Hong Kong legislative candidate Horace Cheung,Media,Hong Kong legislative candidate Horace Cheung,,dgm_hk_ei_terms,9b0dd1e8df8693425b848c888aaa57a7,dgm_hk_ei_terms__9b0dd1e8df8693425b848c888aaa57a7
蔣麗芸,Hong Kong legislative candidate Ann Chiang,Exec,Hong Kong legislative candidate Ann Chiang,,dgm_hk_ei_terms,f391ee6402b69d0d68b0e5957cc2afbe,dgm_hk_ei_terms__f391ee6402b69d0d68b0e5957cc2afbe
鄭泳舜,Hong Kong legislative candidate Vincent Cheng Wing-shun,Diplomat,Hong Kong legislative candidate Vincent Cheng Wing-shun,,dgm_hk_ei_terms,3edf71e388f34bb7f52bb9c7f4f706e1,dgm_hk_ei_terms__3edf71e388f34bb7f52bb9c7f4f706e1
柯創盛,Hong Kong legislative candidate Wilson Or Chong-shing,Organization,Hong Kong legislative candidate Wilson Or Chong-shing,,dgm_hk_ei_terms,7ad16226269f1e116e098ec7f0ba864d,dgm_hk_ei_terms__7ad16226269f1e116e098ec7f0ba864d
陳恒鑌,Hong Kong legislative candidate Ben Chan,ForeignMinister,Hong Kong legislative candidate Ben Chan,,dgm_hk_ei_terms,e14d8a7a81389af0f4495fb6579dabca,dgm_hk_ei_terms__e14d8a7a81389af0f4495fb6579dabca
梁志祥,Hong Kong legislative candidate Leung Che-cheung,Media,Hong Kong legislative candidate Leung Che-cheung,,dgm_hk_ei_terms,07103dac09d576c45f0ebebdc2c92664,dgm_hk_ei_terms__07103dac09d576c45f0ebebdc2c92664
陳克勤,Hong Kong legislative candidate Gary Chan,Person,Hong Kong legislative candidate Gary Chan,,dgm_hk_ei_terms,829897f280a1dffb3f8558249c1a776f,dgm_hk_ei_terms__829897f280a1dffb3f8558249c1a776f
葛珮帆,Hong Kong legislative candidate Elizabeth Quat,AAEntity,Hong Kong legislative candidate Elizabeth Quat,,dgm_hk_ei_terms,ea0593127a062b262213723b8f346759,dgm_hk_ei_terms__ea0593127a062b262213723b8f346759
何俊賢,Hong Kong legislative candidate Steven Ho,Refinery,Hong Kong legislative candidate Steven Ho,,dgm_hk_ei_terms,e1e66b689915ede178204aafa2a47199,dgm_hk_ei_terms__e1e66b689915ede178204aafa2a47199
黃定光,Hong Kong legislative candidate Wong Ting-kwong,Wells,Hong Kong legislative candidate Wong Ting-kwong,,dgm_hk_ei_terms,24b6e63b0ad52e774a534ca40fcb6b12,dgm_hk_ei_terms__24b6e63b0ad52e774a534ca40fcb6b12
劉國勳,Hong Kong legislative candidate Lau Kwok-fan,News,Hong Kong legislative candidate Lau Kwok-fan,,dgm_hk_ei_terms,d4dc2ce16a59eaab0c53758dee379742,dgm_hk_ei_terms__d4dc2ce16a59eaab0c53758dee379742
李慧琼,Hong Kong legislative candidate Starry Lee,Person,Hong Kong legislative candidate Starry Lee,,dgm_hk_ei_terms,68eb7cc2ff0498ee440431eb67301a45,dgm_hk_ei_terms__68eb7cc2ff0498ee440431eb67301a45
周浩鼎,Hong Kong legislative candidate Holden Chow,Media,Hong Kong legislative candidate Holden Chow,,dgm_hk_ei_terms,110d819d9e188591240a631ba2cdf183,dgm_hk_ei_terms__110d819d9e188591240a631ba2cdf183
梁君彥,Hong Kong legislative candidate Andrew Leung,Legislator,Hong Kong legislative candidate Andrew Leung,,dgm_hk_ei_terms,345c07b625258e71448276f616dd66fd,dgm_hk_ei_terms__345c07b625258e71448276f616dd66fd
吳永嘉,Hong Kong legislative candidate Ng Wing-ka,Media,Hong Kong legislative candidate Ng Wing-ka,,dgm_hk_ei_terms,fc9c006e87818d423226a3f97ccccbc6,dgm_hk_ei_terms__fc9c006e87818d423226a3f97ccccbc6
林健鋒,Hong Kong legislative candidate Jeffrey Lam,Person,Hong Kong legislative candidate Jeffrey Lam,,dgm_hk_ei_terms,70773b0a46b49d2633aa93929d16f175,dgm_hk_ei_terms__70773b0a46b49d2633aa93929d16f175
劉業強,Hong Kong legislative candidate Kenneth Lau,Consulates,Hong Kong legislative candidate Kenneth Lau,,dgm_hk_ei_terms,2c98618c6342d636b74c9d081eca5d52,dgm_hk_ei_terms__2c98618c6342d636b74c9d081eca5d52
張華峰,Hong Kong legislative candidate Christopher Cheung,IndustryTerm,Hong Kong legislative candidate Christopher Cheung,,dgm_hk_ei_terms,d1e9d5658de24eb619a911141304fe15,dgm_hk_ei_terms__d1e9d5658de24eb619a911141304fe15
石禮謙,Hong Kong legislative candidate Abraham Shek,Consulates,Hong Kong legislative candidate Abraham Shek,,dgm_hk_ei_terms,8e1ca0344a2134548e0c93af9fbd0134,dgm_hk_ei_terms__8e1ca0344a2134548e0c93af9fbd0134
盧偉國,Hong Kong legislative candidate Lo Wai-kwok,CompanyKeyword,Hong Kong legislative candidate Lo Wai-kwok,,dgm_hk_ei_terms,31f6ff4619285df6935a4490a3ca9435,dgm_hk_ei_terms__31f6ff4619285df6935a4490a3ca9435
梁美芬,Hong Kong legislative candidate Priscilla Leung,CompanyKeyword,Hong Kong legislative candidate Priscilla Leung,,dgm_hk_ei_terms,bc5cee26b66b99415e0fc0d6b48ce6e4,dgm_hk_ei_terms__bc5cee26b66b99415e0fc0d6b48ce6e4
郭偉强,Hong Kong legislative candidate Kwok Wai-keung,Diplomat,Hong Kong legislative candidate Kwok Wai-keung,,dgm_hk_ei_terms,ef0a4de26a09639e71c3a0bf6dcb8614,dgm_hk_ei_terms__ef0a4de26a09639e71c3a0bf6dcb8614
黃國健,Hong Kong legislative candidate Wong Kwok-kin,Keyphrase,Hong Kong legislative candidate Wong Kwok-kin,,dgm_hk_ei_terms,99c8807cdbbf1999d14801f746cb6a95,dgm_hk_ei_terms__99c8807cdbbf1999d14801f746cb6a95
麥美娟,Hong Kong legislative candidate Alice Mak,LegislativeCommittee,Hong Kong legislative candidate Alice Mak,,dgm_hk_ei_terms,b2b7e1d701ad2a669f6c3425854bf088,dgm_hk_ei_terms__b2b7e1d701ad2a669f6c3425854bf088
陸頌雄,Hong Kong legislative candidate Luk Chung-hung,News,Hong Kong legislative candidate Luk Chung-hung,,dgm_hk_ei_terms,375e625208abf4b1addbfded5edf6744,dgm_hk_ei_terms__375e625208abf4b1addbfded5edf6744
易志明,Hong Kong legislative candidate Frankie Yick,space,Hong Kong legislative candidate Frankie Yick,,dgm_hk_ei_terms,03a39daf2c43827b3ee6e55d6fd67624,dgm_hk_ei_terms__03a39daf2c43827b3ee6e55d6fd67624
鍾國斌,Hong Kong legislative candidate Felix Chung,News,Hong Kong legislative candidate Felix Chung,,dgm_hk_ei_terms,cf71763f9ed157cad13287eb27f70e85,dgm_hk_ei_terms__cf71763f9ed157cad13287eb27f70e85
邵家輝,Hong Kong legislative candidate Peter Shiu,Legislator,Hong Kong legislative candidate Peter Shiu,,dgm_hk_ei_terms,5d74b1153e3f15d6c358ad9a2b8ace46,dgm_hk_ei_terms__5d74b1153e3f15d6c358ad9a2b8ace46
張宇人,Hong Kong legislative candidate Tommy Cheung,Keyphrase,Hong Kong legislative candidate Tommy Cheung,,dgm_hk_ei_terms,7bfad5da85a15db8a75f3289f6e5970a,dgm_hk_ei_terms__7bfad5da85a15db8a75f3289f6e5970a
葉劉淑儀,Hong Kong legislative candidate Regina Ip,DiplomaticFacilities,Hong Kong legislative candidate Regina Ip,,dgm_hk_ei_terms,147a56520884b611c53412c6a08e65c9,dgm_hk_ei_terms__147a56520884b611c53412c6a08e65c9
容海恩,Hong Kong legislative candidate Eunice Yung,AAEntity,Hong Kong legislative candidate Eunice Yung,,dgm_hk_ei_terms,78f0caf7b9891d408eec64650e537cd5,dgm_hk_ei_terms__78f0caf7b9891d408eec64650e537cd5
田北辰,Hong Kong legislative candidate Michael Tien,Media,Hong Kong legislative candidate Michael Tien,,dgm_hk_ei_terms,2d938c0a21b792fcd6439cc043680fef,dgm_hk_ei_terms__2d938c0a21b792fcd6439cc043680fef
horace cheung,Hong Kong legislative candidate Horace Cheung,Keyphrase,Hong Kong legislative candidate Horace Cheung,,dgm_hk_ei_terms,9b0dd1e8df8693425b848c888aaa57a7,dgm_hk_ei_terms__9b0dd1e8df8693425b848c888aaa57a7
ann chiang,Hong Kong legislative candidate Ann Chiang,CompanyKeyword,Hong Kong legislative candidate Ann Chiang,,dgm_hk_ei_terms,f391ee6402b69d0d68b0e5957cc2afbe,dgm_hk_ei_terms__f391ee6402b69d0d68b0e5957cc2afbe
vincent cheng wing-shun,Hong Kong legislative candidate Vincent Cheng Wing-shun,Pipeline,Hong Kong legislative candidate Vincent Cheng Wing-shun,,dgm_hk_ei_terms,3edf71e388f34bb7f52bb9c7f4f706e1,dgm_hk_ei_terms__3edf71e388f34bb7f52bb9c7f4f706e1
wilson or chong-shing,Hong Kong legislative candidate Wilson Or Chong-shing,Person,Hong Kong legislative candidate Wilson Or Chong-shing,,dgm_hk_ei_terms,7ad16226269f1e116e098ec7f0ba864d,dgm_hk_ei_terms__7ad16226269f1e116e098ec7f0ba864d
ben chan,Hong Kong legislative candidate Ben Chan,Exec,Hong Kong legislative candidate Ben Chan,,dgm_hk_ei_terms,e14d8a7a81389af0f4495fb6579dabca,dgm_hk_ei_terms__e14d8a7a81389af0f4495fb6579dabca
leung che-cheung,Hong Kong legislative candidate Leung Che-cheung,Diplomat,Hong Kong legislative candidate Leung Che-cheung,,dgm_hk_ei_terms,07103dac09d576c45f0ebebdc2c92664,dgm_hk_ei_terms__07103dac09d576c45f0ebebdc2c92664
gary chan,Hong Kong legislative candidate Gary Chan,FTO,Hong Kong legislative candidate Gary Chan,,dgm_hk_ei_terms,829897f280a1dffb3f8558249c1a776f,dgm_hk_ei_terms__829897f280a1dffb3f8558249c1a776f
elizabeth quat,Hong Kong legislative candidate Elizabeth Quat,Media,Hong Kong legislative candidate Elizabeth Quat,,dgm_hk_ei_terms,ea0593127a062b262213723b8f346759,dgm_hk_ei_terms__ea0593127a062b262213723b8f346759
steven ho,Hong Kong legislative candidate Steven Ho,News,Hong Kong legislative candidate Steven Ho,,dgm_hk_ei_terms,e1e66b689915ede178204aafa2a47199,dgm_hk_ei_terms__e1e66b689915ede178204aafa2a47199
wong ting-kwong,Hong Kong legislative candidate Wong Ting-kwong,Media,Hong Kong legislative candidate Wong Ting-kwong,,dgm_hk_ei_terms,24b6e63b0ad52e774a534ca40fcb6b12,dgm_hk_ei_terms__24b6e63b0ad52e774a534ca40fcb6b12
lau kwok-fan,Hong Kong legislative candidate Lau Kwok-fan,LegislativeCommittee,Hong Kong legislative candidate Lau Kwok-fan,,dgm_hk_ei_terms,d4dc2ce16a59eaab0c53758dee379742,dgm_hk_ei_terms__d4dc2ce16a59eaab0c53758dee379742
starry lee,Hong Kong legislative candidate Starry Lee,FTO,Hong Kong legislative candidate Starry Lee,,dgm_hk_ei_terms,68eb7cc2ff0498ee440431eb67301a45,dgm_hk_ei_terms__68eb7cc2ff0498ee440431eb67301a45
holden chow,Hong Kong legislative candidate Holden Chow,DiplomaticFacilities,Hong Kong legislative candidate Holden Chow,,dgm_hk_ei_terms,110d819d9e188591240a631ba2cdf183,dgm_hk_ei_terms__110d819d9e188591240a631ba2cdf183
andrew leung,Hong Kong legislative candidate Andrew Leung,Wells,Hong Kong legislative candidate Andrew Leung,,dgm_hk_ei_terms,345c07b625258e71448276f616dd66fd,dgm_hk_ei_terms__345c07b625258e71448276f616dd66fd
ng wing-ka,Hong Kong legislative candidate Ng Wing-ka,CompanyKeyword,Hong Kong legislative candidate Ng Wing-ka,,dgm_hk_ei_terms,fc9c006e87818d423226a3f97ccccbc6,dgm_hk_ei_terms__fc9c006e87818d423226a3f97ccccbc6
jeffrey lam,Hong Kong legislative candidate Jeffrey Lam,AAEntity,Hong Kong legislative candidate Jeffrey Lam,,dgm_hk_ei_terms,70773b0a46b49d2633aa93929d16f175,dgm_hk_ei_terms__70773b0a46b49d2633aa93929d16f175
kenneth lau,Hong Kong legislative candidate Kenneth Lau,LegislativeCommittee,Hong Kong legislative candidate Kenneth Lau,,dgm_hk_ei_terms,2c98618c6342d636b74c9d081eca5d52,dgm_hk_ei_terms__2c98618c6342d636b74c9d081eca5d52
christopher cheung,Hong Kong legislative candidate Christopher Cheung,ForeignMinistry,Hong Kong legislative candidate Christopher Cheung,,dgm_hk_ei_terms,d1e9d5658de24eb619a911141304fe15,dgm_hk_ei_terms__d1e9d5658de24eb619a911141304fe15
abraham shek,Hong Kong legislative candidate Abraham Shek,Organization,Hong Kong legislative candidate Abraham Shek,,dgm_hk_ei_terms,8e1ca0344a2134548e0c93af9fbd0134,dgm_hk_ei_terms__8e1ca0344a2134548e0c93af9fbd0134
lo wai-kwok,Hong Kong legislative candidate Lo Wai-kwok,Refinery,Hong Kong legislative candidate Lo Wai-kwok,,dgm_hk_ei_terms,31f6ff4619285df6935a4490a3ca9435,dgm_hk_ei_terms__31f6ff4619285df6935a4490a3ca9435
priscilla leung,Hong Kong legislative candidate Priscilla Leung,IndustryTerm,Hong Kong legislative candidate Priscilla Leung,,dgm_hk_ei_terms,bc5cee26b66b99415e0fc0d6b48ce6e4,dgm_hk_ei_terms__bc5cee26b66b99415e0fc0d6b48ce6e4
kwok wai-keung,Hong Kong legislative candidate Kwok Wai-keung,Keyphrase,Hong Kong legislative candidate Kwok Wai-keung,,dgm_hk_ei_terms,ef0a4de26a09639e71c3a0bf6dcb8614,dgm_hk_ei_terms__ef0a4de26a09639e71c3a0bf6dcb8614
wong kwok-kin,Hong Kong legislative candidate Wong Kwok-kin,Pipeline,Hong Kong legislative candidate Wong Kwok-kin,,dgm_hk_ei_terms,99c8807cdbbf1999d14801f746cb6a95,dgm_hk_ei_terms__99c8807cdbbf1999d14801f746cb6a95
alice mak,Hong Kong legislative candidate Alice Mak,Person,Hong Kong legislative candidate Alice Mak,,dgm_hk_ei_terms,b2b7e1d701ad2a669f6c3425854bf088,dgm_hk_ei_terms__b2b7e1d701ad2a669f6c3425854bf088
luk chung-hung,Hong Kong legislative candidate Luk Chung-hung,space,Hong Kong legislative candidate Luk Chung-hung,,dgm_hk_ei_terms,375e625208abf4b1addbfded5edf6744,dgm_hk_ei_terms__375e625208abf4b1addbfded5edf6744
frankie yick,Hong Kong legislative candidate Frankie Yick,News,Hong Kong legislative candidate Frankie Yick,,dgm_hk_ei_terms,03a39daf2c43827b3ee6e55d6fd67624,dgm_hk_ei_terms__03a39daf2c43827b3ee6e55d6fd67624
felix chung,Hong Kong legislative candidate Felix Chung,Person,Hong Kong legislative candidate Felix Chung,,dgm_hk_ei_terms,cf71763f9ed157cad13287eb27f70e85,dgm_hk_ei_terms__cf71763f9ed157cad13287eb27f70e85
peter shiu,Hong Kong legislative candidate Peter Shiu,space,Hong Kong legislative candidate Peter Shiu,,dgm_hk_ei_terms,5d74b1153e3f15d6c358ad9a2b8ace46,dgm_hk_ei_terms__5d74b1153e3f15d6c358ad9a2b8ace46
tommy cheung,Hong Kong legislative candidate Tommy Cheung,Media,Hong Kong legislative candidate Tommy Cheung,,dgm_hk_ei_terms,7bfad5da85a15db8a75f3289f6e5970a,dgm_hk_ei_terms__7bfad5da85a15db8a75f3289f6e5970a
