handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nathanlawkc,Pro-democracy activist Nathan Law,Exec,Pro-democracy activist Nathan Law,,dgm_hong_kong_ei_key_authors,16085e415d63a9bf1b31ec40d2b2184a,dgm_hong_kong_ei_key_authors__16085e415d63a9bf1b31ec40d2b2184a
sunnycheungky,Pro-democracy activist Sunny Cheung,Shipping,Pro-democracy activist Sunny Cheung,,dgm_hong_kong_ei_key_authors,128fb680af1b73708e313cc964fc25a4,dgm_hong_kong_ei_key_authors__128fb680af1b73708e313cc964fc25a4
joshuawongcf,Pro-democracy activist Joshua Wong,News,Pro-democracy activist Joshua Wong,,dgm_hong_kong_ei_key_authors,ea27e7640b9e25a41d7b1d01ef0ecec6,dgm_hong_kong_ei_key_authors__ea27e7640b9e25a41d7b1d01ef0ecec6
chuhoidick,Pro-democracy activist Eddie Chu,ForeignMinister,Pro-democracy activist Eddie Chu,,dgm_hong_kong_ei_key_authors,f358538fdc4af7ad994cde798d4f2c3a,dgm_hong_kong_ei_key_authors__f358538fdc4af7ad994cde798d4f2c3a
chowtingagnes,Pro-democracy activist Agnes Chow,Shipping,Pro-democracy activist Agnes Chow,,dgm_hong_kong_ei_key_authors,292b82aca7e604f084228dc93f13f4b4,dgm_hong_kong_ei_key_authors__292b82aca7e604f084228dc93f13f4b4
brianleungkp,Pro-democracy activist Brian Leung,FTO,Pro-democracy activist Brian Leung,,dgm_hong_kong_ei_key_authors,6057086f6abadb86acf8bf9926911aee,dgm_hong_kong_ei_key_authors__6057086f6abadb86acf8bf9926911aee
finnlau_cd,Pro-democracy activist Finn Lau,ForeignMinister,Pro-democracy activist Finn Lau,,dgm_hong_kong_ei_key_authors,37e382c20cdf4439a81f7ce0a6e30202,dgm_hong_kong_ei_key_authors__37e382c20cdf4439a81f7ce0a6e30202
frances_hui,Pro-democracy activist Frances Hui,ForeignMinister,Pro-democracy activist Frances Hui,,dgm_hong_kong_ei_key_authors,4eb8f67d8a0d4bc59fd3668d43512e4c,dgm_hong_kong_ei_key_authors__4eb8f67d8a0d4bc59fd3668d43512e4c
tedhuichuifung,Former district councillor Ted Hui,Keyphrase,Former district councillor Ted Hui,,dgm_hong_kong_ei_key_authors,72ce5b2a8da6c8fda6d40c622394ba6f,dgm_hong_kong_ei_key_authors__72ce5b2a8da6c8fda6d40c622394ba6f
timothylee_hk,Former district councillor Timothy Lee,News,Former district councillor Timothy Lee,,dgm_hong_kong_ei_key_authors,c4cfb847f07762951dd901bcf05b14e3,dgm_hong_kong_ei_key_authors__c4cfb847f07762951dd901bcf05b14e3
leungbaggio,Youngspiration convenor Baggio Leung,Pipeline,Youngspiration convenor Baggio Leung,,dgm_hong_kong_ei_key_authors,087e91926c5e0c8b8f4c1facf34772c4,dgm_hong_kong_ei_key_authors__087e91926c5e0c8b8f4c1facf34772c4
hoccgoomusic,Singer and activist Denise Ho,IndustryTerm,Singer and activist Denise Ho,,dgm_hong_kong_ei_key_authors,8cc7ee06ec0a680e0828ff2246752486,dgm_hong_kong_ei_key_authors__8cc7ee06ec0a680e0828ff2246752486
honcqueslaus,Pro-democracy activist Honcques Laus,Person,Pro-democracy activist Honcques Laus,,dgm_hong_kong_ei_key_authors,84f35e01a306198d87397c292c57ff40,dgm_hong_kong_ei_key_authors__84f35e01a306198d87397c292c57ff40
jeffreychngo,Pro-democracy activist Jeffrey Ngo,ForeignMinister,Pro-democracy activist Jeffrey Ngo,,dgm_hong_kong_ei_key_authors,462b82ec3ecc9e959da07eff0e723d10,dgm_hong_kong_ei_key_authors__462b82ec3ecc9e959da07eff0e723d10
holden_chow,Legistative Council member Holden Chow,FTO,Legistative Council member Holden Chow,,dgm_hong_kong_ei_key_authors,afb13d189921e976bac67d6d4511cb45,dgm_hong_kong_ei_key_authors__afb13d189921e976bac67d6d4511cb45
wongjiyuet,Pro-democracy activist Wong Ji Yuet,DiplomaticFacilities,Pro-democracy activist Wong Ji Yuet,,dgm_hong_kong_ei_key_authors,1275e19058c001b2cf973c1948b7dd6a,dgm_hong_kong_ei_key_authors__1275e19058c001b2cf973c1948b7dd6a
weiweidai4,Blogger Dai Weiwei,ForeignMinister,Blogger Dai Weiwei,,dgm_hong_kong_ei_key_authors,6a71722f684e015583917c19259537d4,dgm_hong_kong_ei_key_authors__6a71722f684e015583917c19259537d4
carlzha,Podcast host Carl Zha,News,Podcast host Carl Zha,,dgm_hong_kong_ei_key_authors,fa1b8d0ede2f17b0bdf664f636fe62ee,dgm_hong_kong_ei_key_authors__fa1b8d0ede2f17b0bdf664f636fe62ee
notxiangyu,Blogger Xiang Yu,FTO,Blogger Xiang Yu,,dgm_hong_kong_ei_key_authors,1cf45a403c11e17b04547119a3c02413,dgm_hong_kong_ei_key_authors__1cf45a403c11e17b04547119a3c02413
mango_press_,Blog Mango Press,LegislativeCommittee,Blog Mango Press,,dgm_hong_kong_ei_key_authors,bd5e212505824729eff5c34a468e27a1,dgm_hong_kong_ei_key_authors__bd5e212505824729eff5c34a468e27a1
