keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
warehouse,warehouse,News,warehouse,,dgm_infrastructure,372d30dd2849813ef674855253900679,dgm_infrastructure__372d30dd2849813ef674855253900679
store,store,IndustryTerm,store,,dgm_infrastructure,8cd892b7b97ef9489ae4479d3f4ef0fc,dgm_infrastructure__8cd892b7b97ef9489ae4479d3f4ef0fc
SOC,Security Operations Center,Media,Security Operations Center,,dgm_infrastructure,3b5f4aa1575ec47e618272d5a4802d59,dgm_infrastructure__3b5f4aa1575ec47e618272d5a4802d59
skyscraper,building,ForeignMinistry,building,,dgm_infrastructure,1b20e9021b3a16b059287caddc7862f6,dgm_infrastructure__1b20e9021b3a16b059287caddc7862f6
security operations centre,Security Operations Center,ForeignMinistry,Security Operations Center,,dgm_infrastructure,3b5f4aa1575ec47e618272d5a4802d59,dgm_infrastructure__3b5f4aa1575ec47e618272d5a4802d59
security operations center,Security Operations Center,Legislator,Security Operations Center,,dgm_infrastructure,3b5f4aa1575ec47e618272d5a4802d59,dgm_infrastructure__3b5f4aa1575ec47e618272d5a4802d59
refinery,refinery,space,refinery,,dgm_infrastructure,29f89695e6378f74efa37c1e53a5c8b7,dgm_infrastructure__29f89695e6378f74efa37c1e53a5c8b7
refineries,refineries,Pipeline,refineries,,dgm_infrastructure,f6f752d4dedfa84ee0eead1d97a27bb2,dgm_infrastructure__f6f752d4dedfa84ee0eead1d97a27bb2
production facility,production facility,ForeignMinistry,production facility,,dgm_infrastructure,8fc165f8c87ce45576ae32e59bf19ae7,dgm_infrastructure__8fc165f8c87ce45576ae32e59bf19ae7
power plant,power plant,Media,power plant,,dgm_infrastructure,b55ec97c9b1a544939e5d89b7b4fe0ad,dgm_infrastructure__b55ec97c9b1a544939e5d89b7b4fe0ad
plant,plant,Keyphrase,plant,,dgm_infrastructure,9ea0a36b3a20901fafe834eb519a595c,dgm_infrastructure__9ea0a36b3a20901fafe834eb519a595c
pipeline,pipeline,DiplomaticFacilities,pipeline,,dgm_infrastructure,99f6f4be0908f24bb4a22a4ffb277da4,dgm_infrastructure__99f6f4be0908f24bb4a22a4ffb277da4
operations centre,operations center,ForeignMinistry,operations center,,dgm_infrastructure,7384b8f130cda6426c16ebf56b8e817f,dgm_infrastructure__7384b8f130cda6426c16ebf56b8e817f
operations center,operations center,AAEntity,operations center,,dgm_infrastructure,7384b8f130cda6426c16ebf56b8e817f,dgm_infrastructure__7384b8f130cda6426c16ebf56b8e817f
offices,offices,Organization,offices,,dgm_infrastructure,2b80472febb0c52ab4551deca95dcd7b,dgm_infrastructure__2b80472febb0c52ab4551deca95dcd7b
office tower,office tower,News,office tower,,dgm_infrastructure,5d5c15ecc1e467201dbb9575e91a53c8,dgm_infrastructure__5d5c15ecc1e467201dbb9575e91a53c8
office building,office building,Keyphrase,office building,,dgm_infrastructure,59e92c543866a67afdd4fc6fb35f597e,dgm_infrastructure__59e92c543866a67afdd4fc6fb35f597e
office,office,space,office,,dgm_infrastructure,e72f4545eb68c96c754f91fc01573517,dgm_infrastructure__e72f4545eb68c96c754f91fc01573517
meeting room,office,Media,office,,dgm_infrastructure,e72f4545eb68c96c754f91fc01573517,dgm_infrastructure__e72f4545eb68c96c754f91fc01573517
manufacturing plant,manufacturing plant,CompanyKeyword,manufacturing plant,,dgm_infrastructure,938bf7fb8e807ff1fd4e52bcc51a316a,dgm_infrastructure__938bf7fb8e807ff1fd4e52bcc51a316a
main office,main office,IndustryTerm,main office,,dgm_infrastructure,b1ce441a9e5753d223e847b6546cb945,dgm_infrastructure__b1ce441a9e5753d223e847b6546cb945
laboratory,lab,News,lab,,dgm_infrastructure,f9664ea1803311b35f81d07d8c9e072d,dgm_infrastructure__f9664ea1803311b35f81d07d8c9e072d
lab,lab,Wells,lab,,dgm_infrastructure,f9664ea1803311b35f81d07d8c9e072d,dgm_infrastructure__f9664ea1803311b35f81d07d8c9e072d
hq,headquarters,ForeignMinister,headquarters,,dgm_infrastructure,3c8925c7fb2d563070c4c7aa96954e92,dgm_infrastructure__3c8925c7fb2d563070c4c7aa96954e92
headquarters,headquarters,Refinery,headquarters,,dgm_infrastructure,3c8925c7fb2d563070c4c7aa96954e92,dgm_infrastructure__3c8925c7fb2d563070c4c7aa96954e92
head office,head office,Pipeline,head office,,dgm_infrastructure,62589481b948440a5f6ff8419974a01d,dgm_infrastructure__62589481b948440a5f6ff8419974a01d
hangar,hangar,CompanyKeyword,hangar,,dgm_infrastructure,2a70badf0025c18dc87a3a31833d03de,dgm_infrastructure__2a70badf0025c18dc87a3a31833d03de
GSOC,Global Security Operations Center,Person,Global Security Operations Center,,dgm_infrastructure,a9df4c7c2b2b0c0223e0f92d69a222bd,dgm_infrastructure__a9df4c7c2b2b0c0223e0f92d69a222bd
