keyword,caption_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
spear-phishing,spear phishing,188348,FTO,spear phishing,,dgm_int_cyber_news,ccd17e2c9824b62389259e48fe31cae9,dgm_int_cyber_news__ccd17e2c9824b62389259e48fe31cae9
spearphishing,spear phishing,188348,IndustryTerm,spear phishing,,dgm_int_cyber_news,ccd17e2c9824b62389259e48fe31cae9,dgm_int_cyber_news__ccd17e2c9824b62389259e48fe31cae9
phishing,phishing,188348,DiplomaticFacilities,phishing,,dgm_int_cyber_news,936b58ef16bb5c6235f8ef7be420ad21,dgm_int_cyber_news__936b58ef16bb5c6235f8ef7be420ad21
malware,Malware,188368,Keyphrase,Malware,,dgm_int_cyber_news,4ea6455c8fe5c3303df84083935a69b5,dgm_int_cyber_news__4ea6455c8fe5c3303df84083935a69b5
emotet,Emotet,188368,News,Emotet,,dgm_int_cyber_news,f8b9c3c022206d6ef8e70add589d8fe6,dgm_int_cyber_news__f8b9c3c022206d6ef8e70add589d8fe6
opendir,open directory,188347,Consulates,open directory,,dgm_int_cyber_news,d6124ea8a506416a7c71d1330dc2058b,dgm_int_cyber_news__d6124ea8a506416a7c71d1330dc2058b
newphishing,phishing,188348,IndustryTerm,phishing,,dgm_int_cyber_news,936b58ef16bb5c6235f8ef7be420ad21,dgm_int_cyber_news__936b58ef16bb5c6235f8ef7be420ad21
ransomware,Ransomware,188366,Wells,Ransomware,,dgm_int_cyber_news,232a2b16a1710c0ed1d16548ba8bb8f1,dgm_int_cyber_news__232a2b16a1710c0ed1d16548ba8bb8f1
apt,APT,188349,space,APT,,dgm_int_cyber_news,bf103b791b390baa469b42479f7f7f37,dgm_int_cyber_news__bf103b791b390baa469b42479f7f7f37
maldoc,malicious document,188368,Wells,malicious document,,dgm_int_cyber_news,7506df208fc4ae09d9f73b17179c63f6,dgm_int_cyber_news__7506df208fc4ae09d9f73b17179c63f6
stealer,stealer,188368,Refinery,stealer,,dgm_int_cyber_news,7ae571e6d05cef91ef380212b3d2c7a8,dgm_int_cyber_news__7ae571e6d05cef91ef380212b3d2c7a8
trojan,trojan,188368,Person,trojan,,dgm_int_cyber_news,2806906c79cdb8ef05d9595ff8cdc125,dgm_int_cyber_news__2806906c79cdb8ef05d9595ff8cdc125
malspam,malicious spam,188368,Keyphrase,malicious spam,,dgm_int_cyber_news,a3bad16d50e4bd67d7a39b748bac58fc,dgm_int_cyber_news__a3bad16d50e4bd67d7a39b748bac58fc
spam,spam,188348,Exec,spam,,dgm_int_cyber_news,e09f6a7593f8ae3994ea57e1117f67ec,dgm_int_cyber_news__e09f6a7593f8ae3994ea57e1117f67ec
smishing,smishing,188348,ForeignMinister,smishing,,dgm_int_cyber_news,1f24e13ac55fbdd13d6ba1fb9aca3e88,dgm_int_cyber_news__1f24e13ac55fbdd13d6ba1fb9aca3e88
rat,remote access trojan,188368,Shipping,remote access trojan,,dgm_int_cyber_news,7165871bfac0d3d06af034a7dd74b394,dgm_int_cyber_news__7165871bfac0d3d06af034a7dd74b394
ddos,distributed denial of service,188353,DiplomaticFacilities,distributed denial of service,,dgm_int_cyber_news,43476738e288c87fb431034201f1b254,dgm_int_cyber_news__43476738e288c87fb431034201f1b254
phishingkit,phishing kit,188348,Media,phishing kit,,dgm_int_cyber_news,ae2c37d6fa70fcd011da7482d99be56a,dgm_int_cyber_news__ae2c37d6fa70fcd011da7482d99be56a
Botnet,Botnet,188368,Wells,Botnet,,dgm_int_cyber_news,565b48b1d7e3249c506d05ced0d9994a,dgm_int_cyber_news__565b48b1d7e3249c506d05ced0d9994a
arnaque,scam,188368,Media,scam,,dgm_int_cyber_news,674a298f5659de080bb22ea002de4fbf,dgm_int_cyber_news__674a298f5659de080bb22ea002de4fbf
estafa,scam,188368,Media,scam,,dgm_int_cyber_news,674a298f5659de080bb22ea002de4fbf,dgm_int_cyber_news__674a298f5659de080bb22ea002de4fbf
malmacro,malicious macro,188368,Organization,malicious macro,,dgm_int_cyber_news,49d71036af9a01925562658eb2312c59,dgm_int_cyber_news__49d71036af9a01925562658eb2312c59
spyware,spyware,188368,FTO,spyware,,dgm_int_cyber_news,f4abe4bbba17c813595195fffa5fe601,dgm_int_cyber_news__f4abe4bbba17c813595195fffa5fe601
iocs,indicators of compromise,188368,ForeignMinister,indicators of compromise,,dgm_int_cyber_news,69df47cc5e9970bdc35ca81a26bda1ba,dgm_int_cyber_news__69df47cc5e9970bdc35ca81a26bda1ba
skimmer,credit card skimmer,188368,Keyphrase,credit card skimmer,,dgm_int_cyber_news,287cf2cb72f1a569694ebbdca73ccc34,dgm_int_cyber_news__287cf2cb72f1a569694ebbdca73ccc34
