keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
droga,narcotics,Legislator,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
drogas,narcotics,Legislator,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
estupefaciente,narcotics,Organization,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
estupefaciente,narcotics,LegislativeCommittee,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
estupefacientes,narcotics,Refinery,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
mercancia,narcotics,Keyphrase,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
narcoticos,narcotics,News,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
narcóticos,narcotics,Person,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
sustancia,narcotics,ForeignMinister,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
sustancias ilicitas,narcotics,DiplomaticFacilities,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
sustancias ilícitas,narcotics,Pipeline,narcotics,,dgm_latamnarcoticsgeneral,6c5fe7d3dc96f0626f1c875799f8ddb1,dgm_latamnarcoticsgeneral__6c5fe7d3dc96f0626f1c875799f8ddb1
