handle,caption_name,location_tag,exclude_groups,country,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
fiscaliacol,Colombian National Police,bogotacolombia,colombia,Colombia,IndustryTerm,Colombian National Police,,dgm_latamnarcoticshandles,72dbb437fb813148cfe48018582ef1fb,dgm_latamnarcoticshandles__72dbb437fb813148cfe48018582ef1fb
fpacba,Argentinian Anti-Narcotics Police,buenosairesargentina,argentina,Argentina,CompanyKeyword,Argentinian Anti-Narcotics Police,,dgm_latamnarcoticshandles,ad5d0a72cd29f7319948ffc684d1525e,dgm_latamnarcoticshandles__ad5d0a72cd29f7319948ffc684d1525e
policia_fe,"Santa Fe, Argentina Police",buenosairesargentina,argentina,Argentina,Keyphrase,"Santa Fe, Argentina Police",,dgm_latamnarcoticshandles,e32f8da6f90af77bf9e1c5527e2b282b,dgm_latamnarcoticshandles__e32f8da6f90af77bf9e1c5527e2b282b
marcedaless,"Buenos Aires, Argentina Justice Secretary",buenosairesargentina,argentina,Argentina,News,"Buenos Aires, Argentina Justice Secretary",,dgm_latamnarcoticshandles,e73e2ea9bb92c09fe9a629ec1263cc90,dgm_latamnarcoticshandles__e73e2ea9bb92c09fe9a629ec1263cc90
gendarmeria,Argentinian Border Force,buenosairesargentina,argentina,Argentina,Exec,Argentinian Border Force,,dgm_latamnarcoticshandles,58c3c40edfb737677124c36876bc0e92,dgm_latamnarcoticshandles__58c3c40edfb737677124c36876bc0e92
policiacbaof,"Cordoba, Argentina Police",cordobaargentina,argentina,Argentina,LegislativeCommittee,"Cordoba, Argentina Police",,dgm_latamnarcoticshandles,e25385a9d855bff20ff62d1f6c24f8b8,dgm_latamnarcoticshandles__e25385a9d855bff20ff62d1f6c24f8b8
fpacba,"Cordoba, Argentina Anti-Narcotics Police",cordobaargentina,argentina,Argentina,AAEntity,"Cordoba, Argentina Anti-Narcotics Police",,dgm_latamnarcoticshandles,fb9d815ca21d2ef45a28129bd4a67578,dgm_latamnarcoticshandles__fb9d815ca21d2ef45a28129bd4a67578
mindegobierno,Bolivian Government Ministry,lapazbolivia,bolivia,Bolivia,CompanyKeyword,Bolivian Government Ministry,,dgm_latamnarcoticshandles,50764e83714b7c4dba6a7e7973ae0808,dgm_latamnarcoticshandles__50764e83714b7c4dba6a7e7973ae0808
felcn_noticias,Bolivian Anti-Narcotics Police,lapazbolivia,bolivia,Bolivia,FTO,Bolivian Anti-Narcotics Police,,dgm_latamnarcoticshandles,f6d5ce9ef0338febad618371602a4919,dgm_latamnarcoticshandles__f6d5ce9ef0338febad618371602a4919
pol_boliviana,Bolivian National Police,lapazbolivia,bolivia,Bolivia,Shipping,Bolivian National Police,,dgm_latamnarcoticshandles,f7fa2d72b481a1680964b22ee4e9f31c,dgm_latamnarcoticshandles__f7fa2d72b481a1680964b22ee4e9f31c
pmmg190,"Minas Gerais, Brazil Military Police",brasiliabrazil,brazil,Brazil,Wells,"Minas Gerais, Brazil Military Police",,dgm_latamnarcoticshandles,6546ad781bfc8f1bf3b02fc789a8b922,dgm_latamnarcoticshandles__6546ad781bfc8f1bf3b02fc789a8b922
pmsoficial,"Santa Catarina, Brazil Military Police",brasiliabrazil,brazil,Brazil,Refinery,"Santa Catarina, Brazil Military Police",,dgm_latamnarcoticshandles,91fe4afe01f7ca7b96f3e8de0722df67,dgm_latamnarcoticshandles__91fe4afe01f7ca7b96f3e8de0722df67
pmesp,"Sao Paulo, Brazil Military Police",brasiliabrazil,brazil,Brazil,ForeignMinister,"Sao Paulo, Brazil Military Police",,dgm_latamnarcoticshandles,1e1d1e08fdb177c75b5abd3a30784883,dgm_latamnarcoticshandles__1e1d1e08fdb177c75b5abd3a30784883
policiafederal,Brazilian National Police,brasiliabrazil,brazil,Brazil,DiplomaticFacilities,Brazilian National Police,,dgm_latamnarcoticshandles,9c80f6c68eefac4b6b8e4ddfe3f03657,dgm_latamnarcoticshandles__9c80f6c68eefac4b6b8e4ddfe3f03657
prf191rs,"Rio Grande do Sul, Brazil Federal Highway Police",riograndedosulbrazil,brazil,Brazil,Wells,"Rio Grande do Sul, Brazil Federal Highway Police",,dgm_latamnarcoticshandles,045f7e2ba4771e5a36b76b5343718e3a,dgm_latamnarcoticshandles__045f7e2ba4771e5a36b76b5343718e3a
policia_civil,"Sao Paulo, Brazil Civil Police",saopaulobrazil,brazil,Brazil,Media,"Sao Paulo, Brazil Civil Police",,dgm_latamnarcoticshandles,07bc99782dd24219e379b5597e967aa8,dgm_latamnarcoticshandles__07bc99782dd24219e379b5597e967aa8
pmdfoficial,Brazilian Military Police,brasiliabrazil,brazil,Brazil,DiplomaticFacilities,Brazilian Military Police,,dgm_latamnarcoticshandles,9af96981d84ea2fa2b697294792c9ecc,dgm_latamnarcoticshandles__9af96981d84ea2fa2b697294792c9ecc
policiacivilrs,"Rio Grande do Sul, Brazil Civil Police",riograndedosulbrazil,brazil,Brazil,DiplomaticFacilities,"Rio Grande do Sul, Brazil Civil Police",,dgm_latamnarcoticshandles,5e2818b3e72392f61a84a014b907305e,dgm_latamnarcoticshandles__5e2818b3e72392f61a84a014b907305e
brigadamilitar_,"Rio Grande do Sul, Brazil Military Police",riograndedosulbrazil,brazil,Brazil,ForeignMinistry,"Rio Grande do Sul, Brazil Military Police",,dgm_latamnarcoticshandles,24baa0397024b18d2ccd8b4d782926e5,dgm_latamnarcoticshandles__24baa0397024b18d2ccd8b4d782926e5
upprj,Brazilian Peacemaker Police Unit,brasiliabrazil,brazil,Brazil,Wells,Brazilian Peacemaker Police Unit,,dgm_latamnarcoticshandles,b5aedd15d70f1c0ce619654f9a28bcf4,dgm_latamnarcoticshandles__b5aedd15d70f1c0ce619654f9a28bcf4
pmerj,"Rio de Janerio, Brazil Military Police",riodejaneirobrazil,brazil,Brazil,News,"Rio de Janerio, Brazil Military Police",,dgm_latamnarcoticshandles,21016aa52670d75c1536cdfb8133d294,dgm_latamnarcoticshandles__21016aa52670d75c1536cdfb8133d294
prf191pr,"Parana, Brazil Federal Highway Police",paranabrazil,brazil,Brazil,Exec,"Parana, Brazil Federal Highway Police",,dgm_latamnarcoticshandles,933af25f31b12c59ad045f151efeef21,dgm_latamnarcoticshandles__933af25f31b12c59ad045f151efeef21
