keyword,caption_name,location_id,groups,country,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
catamarca,"Catamarca, Argentina",catamarcaargentina,argentina,Argentina,Refinery,"Catamarca, Argentina",,dgm_latamnarcoticslocations,24870f14ca38cbf5b3ce58e148b2d923,dgm_latamnarcoticslocations__24870f14ca38cbf5b3ce58e148b2d923
chaco,"Chaco, Argentina",chacoargentina,argentina,Argentina,ForeignMinister,"Chaco, Argentina",,dgm_latamnarcoticslocations,2c3b2ae02c1063118bec0d0553809549,dgm_latamnarcoticslocations__2c3b2ae02c1063118bec0d0553809549
chubut,"Chubut, Argentina",chubutargentina,argentina,Argentina,space,"Chubut, Argentina",,dgm_latamnarcoticslocations,4a2d2c900c20859b31c248e41e352443,dgm_latamnarcoticslocations__4a2d2c900c20859b31c248e41e352443
buenos aires,"Buenos Aires, Argentina",buenosairesargentina,argentina,Argentina,Media,"Buenos Aires, Argentina",,dgm_latamnarcoticslocations,1b9dc370755a443025c8726278cdf531,dgm_latamnarcoticslocations__1b9dc370755a443025c8726278cdf531
corrientes,"Corrientes, Argentina",corrientesargentina,argentina,Argentina,Wells,"Corrientes, Argentina",,dgm_latamnarcoticslocations,71018a974992710e1684916f90bf571e,dgm_latamnarcoticslocations__71018a974992710e1684916f90bf571e
entre rios,"Entre Rios, Argentina",entreriosargentina,argentina,Argentina,Diplomat,"Entre Rios, Argentina",,dgm_latamnarcoticslocations,19804cab6f7698801e576566c477736f,dgm_latamnarcoticslocations__19804cab6f7698801e576566c477736f
jujuy,"Jujuy, Argentina",jujuyargentina,argentina,Argentina,IndustryTerm,"Jujuy, Argentina",,dgm_latamnarcoticslocations,744a828deabf96597c904bd5a202f1e3,dgm_latamnarcoticslocations__744a828deabf96597c904bd5a202f1e3
la pampa,"La Pampa, Argentina",lapampaargentina,argentina,Argentina,DiplomaticFacilities,"La Pampa, Argentina",,dgm_latamnarcoticslocations,95b237746016194aef88c9dbff7b702a,dgm_latamnarcoticslocations__95b237746016194aef88c9dbff7b702a
la rioja,"La Rioja, Argentina",lariojaargentina,argentina,Argentina,Diplomat,"La Rioja, Argentina",,dgm_latamnarcoticslocations,2ab3bf3e559ecf210b67f0a368614657,dgm_latamnarcoticslocations__2ab3bf3e559ecf210b67f0a368614657
mendoza,"Mendoza, Argentina",mendozaargentina,argentina,Argentina,DiplomaticFacilities,"Mendoza, Argentina",,dgm_latamnarcoticslocations,8aaeef384a4da24564b937beff7c8f3b,dgm_latamnarcoticslocations__8aaeef384a4da24564b937beff7c8f3b
neuquen,"Neuquen, Argentina",neuquenargentina,argentina,Argentina,space,"Neuquen, Argentina",,dgm_latamnarcoticslocations,9eb030785486eddc22223c6495d72ab7,dgm_latamnarcoticslocations__9eb030785486eddc22223c6495d72ab7
salta,"Salta, Argentina",saltaargentina,argentina,Argentina,ForeignMinistry,"Salta, Argentina",,dgm_latamnarcoticslocations,16f2954d79fe3c235a2ec13f70f1394b,dgm_latamnarcoticslocations__16f2954d79fe3c235a2ec13f70f1394b
san juan,"San Juan, Argentina",sanjuanargentina,argentina,Argentina,Refinery,"San Juan, Argentina",,dgm_latamnarcoticslocations,1bf904793f5ece51590e49f0e744d56f,dgm_latamnarcoticslocations__1bf904793f5ece51590e49f0e744d56f
santa fe,"Santa Fe, Argentina",santafeargentina,argentina,Argentina,FTO,"Santa Fe, Argentina",,dgm_latamnarcoticslocations,345797c4d1145b0f2eb59d5516759e73,dgm_latamnarcoticslocations__345797c4d1145b0f2eb59d5516759e73
santiago del estero,"Santiago del Estero, Argentina",santiagodelesteroargentina,argentina,Argentina,ForeignMinistry,"Santiago del Estero, Argentina",,dgm_latamnarcoticslocations,efeb636a44e98bfcf14034c98f203914,dgm_latamnarcoticslocations__efeb636a44e98bfcf14034c98f203914
tucuman,"Tucuman, Argentina",tucumanargentina,argentina,Argentina,Media,"Tucuman, Argentina",,dgm_latamnarcoticslocations,6fae4d4da720a51c9cf4548b402accb6,dgm_latamnarcoticslocations__6fae4d4da720a51c9cf4548b402accb6
caqueta,"Caqueta, Colombia",caquetaargentina,argentina,Argentina,Person,"Caqueta, Colombia",,dgm_latamnarcoticslocations,05cc7f80ab598d20b9a51e8cc724a5bf,dgm_latamnarcoticslocations__05cc7f80ab598d20b9a51e8cc724a5bf
rosario,"Rosario, Argentina",rosarioargentina,argentina,Argentina,Legislator,"Rosario, Argentina",,dgm_latamnarcoticslocations,0e6d343bf3d8318ab4ee9de38fd1707f,dgm_latamnarcoticslocations__0e6d343bf3d8318ab4ee9de38fd1707f
mar del plata,"Mar del Plata, Argentina",mardelplataargentina,argentina,Argentina,Person,"Mar del Plata, Argentina",,dgm_latamnarcoticslocations,4b1589320a4bf063f183abdee24adf8d,dgm_latamnarcoticslocations__4b1589320a4bf063f183abdee24adf8d
san miguel de tucuman,"San Miguel de Tucuman, Argentina",sanmigueldetucumanargentina,argentina,Argentina,Exec,"San Miguel de Tucuman, Argentina",,dgm_latamnarcoticslocations,2ff64efed5f7bc456627831d11c38946,dgm_latamnarcoticslocations__2ff64efed5f7bc456627831d11c38946
