keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
incautado,seizure,FTO,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
incautamos,seizure,DiplomaticFacilities,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
incauto,seizure,AAEntity,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
capturamos,seizure,Shipping,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
capturaron,seizure,Legislator,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
incautaron,seizure,Diplomat,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
confiscaron,seizure,space,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
confiscamos,seizure,News,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
aprehendido,seizure,Diplomat,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
aprehendimos,seizure,Shipping,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
aprienderon,seizure,Keyphrase,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
aprenden,seizure,CompanyKeyword,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
secuestraron,seizure,Consulates,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
secuestramos,seizure,Shipping,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
secuestran,seizure,Keyphrase,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
detuvimos,seizure,Legislator,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
detienen,seizure,IndustryTerm,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
incautacion,seizure,Legislator,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
localiza,seizure,Exec,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
localizamos,seizure,Consulates,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
localizan,seizure,Exec,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
detuvieron,seizure,Wells,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
decomisa,seizure,LegislativeCommittee,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
decomisaron,seizure,space,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
decomisamos,seizure,space,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
intervencion,seizure,LegislativeCommittee,seizure,,dgm_latamnarcoticsseizure,ef945baa62c4c530af3b3d856e418906,dgm_latamnarcoticsseizure__ef945baa62c4c530af3b3d856e418906
