keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
canabis,marijuana,ForeignMinister,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
cannabis,marijuana,Diplomat,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
chocolate,marijuana,Refinery,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
clorhidrato,cocaine hydrochloride,Diplomat,cocaine hydrochloride,,dgm_latamnarcoticsspecific,f476faa6ece0c59932106801d13dff35,dgm_latamnarcoticsspecific__f476faa6ece0c59932106801d13dff35
clorhidrato de cocaína,cocaine hydrochloride,ForeignMinistry,cocaine hydrochloride,,dgm_latamnarcoticsspecific,f476faa6ece0c59932106801d13dff35,dgm_latamnarcoticsspecific__f476faa6ece0c59932106801d13dff35
coca,cocaine,LegislativeCommittee,cocaine,,dgm_latamnarcoticsspecific,627b30a713d41bcf4a7bb4765c90bd9e,dgm_latamnarcoticsspecific__627b30a713d41bcf4a7bb4765c90bd9e
cocaina,cocaine,Organization,cocaine,,dgm_latamnarcoticsspecific,627b30a713d41bcf4a7bb4765c90bd9e,dgm_latamnarcoticsspecific__627b30a713d41bcf4a7bb4765c90bd9e
cocaína,cocaine,Organization,cocaine,,dgm_latamnarcoticsspecific,627b30a713d41bcf4a7bb4765c90bd9e,dgm_latamnarcoticsspecific__627b30a713d41bcf4a7bb4765c90bd9e
cristal,MDMA,Person,MDMA,,dgm_latamnarcoticsspecific,8cbedee7f47af0e2630c6b67011abf2f,dgm_latamnarcoticsspecific__8cbedee7f47af0e2630c6b67011abf2f
extasis,MDMA,Refinery,MDMA,,dgm_latamnarcoticsspecific,8cbedee7f47af0e2630c6b67011abf2f,dgm_latamnarcoticsspecific__8cbedee7f47af0e2630c6b67011abf2f
farlopa,cocaine,LegislativeCommittee,cocaine,,dgm_latamnarcoticsspecific,627b30a713d41bcf4a7bb4765c90bd9e,dgm_latamnarcoticsspecific__627b30a713d41bcf4a7bb4765c90bd9e
hachis,marijuana,DiplomaticFacilities,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
heroina,heroin,Wells,heroin,,dgm_latamnarcoticsspecific,66c4e6fa3361e746620634353e6f15e3,dgm_latamnarcoticsspecific__66c4e6fa3361e746620634353e6f15e3
heroína,heroin,News,heroin,,dgm_latamnarcoticsspecific,66c4e6fa3361e746620634353e6f15e3,dgm_latamnarcoticsspecific__66c4e6fa3361e746620634353e6f15e3
hierba,marijuana,Organization,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
hydroclorico,cocaine hydrochloride,space,cocaine hydrochloride,,dgm_latamnarcoticsspecific,f476faa6ece0c59932106801d13dff35,dgm_latamnarcoticsspecific__f476faa6ece0c59932106801d13dff35
maconha,marijuana,Wells,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
maria,marijuana,Legislator,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
marihuana,marijuana,Person,marijuana,,dgm_latamnarcoticsspecific,7c3536dc30a4c61e2c1c2ceea531205c,dgm_latamnarcoticsspecific__7c3536dc30a4c61e2c1c2ceea531205c
mdma,MDMA,IndustryTerm,MDMA,,dgm_latamnarcoticsspecific,8cbedee7f47af0e2630c6b67011abf2f,dgm_latamnarcoticsspecific__8cbedee7f47af0e2630c6b67011abf2f
pasta,cocaine,AAEntity,cocaine,,dgm_latamnarcoticsspecific,627b30a713d41bcf4a7bb4765c90bd9e,dgm_latamnarcoticsspecific__627b30a713d41bcf4a7bb4765c90bd9e
polvo,cocaine,CompanyKeyword,cocaine,,dgm_latamnarcoticsspecific,627b30a713d41bcf4a7bb4765c90bd9e,dgm_latamnarcoticsspecific__627b30a713d41bcf4a7bb4765c90bd9e
