keyword,caption_name,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1 kg,1 kg,general.alert3,News,1 kg,,dgm_latamnarcoticsweight,0d5fa14daa2e8a78cf4de4b977ed33f5,dgm_latamnarcoticsweight__0d5fa14daa2e8a78cf4de4b977ed33f5
2 kg,2 kg,general.alert3,DiplomaticFacilities,2 kg,,dgm_latamnarcoticsweight,6112336867578046890fd86028b6c29e,dgm_latamnarcoticsweight__6112336867578046890fd86028b6c29e
3 kg,3 kg,general.alert3,Keyphrase,3 kg,,dgm_latamnarcoticsweight,4154668fcc26ef70d9a12c882c95bc78,dgm_latamnarcoticsweight__4154668fcc26ef70d9a12c882c95bc78
4 kg,4 kg,general.alert3,Refinery,4 kg,,dgm_latamnarcoticsweight,8a609f83e439467ba171a115b26f08ac,dgm_latamnarcoticsweight__8a609f83e439467ba171a115b26f08ac
5 kg,5 kg,general.alert3,Person,5 kg,,dgm_latamnarcoticsweight,c7910c072cafdcb5e92b5f032313033a,dgm_latamnarcoticsweight__c7910c072cafdcb5e92b5f032313033a
6 kg,6 kg,general.alert3,AAEntity,6 kg,,dgm_latamnarcoticsweight,0800f435c9b25803ac52113512e91144,dgm_latamnarcoticsweight__0800f435c9b25803ac52113512e91144
7 kg,7 kg,general.alert3,Shipping,7 kg,,dgm_latamnarcoticsweight,5f8959ba25d1f78053778e61dbda93bc,dgm_latamnarcoticsweight__5f8959ba25d1f78053778e61dbda93bc
8 kg,8 kg,general.alert3,Keyphrase,8 kg,,dgm_latamnarcoticsweight,3ec301cc430e6193064393dc87b53391,dgm_latamnarcoticsweight__3ec301cc430e6193064393dc87b53391
9 kg,9 kg,general.alert3,Person,9 kg,,dgm_latamnarcoticsweight,8c6ec873bfcce2c546581dbf1bc91655,dgm_latamnarcoticsweight__8c6ec873bfcce2c546581dbf1bc91655
10 kg,10 kg,general.alert3,AAEntity,10 kg,,dgm_latamnarcoticsweight,97ceaab54dc2719611e6d15a434e001c,dgm_latamnarcoticsweight__97ceaab54dc2719611e6d15a434e001c
11 kg,11 kg,general.alert2.local,ForeignMinister,11 kg,,dgm_latamnarcoticsweight,bb71ffeb1ff65d168db6dc4b6a3239ab,dgm_latamnarcoticsweight__bb71ffeb1ff65d168db6dc4b6a3239ab
12 kg,12 kg,general.alert2.local,Shipping,12 kg,,dgm_latamnarcoticsweight,70be832f0cf0b4e412618177efbd7725,dgm_latamnarcoticsweight__70be832f0cf0b4e412618177efbd7725
13 kg,13 kg,general.alert2.local,Exec,13 kg,,dgm_latamnarcoticsweight,ba6dc05647d722d849d44e41c1e53c4f,dgm_latamnarcoticsweight__ba6dc05647d722d849d44e41c1e53c4f
14 kg,14 kg,general.alert2.local,AAEntity,14 kg,,dgm_latamnarcoticsweight,42e9017c500dee6a64d4c04720ba8dfe,dgm_latamnarcoticsweight__42e9017c500dee6a64d4c04720ba8dfe
