location_keyword,location_caption,alert_threshold,location_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
东海,East China Sea,general.alert2,eastchinasea,Person,East China Sea,,dgm_milexlocationsbroad,2feea68156e498bd610b7da16bac0e87,dgm_milexlocationsbroad__2feea68156e498bd610b7da16bac0e87
黄海,Yellow Sea,general.alert2,yellowsea,AAEntity,Yellow Sea,,dgm_milexlocationsbroad,f792fec9d5d586b55fb35e155dfcec88,dgm_milexlocationsbroad__f792fec9d5d586b55fb35e155dfcec88
台湾海,Taiwan Strait,general.alert2,taiwanstrait,Exec,Taiwan Strait,,dgm_milexlocationsbroad,c9f462052f13a9721fc72ed7a182ef5e,dgm_milexlocationsbroad__c9f462052f13a9721fc72ed7a182ef5e
太平洋,Pacific Ocean,general.alert2,pacificocean,Shipping,Pacific Ocean,,dgm_milexlocationsbroad,3e3b0e4c1d8d14efb313ca74f3ead4cb,dgm_milexlocationsbroad__3e3b0e4c1d8d14efb313ca74f3ead4cb
南海,South China Sea,general.alert2,southchinasea,Legislator,South China Sea,,dgm_milexlocationsbroad,a17a746b67c0d020a8c0e554b31e47b8,dgm_milexlocationsbroad__a17a746b67c0d020a8c0e554b31e47b8
南中国海,South China Sea,general.alert2,southchinasea,LegislativeCommittee,South China Sea,,dgm_milexlocationsbroad,a17a746b67c0d020a8c0e554b31e47b8,dgm_milexlocationsbroad__a17a746b67c0d020a8c0e554b31e47b8
东中国海,East China Sea,general.alert2,eastchinasea,Refinery,East China Sea,,dgm_milexlocationsbroad,2feea68156e498bd610b7da16bac0e87,dgm_milexlocationsbroad__2feea68156e498bd610b7da16bac0e87
琉球群岛,Ryukyu Islands in Japan,general.alert2,ryukyuislandsinjapan,News,Ryukyu Islands in Japan,,dgm_milexlocationsbroad,0e39b1586d663f26948ef5a57f197db2,dgm_milexlocationsbroad__0e39b1586d663f26948ef5a57f197db2
钓鱼台列屿,Senkaku Islands,general.alert2,senkakuislands,ForeignMinister,Senkaku Islands,,dgm_milexlocationsbroad,622f0d8e662d3b0a107d7490eab511a1,dgm_milexlocationsbroad__622f0d8e662d3b0a107d7490eab511a1
黄海中部,Yellow Sea,general.alert2,yellowsea,space,Yellow Sea,,dgm_milexlocationsbroad,f792fec9d5d586b55fb35e155dfcec88,dgm_milexlocationsbroad__f792fec9d5d586b55fb35e155dfcec88
渤海,Bohai Sea,general.alert2,bohaisea,Media,Bohai Sea,,dgm_milexlocationsbroad,bae9ecc3e886f9162e494b85c64e7c7b,dgm_milexlocationsbroad__bae9ecc3e886f9162e494b85c64e7c7b
莱州湾,Laizhou Bay,general.alert2,laizhoubay,Person,Laizhou Bay,,dgm_milexlocationsbroad,d194034c0f763791408336cff92a69cb,dgm_milexlocationsbroad__d194034c0f763791408336cff92a69cb
北部湾,Gulf of Tonkin,general.alert2,gulfoftonkin,Refinery,Gulf of Tonkin,,dgm_milexlocationsbroad,27fc7518a5210ca93e00be6836def8a3,dgm_milexlocationsbroad__27fc7518a5210ca93e00be6836def8a3
