handle,caption_name,location,location_lower,type,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ibtimes,US online publication International Business Times,"New York, NY","new york, ny",Finance Press,,FinancePress,US online publication International Business Times,,dgm_mining_financialpress,bb769e1db81075f32d036622066d22f0,dgm_mining_financialpress__bb769e1db81075f32d036622066d22f0
seekingalpha,crowd-sourced content service Seeking Alpha,"Ra'anana
, Israel",israel,Finance Press,,FinancePress,crowd-sourced content service Seeking Alpha,,dgm_mining_financialpress,685f5d8848f1cb53e755f07bfc3cdd65,dgm_mining_financialpress__685f5d8848f1cb53e755f07bfc3cdd65
moneymorning,financial information website Money Morning,"Baltimore, MD",marland,Finance Press,,FinancePress,financial information website Money Morning,,dgm_mining_financialpress,4d9d094eea20e1d11fee6986c1b3b51a,dgm_mining_financialpress__4d9d094eea20e1d11fee6986c1b3b51a
bsindia,Indian newspaper Business Standard,New Delhi,new delhi,Finance Press,,FinancePress,Indian newspaper Business Standard,,dgm_mining_financialpress,ad867785b81a1051bccd71f181581ce2,dgm_mining_financialpress__ad867785b81a1051bccd71f181581ce2
businessline,Indian newspaper Business Line,New Delhi,new delhi,Finance Press,,FinancePress,Indian newspaper Business Line,,dgm_mining_financialpress,3c2ed3d5a93b6e5992bf28675736738f,dgm_mining_financialpress__3c2ed3d5a93b6e5992bf28675736738f
investingcom,financial news website Investing.com,"Doral, FL",florida,Finance Press,,FinancePress,financial news website Investing.com,,dgm_mining_financialpress,b6e52b4177eec80466e4c85182b5f5e8,dgm_mining_financialpress__b6e52b4177eec80466e4c85182b5f5e8
musicbizworld,music industry news site Music Business Worldwide,"London, uk","london, uk",Finance Press,,FinancePress,music industry news site Music Business Worldwide,,dgm_mining_financialpress,50653b4e89b8917c04ba011acb6e6dc2,dgm_mining_financialpress__50653b4e89b8917c04ba011acb6e6dc2
finxzim,financial news website Financial Express,Harare,harare,Finance Press,,FinancePress,financial news website Financial Express,,dgm_mining_financialpress,751d05ce78435a6db97519629de19479,dgm_mining_financialpress__751d05ce78435a6db97519629de19479
businessline,Indian business daily Business Line,"Chennai, india","chennai, india",Finance Press,,FinancePress,Indian business daily Business Line,,dgm_mining_financialpress,cf4feda853157f66e088ef79d230a055,dgm_mining_financialpress__cf4feda853157f66e088ef79d230a055
globesenglish,Israeli financial newspaper Globes English,israel,israel,Finance Press,,FinancePress,Israeli financial newspaper Globes English,,dgm_mining_financialpress,b183f4ac83c7972a17c53da3950a49ad,dgm_mining_financialpress__b183f4ac83c7972a17c53da3950a49ad
