keyword,caption_name,topic_id,type,groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
huntly mine,Huntly bauxite mine,188471,bauxite,,Bauxite,Huntly bauxite mine,,dgm_mining_mentionee,bdfb40456fa7d690bdb93615d3a661e1,dgm_mining_mentionee__bdfb40456fa7d690bdb93615d3a661e1
willowdale mine,Willowdale bauxite mine,188471,bauxite,,Bauxite,Willowdale bauxite mine,,dgm_mining_mentionee,01374c8b42167290b82cecf3742169c2,dgm_mining_mentionee__01374c8b42167290b82cecf3742169c2
boddington,Boddington bauxite mine,188471,bauxite,,Bauxite,Boddington bauxite mine,,dgm_mining_mentionee,6b4cf6b27d628d3fda8b7d039526047a,dgm_mining_mentionee__6b4cf6b27d628d3fda8b7d039526047a
gove mine,Gove bauxite mine,188471,bauxite,,Bauxite,Gove bauxite mine,,dgm_mining_mentionee,060ed339a79641923120d271a19c08f9,dgm_mining_mentionee__060ed339a79641923120d271a19c08f9
jiakou mine,Jiakou bauxite mine,188471,bauxite,,Bauxite,Jiakou bauxite mine,,dgm_mining_mentionee,bae363d89a633dc310fd9ae67f5bddcb,dgm_mining_mentionee__bae363d89a633dc310fd9ae67f5bddcb
porto trombetas,Porto Trombetas bauxite mine,188471,bauxite,,Bauxite,Porto Trombetas bauxite mine,,dgm_mining_mentionee,c5a3aa77e7d872e6f58a90c913c24020,dgm_mining_mentionee__c5a3aa77e7d872e6f58a90c913c24020
mineracao rio do norte,Mineracao Rio do Norte bauxite mine,188471,bauxite,,Bauxite,Mineracao Rio do Norte bauxite mine,,dgm_mining_mentionee,38cbfbb1a5456c205078be93651e33cf,dgm_mining_mentionee__38cbfbb1a5456c205078be93651e33cf
mrn mine,MRN bauxite mine,188471,bauxite,,Bauxite,MRN bauxite mine,,dgm_mining_mentionee,3b4e441d84d014aae7dc054ec8886055,dgm_mining_mentionee__3b4e441d84d014aae7dc054ec8886055
paragominas,Paragominas bauxite mine,188471,bauxite,,Bauxite,Paragominas bauxite mine,,dgm_mining_mentionee,4a28515ed446ad36029f82b02513e174,dgm_mining_mentionee__4a28515ed446ad36029f82b02513e174
juruti mine,Juruti bauxite mine,188471,bauxite,,Bauxite,Juruti bauxite mine,,dgm_mining_mentionee,aed3605e184c060e3d6e49ebacaad473,dgm_mining_mentionee__aed3605e184c060e3d6e49ebacaad473
kendawangan mine,Kendawangan bauxite mine,188471,bauxite,,Bauxite,Kendawangan bauxite mine,,dgm_mining_mentionee,7b907d81f4848369831282bb1ec2c89e,dgm_mining_mentionee__7b907d81f4848369831282bb1ec2c89e
tangerang mine,Tangerang bauxite mine,188471,bauxite,,Bauxite,Tangerang bauxite mine,,dgm_mining_mentionee,b263a6030de92375f042d2d8ea3b9e8a,dgm_mining_mentionee__b263a6030de92375f042d2d8ea3b9e8a
east kotawaringin mine,East Kotawaringin bauxite mine,188471,bauxite,,Bauxite,East Kotawaringin bauxite mine,,dgm_mining_mentionee,9dedd176e77bee4cf6a95821240b8c01,dgm_mining_mentionee__9dedd176e77bee4cf6a95821240b8c01
sangaredi mine,Sangaredi bauxite mine,188471,bauxite,,Bauxite,Sangaredi bauxite mine,,dgm_mining_mentionee,5bc80459c3db5ae2225c3418bd14880d,dgm_mining_mentionee__5bc80459c3db5ae2225c3418bd14880d
boke mine,Boke bauxite mine,188471,bauxite,,Bauxite,Boke bauxite mine,,dgm_mining_mentionee,d4a578aaa2821f15bc8d9a83e386491f,dgm_mining_mentionee__d4a578aaa2821f15bc8d9a83e386491f
panchpatmali mine,Panchpatmali bauxite mine,188471,bauxite,,Bauxite,Panchpatmali bauxite mine,,dgm_mining_mentionee,6a0a8785e8077e34b718676469981fbe,dgm_mining_mentionee__6a0a8785e8077e34b718676469981fbe
