handle,caption_name,location,location_lower,type,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
_lekanadegbite,Nigeria Mines and Steel Development Minister,Nigeria,nigeria,mining minister,,MiningMinister,Nigeria Mines and Steel Development Minister,,dgm_mining_mentioner,b182d4eea76d558e966dd7ab3387a0de,dgm_mining_mentioner__b182d4eea76d558e966dd7ab3387a0de
abdoulayemagass,Guinean Mines and Geology Minister,Guinea,guinea,mining minister,,MiningMinister,Guinean Mines and Geology Minister,,dgm_mining_mentioner,fb61343394bc8cbb1b4957135c055017,dgm_mining_mentioner__fb61343394bc8cbb1b4957135c055017
andreameza76,"Costa Rican Environment, Energy and Telecommunications Minister",Costa Rica,costa rica,mining minister,,MiningMinister,"Costa Rican Environment, Energy and Telecommunications Minister",,dgm_mining_mentioner,b9e9888f921a68e56c269632ef3a017c,dgm_mining_mentioner__b9e9888f921a68e56c269632ef3a017c
arturstoms,Latvia Environmental and Regional Development Minister,Latvia,latvia,mining minister,,MiningMinister,Latvia Environmental and Regional Development Minister,,dgm_mining_mentioner,96c1428a49711bdcc546d204c0c84726,dgm_mining_mentioner__96c1428a49711bdcc546d204c0c84726
aziz_rabbah,"Moroccan Minister of Energy, Mines and Environment",Morocco,morocco,mining minister,,MiningMinister,"Moroccan Minister of Energy, Mines and Environment",,dgm_mining_mentioner,813e8b86aa9a4bb0f9bd312c029ac981,dgm_mining_mentioner__813e8b86aa9a4bb0f9bd312c029ac981
bachirismael,Burkinabe Mines and Quarries Minister,Burkina Faso,burkina faso,mining minister,,MiningMinister,Burkinabe Mines and Quarries Minister,,dgm_mining_mentioner,0a8940a3d8be9a585c5a6891745a7166,dgm_mining_mentioner__0a8940a3d8be9a585c5a6891745a7166
beisgovuk,"UK Department of Business, Energy and Industrial Strategy",United Kingdom,united kingdom,mining ministry,,MiningMinistry,"UK Department of Business, Energy and Industrial Strategy",,dgm_mining_mentioner,80e7a0340c23c3529111b9852de109ad,dgm_mining_mentioner__80e7a0340c23c3529111b9852de109ad
bolund,Sweden Environment and Climate Minister,Sweden,sweden,mining minister,,MiningMinister,Sweden Environment and Climate Minister,,dgm_mining_mentioner,8055d36446528dca87d3ac99c35fdb12,dgm_mining_mentioner__8055d36446528dca87d3ac99c35fdb12
br_sprecher,Switzerland Department of Energy,Switzerland,switzerland,mining ministry,,MiningMinistry,Switzerland Department of Energy,,dgm_mining_mentioner,cca4760823be571be34511dee360a66e,dgm_mining_mentioner__cca4760823be571be34511dee360a66e
brothershawkeye,Industry and Mineral Resources Minister,Saudi Arabia,saudi arabia,mining minister,,MiningMinister,Industry and Mineral Resources Minister,,dgm_mining_mentioner,45e3b11484eef191c88832754e0fbe65,dgm_mining_mentioner__45e3b11484eef191c88832754e0fbe65
dainiuskreivys,Lithuania Energy Minister,Lithuania,lithuania,mining minister,,MiningMinister,Lithuania Energy Minister,,dgm_mining_mentioner,1abd68d61a12e689a18c97152a968339,dgm_mining_mentioner__1abd68d61a12e689a18c97152a968339
dan_kersch,"Labour, Employment and Solidarity Economy Minister",Luxembourg,luxembourg,mining minister,,MiningMinister,"Labour, Employment and Solidarity Economy Minister",,dgm_mining_mentioner,501ff82a432e2949ff11ba1dfa192bc2,dgm_mining_mentioner__501ff82a432e2949ff11ba1dfa192bc2
