handle,caption_name,location,location_lower,type,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
woodmackenzie,Wood Mackenzie,united kingdom,united kingdom,industry press,,IndustryPress,Wood Mackenzie,,dgm_mining_mentioner_press,d3b127b355a4ad97c77180afb482e44a,dgm_mining_mentioner_press__d3b127b355a4ad97c77180afb482e44a
energyandmines,Energy And Mines,Australia,australia,industry press,,IndustryPress,Energy And Mines,,dgm_mining_mentioner_press,9705e375071462f0b13e6269b8c2880c,dgm_mining_mentioner_press__9705e375071462f0b13e6269b8c2880c
miningmagazine,Mining Magazine,united kingdom,united kingdom,industry press,,IndustryPress,Mining Magazine,,dgm_mining_mentioner_press,d71c09f2c0668f49d3f551dfbf081b3d,dgm_mining_mentioner_press__d71c09f2c0668f49d3f551dfbf081b3d
geodrilling,GeoDrilling International,united kingdom,united kingdom,industry press,,IndustryPress,GeoDrilling International,,dgm_mining_mentioner_press,31cb12a736e423d985dac3d96a3c7a2b,dgm_mining_mentioner_press__31cb12a736e423d985dac3d96a3c7a2b
noticiasmb,Noticias de Mineracao Brasil,Brazil,brazil,industry press,,IndustryPress,Noticias de Mineracao Brasil,,dgm_mining_mentioner_press,52a3c40c893cedd74c5af40ac3ce78c0,dgm_mining_mentioner_press__52a3c40c893cedd74c5af40ac3ce78c0
auminingmonthly,Australias Mining Monthly,Australia,australia,industry press,,IndustryPress,Australias Mining Monthly,,dgm_mining_mentioner_press,525bcab5c4636747d8449e7ea9656323,dgm_mining_mentioner_press__525bcab5c4636747d8449e7ea9656323
pngreport,PNG Report,Australia,australia,industry press,,IndustryPress,PNG Report,,dgm_mining_mentioner_press,476f45d25593af4002e9204ab8ec5232,dgm_mining_mentioner_press__476f45d25593af4002e9204ab8ec5232
miningonline,Mining Journal,"london, uk","london, uk",industry press,,IndustryPress,Mining Journal,,dgm_mining_mentioner_press,e1d0e998d51a8329072e98c834d48e99,dgm_mining_mentioner_press__e1d0e998d51a8329072e98c834d48e99
energynewsbulletin,Energy News Bulletin,Australia,australia,industry press,,IndustryPress,Energy News Bulletin,,dgm_mining_mentioner_press,5a5fff34985e07b30dbf90888e3eb24d,dgm_mining_mentioner_press__5a5fff34985e07b30dbf90888e3eb24d
miningjournal,Mining Journal,united kingdom,united kingdom,industry press,,IndustryPress,Mining Journal,,dgm_mining_mentioner_press,e1d0e998d51a8329072e98c834d48e99,dgm_mining_mentioner_press__e1d0e998d51a8329072e98c834d48e99
eminingjournal,Engineering And Mining Journal,United States,united states,industry press,,IndustryPress,Engineering And Mining Journal,,dgm_mining_mentioner_press,0c8354a7cd38eeea0f2a2bb42eb2a8da,dgm_mining_mentioner_press__0c8354a7cd38eeea0f2a2bb42eb2a8da
fastmarketsmb,Fastmarkets Metal Bullettin,"london, uk","london, uk",industry press,,IndustryPress,Fastmarkets Metal Bullettin,,dgm_mining_mentioner_press,7ee8e35a4b38314e6ff58902168deaca,dgm_mining_mentioner_press__7ee8e35a4b38314e6ff58902168deaca
northernminer,The Northern Miner,Canada,canada,industry press,,IndustryPress,The Northern Miner,,dgm_mining_mentioner_press,3e07581ff4635d82995713a1b7eb56bc,dgm_mining_mentioner_press__3e07581ff4635d82995713a1b7eb56bc
miningreview,Mining Review Africa,South Africa,south africa,industry press,,IndustryPress,Mining Review Africa,,dgm_mining_mentioner_press,ce06202752a8bd88afdc868be3373dde,dgm_mining_mentioner_press__ce06202752a8bd88afdc868be3373dde
cdn_mining_jrnl,Canadian Mining Journal,Canada,canada,industry press,,IndustryPress,Canadian Mining Journal,,dgm_mining_mentioner_press,eacf734430b83b2ad6935fea00803ae9,dgm_mining_mentioner_press__eacf734430b83b2ad6935fea00803ae9
2021quarry,Quarrying and Mining Magazine,New Zealand,new zealand,industry press,,IndustryPress,Quarrying and Mining Magazine,,dgm_mining_mentioner_press,cd01b39ead50d5d0b2c85ceff92ca4b2,dgm_mining_mentioner_press__cd01b39ead50d5d0b2c85ceff92ca4b2
