keyword,caption_name,topic_id,type,groups,GUID,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(gulf of mexico; production),Gulf of Mexico oil production,188162;188132,commodities,,,,,,,#N/A,Commodities,Gulf of Mexico oil production,,dgm_og_mentionee,2d91cc2fce82cc72c496b7feb5e7ccff,dgm_og_mentionee__2d91cc2fce82cc72c496b7feb5e7ccff
@adnocdist,Emirati state-owned fuel distributor ADNOC Distribution,188162;188132,company handle,;adnocdist;adnoc distribution;adnocgroup;abu dhabi national oil company;adnoc;abu dhabi national oil;adnoc,,,,,,#N/A,CompanyHandle,Emirati state-owned fuel distributor ADNOC Distribution,,dgm_og_mentionee,13cb2913cdb35f31f2bec7a9763cef47,dgm_og_mentionee__13cb2913cdb35f31f2bec7a9763cef47
@adnocgroup,state-owned Abu Dhabi National Oil Company,188162;188132,company handle,;adnocdist;adnoc distribution;adnocgroup;abu dhabi national oil company;adnoc;abu dhabi national oil;adnoc,,,,,,#N/A,CompanyHandle,state-owned Abu Dhabi National Oil Company,,dgm_og_mentionee,eab169499737503facf77ab8741eb09b,dgm_og_mentionee__eab169499737503facf77ab8741eb09b
@alyeskapipeline,US oil and gas company Alyeska Pipeline Service Company,188162;188132,company handle,;alyeskapipeline;alyeska pipeline service company,,,,,,#N/A,CompanyHandle,US oil and gas company Alyeska Pipeline Service Company,,dgm_og_mentionee,80c40451651971e505814581ca30f4b3,dgm_og_mentionee__80c40451651971e505814581ca30f4b3
@anteroresources,US oil and gas company Antero Resources,188162;188132,company handle,;anteroresources;antero resources,,,,,,#N/A,CompanyHandle,US oil and gas company Antero Resources,,dgm_og_mentionee,c89138e5cb4000d22d4693f76b50486f,dgm_og_mentionee__c89138e5cb4000d22d4693f76b50486f
@apachecorp,US oil and gas company Apache Corporation,188162;188132,company handle,apa coproration;apachecorp;apache corporation,,,,,,#N/A,CompanyHandle,US oil and gas company Apache Corporation,,dgm_og_mentionee,4c83b5e38b4e77fbe1d56a732fbbc640,dgm_og_mentionee__4c83b5e38b4e77fbe1d56a732fbbc640
@apagroup,Australian oil and gas company APA Group,188162;188132,company handle,;apagroup;apa group,,,,,,#N/A,CompanyHandle,Australian oil and gas company APA Group,,dgm_og_mentionee,e4b9d4a7baa5e743271945d4fa39ec80,dgm_og_mentionee__e4b9d4a7baa5e743271945d4fa39ec80
@aramco,Saudi Aramco,188162;188132,company handle,;aramco;saudi aramco,,,,,,Saudi Aramco,CompanyHandle,Saudi Aramco,,dgm_og_mentionee,788bdbbc47367f55e909af5725c79b16,dgm_og_mentionee__788bdbbc47367f55e909af5725c79b16
@bakerhughesco,US oil and gas company Baker Hughes,188162;188132,company handle,;bakerhughesco;baker hughes,,,,,,#N/A,CompanyHandle,US oil and gas company Baker Hughes,,dgm_og_mentionee,d973f372a71a8fff5e89dfaa4dac9cc5,dgm_og_mentionee__d973f372a71a8fff5e89dfaa4dac9cc5
@bapco,state-owned Bahrain Petroleum Company,188162;188132,company handle,;bapco;bahrain petroleum company,,,,,,#N/A,CompanyHandle,state-owned Bahrain Petroleum Company,,dgm_og_mentionee,1bfbc10d761e926b3628732924c0f1e8,dgm_og_mentionee__1bfbc10d761e926b3628732924c0f1e8
@bapco_bahrain,state-owned Bahrain Petroleum Company,188162;188132,company handle,;bapco_bahrain;bahrain petroleum company,,,,,,#N/A,CompanyHandle,state-owned Bahrain Petroleum Company,,dgm_og_mentionee,1bfbc10d761e926b3628732924c0f1e8,dgm_og_mentionee__1bfbc10d761e926b3628732924c0f1e8
@bhenergy,US oil and gas company Black Hills Energy,188162;188132,company handle,;bhenergy;black hills energy,,,,,,#N/A,CompanyHandle,US oil and gas company Black Hills Energy,,dgm_og_mentionee,7d5354d943e5dc893d87185f3453e875,dgm_og_mentionee__7d5354d943e5dc893d87185f3453e875
@bp_america,BP America,188162;188132,company handle,bp;bp_america;bp america,,,,,,BP America,CompanyHandle,BP America,,dgm_og_mentionee,08513861eb3a6617dc4c08f269dbf265,dgm_og_mentionee__08513861eb3a6617dc4c08f269dbf265
