handle,caption_name,location,location_lower,type,exclude_groups,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
germanambafg,German Ambassador to Afghanistan,Afghanistan,afghanistan,Ambassadors & Representatives,,,afghanistan;germany,Ambassadors&Representatives,German Ambassador to Afghanistan,,dgm_og_mentioner_v6,1597e9e8995ea1d82cc2a218c58acccb,dgm_og_mentioner_v6__1597e9e8995ea1d82cc2a218c58acccb
euambafg,EU Ambassador to Afghanistan,Afghanistan,afghanistan,Ambassadors & Representatives,,,afghanistan;belgium,Ambassadors&Representatives,EU Ambassador to Afghanistan,,dgm_og_mentioner_v6,c84bc530df3d0af4f46e655f1a8defd2,dgm_og_mentioner_v6__c84bc530df3d0af4f46e655f1a8defd2
gilesleveruk,UK Deputy Ambassador to Afghanistan,Afghanistan,afghanistan,Ambassadors & Representatives,,,afghanistan;uk,Ambassadors&Representatives,UK Deputy Ambassador to Afghanistan,,dgm_og_mentioner_v6,c8a8eecd8c2d36a9f724589f92fa0cc8,dgm_og_mentioner_v6__c8a8eecd8c2d36a9f724589f92fa0cc8
deborahlyonsun,UN Special Representative for Afghanistan,Afghanistan,afghanistan,Ambassadors & Representatives,,,afghanistan;un,Ambassadors&Representatives,UN Special Representative for Afghanistan,,dgm_og_mentioner_v6,e1d733315733959c9cb8e895eb57be61,dgm_og_mentioner_v6__e1d733315733959c9cb8e895eb57be61
david_martinon,French Ambassador to Afghanistan,Afghanistan,afghanistan,Ambassadors & Representatives,,,afghanistan;france,Ambassadors&Representatives,French Ambassador to Afghanistan,,dgm_og_mentioner_v6,21d7f7a346c0027621523e9360a5c2d7,dgm_og_mentioner_v6__21d7f7a346c0027621523e9360a5c2d7
lindemanole,Norwegian Ambassador to Afghanistan,Afghanistan,afghanistan,Ambassadors & Representatives,,,afghanistan;norway,Ambassadors&Representatives,Norwegian Ambassador to Afghanistan,,dgm_og_mentioner_v6,9e812b044b9ec0fb2b921c88bfb788bf,dgm_og_mentioner_v6__9e812b044b9ec0fb2b921c88bfb788bf
mhaneefatmar,Afghan Foreign Minister Haneef Atmar,Afghanistan,afghanistan,Foreign Minister,,,afghanistan,ForeignMinister,Afghan Foreign Minister Haneef Atmar,,dgm_og_mentioner_v6,91d80d30d73bd3ee2435735b300b3bd4,dgm_og_mentioner_v6__91d80d30d73bd3ee2435735b300b3bd4
mfa_afghanistan,Afghan Foreign Ministry,Afghanistan,afghanistan,Foreign Ministry,,,afghanistan,ForeignMinistry,Afghan Foreign Ministry,,dgm_og_mentioner_v6,6d634d8d9e34622a6a39466bb5b8c0c1,dgm_og_mentioner_v6__6d634d8d9e34622a6a39466bb5b8c0c1
ashrafghani,Afghani President Ghani,afghanistan,afghanistan,Heads of State,,,afghanistan,HeadsOfState,Afghani President Ghani,,dgm_og_mentioner_v6,bf95f8d6284cab647393e997be6416a5,dgm_og_mentioner_v6__bf95f8d6284cab647393e997be6416a5
royarahmani,Afghan Ambassador to US,Afghanistan,afghanistan,Host Nation Ambassadors to US,,,afghanistan,HostNationAmbassadorsToUs,Afghan Ambassador to US,,dgm_og_mentioner_v6,ed62c54f9576f0b71cd74796e4ac1638,dgm_og_mentioner_v6__ed62c54f9576f0b71cd74796e4ac1638
usambkabul,US Ambassador to Afghanistan Wilson,Afghanistan,afghanistan,US ambassadors,,,afghanistan;united states,UsAmbassadors,US Ambassador to Afghanistan Wilson,,dgm_og_mentioner_v6,fa5bb87a6e3e785c8c5e3ba209496073,dgm_og_mentioner_v6__fa5bb87a6e3e785c8c5e3ba209496073
gastonbrowne,Antiguan Prime Minister Browne,aland islands,aland islands,Heads of State,,,aland islands,HeadsOfState,Antiguan Prime Minister Browne,,dgm_og_mentioner_v6,b4c2f9cf58d24485e24abe1d3842c201,dgm_og_mentioner_v6__b4c2f9cf58d24485e24abe1d3842c201
dnormanfcdo,UK Ambassador to Albania,Albania,albania,Ambassadors & Representatives,,,albania;uk,Ambassadors&Representatives,UK Ambassador to Albania,,dgm_og_mentioner_v6,0bb4d3aa0cc2afc25494886a4f241bc5,dgm_og_mentioner_v6__0bb4d3aa0cc2afc25494886a4f241bc5
lsorecaeu,EU Ambassador to Albania,Albania,albania,Ambassadors & Representatives,,,albania;albania,Ambassadors&Representatives,EU Ambassador to Albania,,dgm_og_mentioner_v6,f3024de7a090db24a19230d483169b2f,dgm_og_mentioner_v6__f3024de7a090db24a19230d483169b2f
xhacka_olta,Albanian Foreign Minister Xhacka,Albania,albania,Foreign Minister,,,albania,ForeignMinister,Albanian Foreign Minister Xhacka,,dgm_og_mentioner_v6,5e6cf0297dff9c3ee1643ef0965cd1a3,dgm_og_mentioner_v6__5e6cf0297dff9c3ee1643ef0965cd1a3
albaniandiplo,Albanian Foreign Ministry,Albania,albania,Foreign Ministry,,,albania,ForeignMinistry,Albanian Foreign Ministry,,dgm_og_mentioner_v6,dfbae4bc82c223776334bac4a74c1fd9,dgm_og_mentioner_v6__dfbae4bc82c223776334bac4a74c1fd9
ilirmetazyrtar,Albanian President Meta,Albania,albania,Heads of State,,,albania,HeadsOfState,Albanian President Meta,,dgm_og_mentioner_v6,9dc2ab9e93984071a096b0fcd7210c18,dgm_og_mentioner_v6__9dc2ab9e93984071a096b0fcd7210c18
floretafaber,Albanian Ambassador to US,Albania,albania,Host Nation Ambassadors to US,,,albania,HostNationAmbassadorsToUs,Albanian Ambassador to US,,dgm_og_mentioner_v6,6adb96793cf01453fb15740fd858ca06,dgm_og_mentioner_v6__6adb96793cf01453fb15740fd858ca06
usambalbania,US Ambassador to Albania Kim,Albania,albania,US ambassadors,,,albania;united states,UsAmbassadors,US Ambassador to Albania Kim,,dgm_og_mentioner_v6,c149670e23306eb17ea001db57383139,dgm_og_mentioner_v6__c149670e23306eb17ea001db57383139
jorourkeeu,EU Ambassador to Algeria,Algeria,algeria,Ambassadors & Representatives,,,algeria;belgium,Ambassadors&Representatives,EU Ambassador to Algeria,,dgm_og_mentioner_v6,b09e4ad94984883b72569b3a486aaeb6,dgm_og_mentioner_v6__b09e4ad94984883b72569b3a486aaeb6
swardlefcdo,UK Ambassador to Algeria,Algeria,algeria,Ambassadors & Representatives,,,algeria;uk,Ambassadors&Representatives,UK Ambassador to Algeria,,dgm_og_mentioner_v6,f29c62e74f8a55ee8b6867ab0893532a,dgm_og_mentioner_v6__f29c62e74f8a55ee8b6867ab0893532a
maxsubkh,Ukrainian Ambassador to Algeria,Algeria,algeria,Ambassadors & Representatives,,,algeria;ukraine,Ambassadors&Representatives,Ukrainian Ambassador to Algeria,,dgm_og_mentioner_v6,4709179b099c41c533a803d9619ec115,dgm_og_mentioner_v6__4709179b099c41c533a803d9619ec115
boukadoum_s,Algerian Foreign Minister Boukadoum,Algeria,algeria,Foreign Minister,,,algeria,ForeignMinister,Algerian Foreign Minister Boukadoum,,dgm_og_mentioner_v6,caecc183fd5af421e328770054fba45f,dgm_og_mentioner_v6__caecc183fd5af421e328770054fba45f
algeria_mfa,Algerian Foreign Ministry,Algeria,algeria,Foreign Ministry,,,algeria,ForeignMinistry,Algerian Foreign Ministry,,dgm_og_mentioner_v6,fee16de7204af552b0b63eeec15f74d8,dgm_og_mentioner_v6__fee16de7204af552b0b63eeec15f74d8
dz_pm_djerad,Algerian Prime Minister Djerad,Algeria,algeria,Heads of State,,,algeria,HeadsOfState,Algerian Prime Minister Djerad,,dgm_og_mentioner_v6,2c52602d0e74fc6e7636bdb368706e59,dgm_og_mentioner_v6__2c52602d0e74fc6e7636bdb368706e59
tebbouneamadjid,Algerian President Tebboune,Algeria,algeria,Heads of State,,,algeria,HeadsOfState,Algerian President Tebboune,,dgm_og_mentioner_v6,ff051245fbc42cefc2b2386816afcbdc,dgm_og_mentioner_v6__ff051245fbc42cefc2b2386816afcbdc
madbougalg,Algerian Ambassador to US,Algeria,algeria,Host Nation Ambassadors to US,,,algeria,HostNationAmbassadorsToUs,Algerian Ambassador to US,,dgm_og_mentioner_v6,90215bd40255cab23365b6b9d2bf88c0,dgm_og_mentioner_v6__90215bd40255cab23365b6b9d2bf88c0
usambtoalgeria,US Ambassador to Algeria Rana,Algeria,algeria,US ambassadors,,,algeria;united states,UsAmbassadors,US Ambassador to Algeria Rana,,dgm_og_mentioner_v6,a05f48181aa39563bbf2132f8283ba49,dgm_og_mentioner_v6__a05f48181aa39563bbf2132f8283ba49
mubachfont,Andorran Foreign Minister Ubach Font,Andorra,andorra,Foreign Minister,,,andorra,ForeignMinister,Andorran Foreign Minister Ubach Font,,dgm_og_mentioner_v6,3ba16134b3301ed137f2249282b83963,dgm_og_mentioner_v6__3ba16134b3301ed137f2249282b83963
xavierespot,Andorran Prime Minister Zamora,Andorra,andorra,Heads of State,,,andorra,HeadsOfState,Andorran Prime Minister Zamora,,dgm_og_mentioner_v6,fbf8f38ef74008a580c12fdba268ae72,dgm_og_mentioner_v6__fbf8f38ef74008a580c12fdba268ae72
jessicahandfcdo,UK Ambassador to Angola,Angola,angola,Ambassadors & Representatives,,,angola;uk,Ambassadors&Representatives,UK Ambassador to Angola,,dgm_og_mentioner_v6,3bd6647a56a68a9cfde76ed521e082e2,dgm_og_mentioner_v6__3bd6647a56a68a9cfde76ed521e082e2
ambewapolano,Swedish Ambassador to Angola,Angola,angola,Ambassadors & Representatives,,,angola;sweden,Ambassadors&Representatives,Swedish Ambassador to Angola,,dgm_og_mentioner_v6,43b55960da74a8b7f5fdd5e45e81610f,dgm_og_mentioner_v6__43b55960da74a8b7f5fdd5e45e81610f
guynambo,Gabonese Ambassador to Angola,Angola,angola,Ambassadors & Representatives,,,angola;gabon,Ambassadors&Representatives,Gabonese Ambassador to Angola,,dgm_og_mentioner_v6,a07dea5754ca4cd4e5943d8f3b91be46,dgm_og_mentioner_v6__a07dea5754ca4cd4e5943d8f3b91be46
kikkanh,Norwegian Ambassador to Angola,Angola,angola,Ambassadors & Representatives,,,angola;norway,Ambassadors&Representatives,Norwegian Ambassador to Angola,,dgm_og_mentioner_v6,e4fe77205871994ec95d9321272c5e6d,dgm_og_mentioner_v6__e4fe77205871994ec95d9321272c5e6d
angola_mirex,Angolan Foreign Ministry,Angola,angola,Foreign Ministry,,,angola,ForeignMinistry,Angolan Foreign Ministry,,dgm_og_mentioner_v6,77aad3db46e76a289d9d3379bae390d6,dgm_og_mentioner_v6__77aad3db46e76a289d9d3379bae390d6
jlprdeangola,Angolan President Lourenco,Angola,angola,Heads of State,,,angola,HeadsOfState,Angolan President Lourenco,,dgm_og_mentioner_v6,3f99952e7cde28b9e46bf1d6615da178,dgm_og_mentioner_v6__3f99952e7cde28b9e46bf1d6615da178
swissambtana,Swiss Ambassador to Madagascar,Antananarivo,antananarivo,Ambassadors & Representatives,,,antananarivo;switzerland,Ambassadors&Representatives,Swiss Ambassador to Madagascar,,dgm_og_mentioner_v6,70181b6da087c85e3bb5fe4b458a9a8c,dgm_og_mentioner_v6__70181b6da087c85e3bb5fe4b458a9a8c
abministryfa,Antiguan Foreign Ministry,Antigua & Barbuda,antigua & barbuda,Foreign Ministry,,,antigua & barbuda,ForeignMinistry,Antiguan Foreign Ministry,,dgm_og_mentioner_v6,61ea524eeaacda3830e58b1663121f2e,dgm_og_mentioner_v6__61ea524eeaacda3830e58b1663121f2e
