handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
chopraftc,US Federal Trade Commissioner Chopra,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Consulates,US Federal Trade Commissioner Chopra,,dgm_proscutor_handles,a71f751ff71277d05392d539e0b8f484,dgm_proscutor_handles__a71f751ff71277d05392d539e0b8f484
cswilsonftc,US Federal Trade Commissioner Wilson,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",IndustryTerm,US Federal Trade Commissioner Wilson,,dgm_proscutor_handles,b8256d68526aa0ac434fa8158692b348,dgm_proscutor_handles__b8256d68526aa0ac434fa8158692b348
ftcphillips,US Federal Trade Commissioner Phillips,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",DiplomaticFacilities,US Federal Trade Commissioner Phillips,,dgm_proscutor_handles,09fa766cece537a1398205e87897b1f5,dgm_proscutor_handles__09fa766cece537a1398205e87897b1f5
rkslaughterftc,US Federal Trade Commissioner Slaughter,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Media,US Federal Trade Commissioner Slaughter,,dgm_proscutor_handles,920d792e151665ec7321cc98e534ad58,dgm_proscutor_handles__920d792e151665ec7321cc98e534ad58
cfpbdirector,US Consumer Financial Protection Bureau Director Uejio,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Refinery,US Consumer Financial Protection Bureau Director Uejio,,dgm_proscutor_handles,357c34b7eb6efe37be5d7d3c40e7a3e2,dgm_proscutor_handles__357c34b7eb6efe37be5d7d3c40e7a3e2
jrosenworcelfcc,US Federal Communications Commission Chairwoman Rosenworcel,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",CompanyKeyword,US Federal Communications Commission Chairwoman Rosenworcel,,dgm_proscutor_handles,d7f4caa6700a13ad2aee4bbd28409be4,dgm_proscutor_handles__d7f4caa6700a13ad2aee4bbd28409be4
usattorneys,US Attorneys,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",ForeignMinistry,US Attorneys,,dgm_proscutor_handles,a4ab5f6be8f7db2672358b4c7035c3ca,dgm_proscutor_handles__a4ab5f6be8f7db2672358b4c7035c3ca
usattyshah,US Attorney Shah,"Austin, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"austin, tx",AAEntity,US Attorney Shah,,dgm_proscutor_handles,02e32faa953c9aab710239e96a15d93e,dgm_proscutor_handles__02e32faa953c9aab710239e96a15d93e
usattyganjei,US Attorney Ganjei,"Beaumont, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"beaumont, tx",Media,US Attorney Ganjei,,dgm_proscutor_handles,229a54a723c6935546da7f8466a736ab,dgm_proscutor_handles__229a54a723c6935546da7f8466a736ab
usattywilliams,US Attorney Williams,"Philadelphia, PA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"philadelphia, pa",Shipping,US Attorney Williams,,dgm_proscutor_handles,51344aba0ed494c14fb0e6209fccdf19,dgm_proscutor_handles__51344aba0ed494c14fb0e6209fccdf19
