handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
chopraftc,US Federal Trade Commissioner Chopra,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Consulates,US Federal Trade Commissioner Chopra,,dgm_prosecutor_handles,a71f751ff71277d05392d539e0b8f484,dgm_prosecutor_handles__a71f751ff71277d05392d539e0b8f484
cswilsonftc,US Federal Trade Commissioner Wilson,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Wells,US Federal Trade Commissioner Wilson,,dgm_prosecutor_handles,b8256d68526aa0ac434fa8158692b348,dgm_prosecutor_handles__b8256d68526aa0ac434fa8158692b348
ftcphillips,US Federal Trade Commissioner Phillips,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",LegislativeCommittee,US Federal Trade Commissioner Phillips,,dgm_prosecutor_handles,09fa766cece537a1398205e87897b1f5,dgm_prosecutor_handles__09fa766cece537a1398205e87897b1f5
rkslaughterftc,US Federal Trade Commissioner Slaughter,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Legislator,US Federal Trade Commissioner Slaughter,,dgm_prosecutor_handles,920d792e151665ec7321cc98e534ad58,dgm_prosecutor_handles__920d792e151665ec7321cc98e534ad58
cfpbdirector,US Consumer Financial Protection Bureau Director Uejio,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",Keyphrase,US Consumer Financial Protection Bureau Director Uejio,,dgm_prosecutor_handles,357c34b7eb6efe37be5d7d3c40e7a3e2,dgm_prosecutor_handles__357c34b7eb6efe37be5d7d3c40e7a3e2
jrosenworcelfcc,US Federal Communications Commission Chairwoman Rosenworcel,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",DiplomaticFacilities,US Federal Communications Commission Chairwoman Rosenworcel,,dgm_prosecutor_handles,d7f4caa6700a13ad2aee4bbd28409be4,dgm_prosecutor_handles__d7f4caa6700a13ad2aee4bbd28409be4
usattorneys,US Attorneys,"Washington, DC",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"washington, dc",CompanyKeyword,US Attorneys,,dgm_prosecutor_handles,a4ab5f6be8f7db2672358b4c7035c3ca,dgm_prosecutor_handles__a4ab5f6be8f7db2672358b4c7035c3ca
usattyshah,US Attorney Shah,"Austin, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"austin, tx",LegislativeCommittee,US Attorney Shah,,dgm_prosecutor_handles,02e32faa953c9aab710239e96a15d93e,dgm_prosecutor_handles__02e32faa953c9aab710239e96a15d93e
usattyganjei,US Attorney Ganjei,"Beaumont, TX",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"beaumont, tx",Exec,US Attorney Ganjei,,dgm_prosecutor_handles,229a54a723c6935546da7f8466a736ab,dgm_prosecutor_handles__229a54a723c6935546da7f8466a736ab
usattywilliams,US Attorney Williams,"Philadelphia, PA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"philadelphia, pa",IndustryTerm,US Attorney Williams,,dgm_prosecutor_handles,51344aba0ed494c14fb0e6209fccdf19,dgm_prosecutor_handles__51344aba0ed494c14fb0e6209fccdf19
robbonta,California Attorney General Bonta,"Alameda, CA",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"alameda, ca",Legislator,California Attorney General Bonta,,dgm_prosecutor_handles,de8199ac223fa108cc02a519180b11d1,dgm_prosecutor_handles__de8199ac223fa108cc02a519180b11d1
pweiser,Colorado Attorney General Weiser,"Denver, CO",counterfeit;fraud;aml;cryptocurrency_scam;skimming;counterfeit_company;resale_hastags;resale_mentions,"denver, co",Pipeline,Colorado Attorney General Weiser,,dgm_prosecutor_handles,3c199baf98f76eca35929a92cadb3476,dgm_prosecutor_handles__3c199baf98f76eca35929a92cadb3476
