state_keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
al anyone,AL,Legislator,AL,,dgm_rssstate,e892e780304dc3ef15e69b9f3fed3669,dgm_rssstate__e892e780304dc3ef15e69b9f3fed3669
ak anyone,AK,LegislativeCommittee,AK,,dgm_rssstate,631de3eab18d35e667a73157e91a8aa6,dgm_rssstate__631de3eab18d35e667a73157e91a8aa6
az anyone,AZ,Wells,AZ,,dgm_rssstate,546a9a80eb981c7f0aabcaeb34d9514e,dgm_rssstate__546a9a80eb981c7f0aabcaeb34d9514e
ar anyone,AR,Keyphrase,AR,,dgm_rssstate,5b61a1b298a0d06efa6933a97e68d763,dgm_rssstate__5b61a1b298a0d06efa6933a97e68d763
ca anyone,CA,ForeignMinistry,CA,,dgm_rssstate,3e8d115eb4b32b9e9479f387dbe14ee1,dgm_rssstate__3e8d115eb4b32b9e9479f387dbe14ee1
co anyone,CO,News,CO,,dgm_rssstate,42983b05e2f2cc22822e30beb7bdd668,dgm_rssstate__42983b05e2f2cc22822e30beb7bdd668
ct anyone,CT,Legislator,CT,,dgm_rssstate,112c61a276d0376f2f6b25dd3a337b1d,dgm_rssstate__112c61a276d0376f2f6b25dd3a337b1d
de anyone,DE,Exec,DE,,dgm_rssstate,3a52f3c22ed6fcde5bf696a6c02c9e73,dgm_rssstate__3a52f3c22ed6fcde5bf696a6c02c9e73
fl anyone,FL,Refinery,FL,,dgm_rssstate,ac717902757f64247e6ee5ec9b2d1a9b,dgm_rssstate__ac717902757f64247e6ee5ec9b2d1a9b
ga anyone,GA,News,GA,,dgm_rssstate,cd957338498985e538753ea8d071e0f9,dgm_rssstate__cd957338498985e538753ea8d071e0f9
hi anyone,HI,space,HI,,dgm_rssstate,bf8c144140b15befb8ce662632a7b76e,dgm_rssstate__bf8c144140b15befb8ce662632a7b76e
id anyone,ID,ForeignMinister,ID,,dgm_rssstate,b718adec73e04ce3ec720dd11a06a308,dgm_rssstate__b718adec73e04ce3ec720dd11a06a308
il anyone,IL,IndustryTerm,IL,,dgm_rssstate,88588bacf0dad76870d7ede67a0ddbdf,dgm_rssstate__88588bacf0dad76870d7ede67a0ddbdf
in anyone,IN,Consulates,IN,,dgm_rssstate,c86ee0d9d7ed3e7b4fdbf486fa6c0ebb,dgm_rssstate__c86ee0d9d7ed3e7b4fdbf486fa6c0ebb
ia anyone,IA,News,IA,,dgm_rssstate,b97267fa7855e04401fb12fa8a4c516f,dgm_rssstate__b97267fa7855e04401fb12fa8a4c516f
ks anyone,KS,AAEntity,KS,,dgm_rssstate,a32356331cf2a7f56e45306fc6d328d9,dgm_rssstate__a32356331cf2a7f56e45306fc6d328d9
ky anyone,KY,Diplomat,KY,,dgm_rssstate,b8ea98de1a83f61d1976027741a458be,dgm_rssstate__b8ea98de1a83f61d1976027741a458be
la anyone,LA,AAEntity,LA,,dgm_rssstate,6b40fe07a0e5a93eef07242975e83ec1,dgm_rssstate__6b40fe07a0e5a93eef07242975e83ec1
me anyone,ME,space,ME,,dgm_rssstate,9ee9d85a86f0118c40ba2385bb314fd7,dgm_rssstate__9ee9d85a86f0118c40ba2385bb314fd7
md anyone,MD,AAEntity,MD,,dgm_rssstate,7dc10e66da5549d351765bd940b81be9,dgm_rssstate__7dc10e66da5549d351765bd940b81be9
ma anyone,MA,Shipping,MA,,dgm_rssstate,2a6039655313bf5dab1e43523b62c374,dgm_rssstate__2a6039655313bf5dab1e43523b62c374
mi anyone,MI,CompanyKeyword,MI,,dgm_rssstate,9b38067e23298837802635d5172733d7,dgm_rssstate__9b38067e23298837802635d5172733d7
mn anyone,MN,space,MN,,dgm_rssstate,943afaf25ac17fe7bc39fdaae916e3a4,dgm_rssstate__943afaf25ac17fe7bc39fdaae916e3a4
