rkeyword,rcaption_name,rlocation,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
новороссийская военно-морская база,Russian Novorossiysk naval base in Krasnodar Krai,r1,188258,ForeignMinistry,Russian Novorossiysk naval base in Krasnodar Krai,,dgm_russianallmentions,70d70cefccdf81f79d7fce2a4107358a,dgm_russianallmentions__70d70cefccdf81f79d7fce2a4107358a
новороссийской военно-морской базе,Russian Novorossiysk naval base in Krasnodar Krai,r1,188258,Diplomat,Russian Novorossiysk naval base in Krasnodar Krai,,dgm_russianallmentions,70d70cefccdf81f79d7fce2a4107358a,dgm_russianallmentions__70d70cefccdf81f79d7fce2a4107358a
102-я российская военная база,Russian Russian 102nd military base in Gyumri,r2,188258,News,Russian Russian 102nd military base in Gyumri,,dgm_russianallmentions,afbfbd64b960efeddf328d2cb6cb220b,dgm_russianallmentions__afbfbd64b960efeddf328d2cb6cb220b
102-й российской военной базе,Russian Russian 102nd military base in Gyumri,r2,188258,Exec,Russian Russian 102nd military base in Gyumri,,dgm_russianallmentions,afbfbd64b960efeddf328d2cb6cb220b,dgm_russianallmentions__afbfbd64b960efeddf328d2cb6cb220b
ռուսական 102-րդ ռազմակայան,Russian Russian 102nd military base in Gyumri,r2,188258,Exec,Russian Russian 102nd military base in Gyumri,,dgm_russianallmentions,afbfbd64b960efeddf328d2cb6cb220b,dgm_russianallmentions__afbfbd64b960efeddf328d2cb6cb220b
аэродром африканда,Russian Afrikanda air base in Murmansk Oblast,r3,188258,Legislator,Russian Afrikanda air base in Murmansk Oblast,,dgm_russianallmentions,9121b27568474da62f3487c5b9a54875,dgm_russianallmentions__9121b27568474da62f3487c5b9a54875
аэродроме африканда,Russian Afrikanda air base in Murmansk Oblast,r3,188258,space,Russian Afrikanda air base in Murmansk Oblast,,dgm_russianallmentions,9121b27568474da62f3487c5b9a54875,dgm_russianallmentions__9121b27568474da62f3487c5b9a54875
аэродром балашов,Russian Balashov air base in Saratov Oblast,r4,188258,Legislator,Russian Balashov air base in Saratov Oblast,,dgm_russianallmentions,bcdba161c3092430233f4e1ff06348e1,dgm_russianallmentions__bcdba161c3092430233f4e1ff06348e1
аэродроме балашов,Russian Balashov air base in Saratov Oblast,r4,188258,Consulates,Russian Balashov air base in Saratov Oblast,,dgm_russianallmentions,bcdba161c3092430233f4e1ff06348e1,dgm_russianallmentions__bcdba161c3092430233f4e1ff06348e1
аэродром березовка,Russian Berezovka air base in Umbozero,r5,188258,Person,Russian Berezovka air base in Umbozero,,dgm_russianallmentions,e9fc1d2812e6063967159eccfb33f520,dgm_russianallmentions__e9fc1d2812e6063967159eccfb33f520
