keyword,caption_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
fuego en árbol,Tree fire,188118,CompanyKeyword,Tree fire,,dgm_santiago_event,b61cf8e75334ac2a610c28068f784836,dgm_santiago_event__b61cf8e75334ac2a610c28068f784836
rescate vehicular,Vehicle rescue,188290,Exec,Vehicle rescue,,dgm_santiago_event,9d10e4159f2e07576484f4c688aca159,dgm_santiago_event__9d10e4159f2e07576484f4c688aca159
materiales peligrosos,Emergency involving dangerous materials,188122,Consulates,Emergency involving dangerous materials,,dgm_santiago_event,7b557abe1954dccfe04cf72b7902fad7,dgm_santiago_event__7b557abe1954dccfe04cf72b7902fad7
accidente vehicular,Vehicle accident,188130,Media,Vehicle accident,,dgm_santiago_event,a56bcb14223c0931a23b91f3c20377d7,dgm_santiago_event__a56bcb14223c0931a23b91f3c20377d7
emanación de gas,Gas leak,188113;188241,AAEntity,Gas leak,,dgm_santiago_event,d4ec58e7abcdc2ec1f42ce351f44193f,dgm_santiago_event__d4ec58e7abcdc2ec1f42ce351f44193f
presunta emanación de gas,Presumed gas leak,188113;188241,Shipping,Presumed gas leak,,dgm_santiago_event,9b6fad7b8b91c73eb2171bce19aa2f07,dgm_santiago_event__9b6fad7b8b91c73eb2171bce19aa2f07
rescate de persona,Person rescued,188290,DiplomaticFacilities,Person rescued,,dgm_santiago_event,8854b69e9db4db862d03108c7c47bed6,dgm_santiago_event__8854b69e9db4db862d03108c7c47bed6
rescate de personas,People rescued,188290,Refinery,People rescued,,dgm_santiago_event,ef405d492fa58f61b04fa4b5d5788797,dgm_santiago_event__ef405d492fa58f61b04fa4b5d5788797
fuego en basura,Trash fire,188118,ForeignMinister,Trash fire,,dgm_santiago_event,9ce2410c596be31fe9fc570bd860e058,dgm_santiago_event__9ce2410c596be31fe9fc570bd860e058
fuego en escombros,Debris fire,188118,Pipeline,Debris fire,,dgm_santiago_event,3bbd36d04c1d6b6990a37ed4788c9dde,dgm_santiago_event__3bbd36d04c1d6b6990a37ed4788c9dde
fuego en escombros o basura,Debris or trash fire,188118,Organization,Debris or trash fire,,dgm_santiago_event,f816840bda0595b245057277c1a15960,dgm_santiago_event__f816840bda0595b245057277c1a15960
fuego en vegetación,Vegetation fire,188118,Pipeline,Vegetation fire,,dgm_santiago_event,fc43e739af3e676765e01bbc9de0f3e6,dgm_santiago_event__fc43e739af3e676765e01bbc9de0f3e6
fuego en árbol o vegetación,Tree or vegetation fire,188118,AAEntity,Tree or vegetation fire,,dgm_santiago_event,1656fb615a0f283db9abeb5e4d21e96a,dgm_santiago_event__1656fb615a0f283db9abeb5e4d21e96a
fuego en estructuras,Structure fire,188118,IndustryTerm,Structure fire,,dgm_santiago_event,b781125398fa10fbdeaabd80da123ce8,dgm_santiago_event__b781125398fa10fbdeaabd80da123ce8
incendios de altura,High altitude fires,188118,ForeignMinister,High altitude fires,,dgm_santiago_event,7d407d460a5a0f183d9e640b23400312,dgm_santiago_event__7d407d460a5a0f183d9e640b23400312
incendio de altura,High altitude fire,188118,FTO,High altitude fire,,dgm_santiago_event,b4af5b1bce01cb92b13487ae3ff7a08c,dgm_santiago_event__b4af5b1bce01cb92b13487ae3ff7a08c
fuego en edificios,Fire in buildings,188118,LegislativeCommittee,Fire in buildings,,dgm_santiago_event,96b78ed2699f3cdc901666104e644012,dgm_santiago_event__96b78ed2699f3cdc901666104e644012
fuego estructural,Structural fire,188118,IndustryTerm,Structural fire,,dgm_santiago_event,0a611215395359c4ad9fbc7fd7c86c8e,dgm_santiago_event__0a611215395359c4ad9fbc7fd7c86c8e
accidente de tránsito,Car accident,188130,Shipping,Car accident,,dgm_santiago_event,781f91db4b9e318a27ddc4dc07ba00a7,dgm_santiago_event__781f91db4b9e318a27ddc4dc07ba00a7
fuego en pastizal,Pasture fire,188118,Exec,Pasture fire,,dgm_santiago_event,a355b0c6067a5c43ae596b59c76d2021,dgm_santiago_event__a355b0c6067a5c43ae596b59c76d2021
caída en ladera de cerro,Landslide,188409,FTO,Landslide,,dgm_santiago_event,ec86c50dd322a6ab0f85441dbd9ea9c2,dgm_santiago_event__ec86c50dd322a6ab0f85441dbd9ea9c2
