keyword,caption_name,location,topic_id,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
australian space agency,Australian Space Agency,a1432,188261,,AAEntity,Australian Space Agency,,dgm_space,0dc7c1574e76afe7c4a96b135577deef,dgm_space__7bc8c999a080a551fa137cdef6844ffc
china national space administration,China National Space Administration,a1433,188261,,LegislativeCommittee,China National Space Administration,,dgm_space,4bf6cf4b52d2d0513040863d4d39e3e3,dgm_space__9c8259ba081b33ec630243089498b89f
belarus space agency,Belarus Space Agency,a1434,188261,,ForeignMinistry,Belarus Space Agency,,dgm_space,98222322e3ac58889c78b32be46fa3c9,dgm_space__0a17abbfd9b1ca619679481b2fba8766
central american association for aeronautics and space,Central American Association for Aeronautics and Space,a1435,188261,,Keyphrase,Central American Association for Aeronautics and Space,,dgm_space,c120dae086e7cfb55e36bf6768295117,dgm_space__3467b24d0834892bc1d340107c483432
el salvador aeropsace institute,El Salvador Aeropsace Institute,a1436,188261,,Refinery,El Salvador Aeropsace Institute,,dgm_space,4ebc53e4420648d544965c07a1ff4d3a,dgm_space__b1c6452ec57b2f917f4fe1485573948b
mexican space agency,Mexican Space Agency,a1437,188261,,ForeignMinister,Mexican Space Agency,,dgm_space,986c78283fc11efca6050fcae4fdec78,dgm_space__353312d3f5ef80e6657bd1c513daacdb
algerian space agency,Algerian Space Agency,a1438,188261,,DiplomaticFacilities,Algerian Space Agency,,dgm_space,9d61f606c937be558bee6571455d68dd,dgm_space__d52b67509770c7766ff30524b3562a7b
asia-pacific space cooperation organization,Asia-Pacific Space Cooperation Organization,a1433,188261,,CompanyKeyword,Asia-Pacific Space Cooperation Organization,,dgm_space,c0c0b5d0da83451c50e0cd77cdb367af,dgm_space__962f59e673b5d6e2138508c4a7324e79
austrian space agency,Austrian Space Agency,a1439,188261,,Exec,Austrian Space Agency,,dgm_space,845b6db2d9c2717e006a193c995a9659,dgm_space__727fdf99d7e3cb88f82f89622baddb12
space agency of the republic of azerbaijan,Space Agency of the Republic of Azerbaijan,a1440,188261,,DiplomaticFacilities,Space Agency of the Republic of Azerbaijan,,dgm_space,b706fe1159f343821a068a11e718918e,dgm_space__cab23cbac51c9e4068cc28c376770f44
national space science agency,Bahrain National Space Science Agency,a1441,188261,,Diplomat,Bahrain National Space Science Agency,,dgm_space,4f9130cbe8d6d7c7986d3934c79936e1,dgm_space__fd64f3a45d425e8ba72a56bc0e06e332
belgian institute for space aeronomy,Belgian Institute for Space Aeronomy,a1442,188261,,Consulates,Belgian Institute for Space Aeronomy,,dgm_space,d440839027577bebd1718be06657e2be,dgm_space__359d0d0aea1d6640de9d014e1b063372
bolivarian agency for space activities,Venezuelan Agency for Space Activities,a1443,188261,,ForeignMinister,Venezuelan Agency for Space Activities,,dgm_space,02a92391ab19380c97af3f31e407c765,dgm_space__8e1a10d290db1e6c56db25d90514642a
brazilian space agency,Brazilian Space Agency,a1444,188261,,Shipping,Brazilian Space Agency,,dgm_space,ff467940af8c32e905c8d25d48dd987c,dgm_space__50515b33a1d20ec6aa5f05b7b838cfb7
uk space agency,UK Space Agency,a702,188261,,Keyphrase,UK Space Agency,,dgm_space,a6c6963e7dbfed69520ddf93c9ae200f,dgm_space__1c1832fdd1ae02f9447975ef1e70c05e
bolivian space agency,Bolivian Space Agency,a1446,188261,,Person,Bolivian Space Agency,,dgm_space,0865bf539936fb06a6c83c7b945d3226,dgm_space__fdbba102931683be72a790582c1c55bc
bulgarian space agency,Bulgarian Space Agency,a1447,188261,,Diplomat,Bulgarian Space Agency,,dgm_space,dd24458281423126a7be556542144af1,dgm_space__9a9889abc422fa6b92d79e415f1e12f2
canadian space agency,Canadian Space Agency,a808,188261,,ForeignMinistry,Canadian Space Agency,,dgm_space,3aada46bb10a691eac31bd6cca712cb4,dgm_space__ffc08ca4cbfa88f557233c462f25ce5c
colombian space comission,Colombian Space Agency,a1449,188261,,LegislativeCommittee,Colombian Space Agency,,dgm_space,7db006d3e9434cf488747fbf64020f4a,dgm_space__c5e73aaedb2d2380afe66eb123c221fd
dtu space,Danish Space Institute,a1450,188261,,AAEntity,Danish Space Institute,,dgm_space,5f4078464338b1027cfb111cde4fd28f,dgm_space__2c786367ed59118148c0482af9a3f219
european space agency,European Space Agency,a697,188261,,Organization,European Space Agency,,dgm_space,bd43807199fa1a8f64707d7080d3c4bc,dgm_space__469e4d438ac8d45d83049fe412a0b97d
