space_handle,caption_name,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
airbusdefence,Airbus Defense and Space,,AAEntity,Airbus Defense and Space,,dgm_spacecompanysources,2afea9ddd0ed0457bbd01afce83152ea,dgm_spacecompanysources__2afea9ddd0ed0457bbd01afce83152ea
boeingspace,Boeing,boeing,LegislativeCommittee,Boeing,,dgm_spacecompanysources,44787ee9ad7082c7e379356589456000,dgm_spacecompanysources__44787ee9ad7082c7e379356589456000
ohb_se,OHB SE,,space,OHB SE,,dgm_spacecompanysources,1a6dddc08e69c07db036e030f398c6a0,dgm_spacecompanysources__1a6dddc08e69c07db036e030f398c6a0
spacex,SpaceX,spacex,Media,SpaceX,,dgm_spacecompanysources,54d3a21ee5b8a15d2004b7350bf67e6d,dgm_spacecompanysources__54d3a21ee5b8a15d2004b7350bf67e6d
sierranevcorp,Sierra Nevada Corporation,sierranevada,Media,Sierra Nevada Corporation,,dgm_spacecompanysources,f4c9627adc2880ab4dc93d15c33e7798,dgm_spacecompanysources__f4c9627adc2880ab4dc93d15c33e7798
arianespace,Arianespace,arianespace,Wells,Arianespace,,dgm_spacecompanysources,d6637f10fe27061b199bea973980862d,dgm_spacecompanysources__d6637f10fe27061b199bea973980862d
astra,Astra,astra,News,Astra,,dgm_spacecompanysources,3cce5f3eaf76e098ba8e28f7bbba3f92,dgm_spacecompanysources__3cce5f3eaf76e098ba8e28f7bbba3f92
axiom_space,Axiom Space,,Pipeline,Axiom Space,,dgm_spacecompanysources,0303f22aa5568729032f221fdcbd24e0,dgm_spacecompanysources__0303f22aa5568729032f221fdcbd24e0
bigelowspace,Bigelow Aerospace,,Person,Bigelow Aerospace,,dgm_spacecompanysources,873a936c541dabe85cbd15924e3b153b,dgm_spacecompanysources__873a936c541dabe85cbd15924e3b153b
blueorigin,Blue Origin,blueorigin,Refinery,Blue Origin,,dgm_spacecompanysources,ba6042f01e246e803751c7bbb5f8d6f6,dgm_spacecompanysources__ba6042f01e246e803751c7bbb5f8d6f6
firefly_space,Firefly Aerospace,,Legislator,Firefly Aerospace,,dgm_spacecompanysources,dac53577e1a22e2f7beac79e75ebd090,dgm_spacecompanysources__dac53577e1a22e2f7beac79e75ebd090
redwirespace,Redwire,,Wells,Redwire,,dgm_spacecompanysources,afdb28e763478774c3a893d87b459f0e,dgm_spacecompanysources__afdb28e763478774c3a893d87b459f0e
relativityspace,Relativity Space,,News,Relativity Space,,dgm_spacecompanysources,cd0f21f23bff03baffc7b80e57bceb35,dgm_spacecompanysources__cd0f21f23bff03baffc7b80e57bceb35
rocketlab,Rocket Lab,,DiplomaticFacilities,Rocket Lab,,dgm_spacecompanysources,009db8b91b87df95d48ee657680e7d45,dgm_spacecompanysources__009db8b91b87df95d48ee657680e7d45
scaledc,Scaled Composites,,AAEntity,Scaled Composites,,dgm_spacecompanysources,1e0a29481159489c5a8a0bdfa169b3b2,dgm_spacecompanysources__1e0a29481159489c5a8a0bdfa169b3b2
virgingalactic,Virgin Galactic,virgingalactic,DiplomaticFacilities,Virgin Galactic,,dgm_spacecompanysources,532c770dc2daf7122d1b1fc724ea6a69,dgm_spacecompanysources__532c770dc2daf7122d1b1fc724ea6a69
virginorbit,Virgin Orbit,,Diplomat,Virgin Orbit,,dgm_spacecompanysources,b592eae2b036fa2867d497c01cabb35a,dgm_spacecompanysources__b592eae2b036fa2867d497c01cabb35a
ulalaunch,United Launch Alliance,,IndustryTerm,United Launch Alliance,,dgm_spacecompanysources,4145773f6f7ece8e4933ac76641cf2cf,dgm_spacecompanysources__4145773f6f7ece8e4933ac76641cf2cf
