keyword,caption_name,location,topic_id,guid,groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
australian space agency,Australian Space Agency,a1432,188261,,,,DiplomaticFacilities,Australian Space Agency,,dgm_spaceexclucompanies,7bc8c999a080a551fa137cdef6844ffc,dgm_spaceexclucompanies__7bc8c999a080a551fa137cdef6844ffc
china national space administration,China National Space Administration,a1433,188261,,,,LegislativeCommittee,China National Space Administration,,dgm_spaceexclucompanies,9c8259ba081b33ec630243089498b89f,dgm_spaceexclucompanies__9c8259ba081b33ec630243089498b89f
belarus space agency,Belarus Space Agency,a1434,188261,,,,Consulates,Belarus Space Agency,,dgm_spaceexclucompanies,0a17abbfd9b1ca619679481b2fba8766,dgm_spaceexclucompanies__0a17abbfd9b1ca619679481b2fba8766
central american association for aeronautics and space,Central American Association for Aeronautics and Space,a1435,188261,,,,Consulates,Central American Association for Aeronautics and Space,,dgm_spaceexclucompanies,3467b24d0834892bc1d340107c483432,dgm_spaceexclucompanies__3467b24d0834892bc1d340107c483432
el salvador aeropsace institute,El Salvador Aeropsace Institute,a1436,188261,,,,Person,El Salvador Aeropsace Institute,,dgm_spaceexclucompanies,b1c6452ec57b2f917f4fe1485573948b,dgm_spaceexclucompanies__b1c6452ec57b2f917f4fe1485573948b
uae space agency,UAE Space Agency,a1463,188261,,,,Organization,UAE Space Agency,,dgm_spaceexclucompanies,6647747435014495aaeb878867c2051e,dgm_spaceexclucompanies__6647747435014495aaeb878867c2051e
uaesa,UAE Space Agency,a1463,188261,,,,Diplomat,UAE Space Agency,,dgm_spaceexclucompanies,6647747435014495aaeb878867c2051e,dgm_spaceexclucompanies__6647747435014495aaeb878867c2051e
sarah bint,UAE Space Administrator Bint,a1463,188261,,,,IndustryTerm,UAE Space Administrator Bint,,dgm_spaceexclucompanies,f6d1b4135f4e9c0aa6e80f730fee04a1,dgm_spaceexclucompanies__f6d1b4135f4e9c0aa6e80f730fee04a1
mexican space agency,Mexican Space Agency,a1437,188261,,,,Keyphrase,Mexican Space Agency,,dgm_spaceexclucompanies,353312d3f5ef80e6657bd1c513daacdb,dgm_spaceexclucompanies__353312d3f5ef80e6657bd1c513daacdb
дмитрий рогозин,Roscosmos Administrator Rogozin,moscow,188261,,,,ForeignMinister,Roscosmos Administrator Rogozin,,dgm_spaceexclucompanies,323409284ed683166b7b40021939a0c6,dgm_spaceexclucompanies__323409284ed683166b7b40021939a0c6
algerian space agency,Algerian Space Agency,a1438,188261,,,,Shipping,Algerian Space Agency,,dgm_spaceexclucompanies,d52b67509770c7766ff30524b3562a7b,dgm_spaceexclucompanies__d52b67509770c7766ff30524b3562a7b
asia-pacific space cooperation organization,Asia-Pacific Space Cooperation Organization,a1433,188261,,,,Keyphrase,Asia-Pacific Space Cooperation Organization,,dgm_spaceexclucompanies,962f59e673b5d6e2138508c4a7324e79,dgm_spaceexclucompanies__962f59e673b5d6e2138508c4a7324e79
austrian space agency,Austrian Space Agency,a1439,188261,,,,ForeignMinistry,Austrian Space Agency,,dgm_spaceexclucompanies,727fdf99d7e3cb88f82f89622baddb12,dgm_spaceexclucompanies__727fdf99d7e3cb88f82f89622baddb12
space agency of the republic of azerbaijan,Space Agency of the Republic of Azerbaijan,a1440,188261,,,,Person,Space Agency of the Republic of Azerbaijan,,dgm_spaceexclucompanies,cab23cbac51c9e4068cc28c376770f44,dgm_spaceexclucompanies__cab23cbac51c9e4068cc28c376770f44
national space science agency,Bahrain National Space Science Agency,a1441,188261,,,,ForeignMinister,Bahrain National Space Science Agency,,dgm_spaceexclucompanies,fd64f3a45d425e8ba72a56bc0e06e332,dgm_spaceexclucompanies__fd64f3a45d425e8ba72a56bc0e06e332
belgian institute for space aeronomy,Belgian Institute for Space Aeronomy,a1442,188261,,,,Exec,Belgian Institute for Space Aeronomy,,dgm_spaceexclucompanies,359d0d0aea1d6640de9d014e1b063372,dgm_spaceexclucompanies__359d0d0aea1d6640de9d014e1b063372
bolivarian agency for space activities,Venezuelan Agency for Space Activities,a1443,188261,,,,AAEntity,Venezuelan Agency for Space Activities,,dgm_spaceexclucompanies,8e1a10d290db1e6c56db25d90514642a,dgm_spaceexclucompanies__8e1a10d290db1e6c56db25d90514642a
brazilian space agency,Brazilian Space Agency,a1444,188261,,,,Wells,Brazilian Space Agency,,dgm_spaceexclucompanies,50515b33a1d20ec6aa5f05b7b838cfb7,dgm_spaceexclucompanies__50515b33a1d20ec6aa5f05b7b838cfb7
