handle,caption_name,location,include_groups,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
CGTNOfficial,CGTN,"Beijing, China",,"beijing, china",Shipping,CGTN,,dgm_state_handles,0f309f23d0eba44a192873cd8ed9af93,dgm_state_handles__0f309f23d0eba44a192873cd8ed9af93
XHNews,Xinhua News,"Beijing, China",,"beijing, china",AAEntity,Xinhua News,,dgm_state_handles,19357b4431a9343aa9f8895292a05461,dgm_state_handles__19357b4431a9343aa9f8895292a05461
PDChina,People's Daily China,"Beijing, China",,"beijing, china",Organization,People's Daily China,,dgm_state_handles,ef417f8824b15bdb771fc1cc98b4677c,dgm_state_handles__ef417f8824b15bdb771fc1cc98b4677c
tass_agency,TASS,"Moscow, Russia",,"moscow, russia",LegislativeCommittee,TASS,,dgm_state_handles,f36093a861d5aaaa9e1031109b99b608,dgm_state_handles__f36093a861d5aaaa9e1031109b99b608
mid_rf,Russian Ministry of Foreign Affairs,"Moscow, Russia",,"moscow, russia",Organization,Russian Ministry of Foreign Affairs,,dgm_state_handles,4ec934ecf51e70e4df6c4a01a0904b28,dgm_state_handles__4ec934ecf51e70e4df6c4a01a0904b28
rianru,RIA Novosti,"Moscow, Russia",,"moscow, russia",space,RIA Novosti,,dgm_state_handles,46c0daaa502e56ee1eea2538afc65f9e,dgm_state_handles__46c0daaa502e56ee1eea2538afc65f9e
MchsRussia,Russian Ministry of Emergencies,"Moscow, Russia",,"moscow, russia",FTO,Russian Ministry of Emergencies,,dgm_state_handles,09affa288992a6912721ba027dda5dde,dgm_state_handles__09affa288992a6912721ba027dda5dde
sledcom_rf,Russian Investigative Committee,"Moscow, Russia",,"moscow, russia",Diplomat,Russian Investigative Committee,,dgm_state_handles,f4476b1b30c35925906a953b60084570,dgm_state_handles__f4476b1b30c35925906a953b60084570
mod_russia,Russian Ministry of Defense,"Moscow, Russia",,"moscow, russia",Organization,Russian Ministry of Defense,,dgm_state_handles,da7448133610279a095a2e77e951be63,dgm_state_handles__da7448133610279a095a2e77e951be63
vesit_news,Vesti News,"Moscow, Russia",,"moscow, russia",Consulates,Vesti News,,dgm_state_handles,1532493bb48af97350414e8ac09e7506,dgm_state_handles__1532493bb48af97350414e8ac09e7506
tvrussia1,Russia-1,"Moscow, Russia",,"moscow, russia",Consulates,Russia-1,,dgm_state_handles,599d309ea267546b9db19fa7d483f057,dgm_state_handles__599d309ea267546b9db19fa7d483f057
lifenews_ru,Life News Russia,"Moscow, Russia",,"moscow, russia",LegislativeCommittee,Life News Russia,,dgm_state_handles,24435c6f5cd14c1d858db05f2a3be92f,dgm_state_handles__24435c6f5cd14c1d858db05f2a3be92f
kremlinrussia,President of Russia,"Moscow, Russia",,"moscow, russia",Diplomat,President of Russia,,dgm_state_handles,ef9897d2c605d777b9cb4c83b56c3491,dgm_state_handles__ef9897d2c605d777b9cb4c83b56c3491
roscosmos,Roscosmos,"Moscow, Russia",,"moscow, russia",IndustryTerm,Roscosmos,,dgm_state_handles,d5bea17c8acfaf5459ccddb2c29db812,dgm_state_handles__d5bea17c8acfaf5459ccddb2c29db812
rt_russian,RT,"Moscow, Russia",,"moscow, russia",space,RT,,dgm_state_handles,705610ed3e5ec724f5cb0d76a5fd3aa1,dgm_state_handles__705610ed3e5ec724f5cb0d76a5fd3aa1
genproc,Russian Prosecutor General,"Moscow, Russia",,"moscow, russia",Legislator,Russian Prosecutor General,,dgm_state_handles,f5feb5b4f07ff3ab4aa86484e7ba2779,dgm_state_handles__f5feb5b4f07ff3ab4aa86484e7ba2779
SovFedInfo,Russian Federation Council,"Moscow, Russia",,"moscow, russia",Person,Russian Federation Council,,dgm_state_handles,f9d279ad5b6c2653a22b2796a1e5b4b2,dgm_state_handles__f9d279ad5b6c2653a22b2796a1e5b4b2
dumagovru,Russian State Duma,"Moscow, Russia",,"moscow, russia",Shipping,Russian State Duma,,dgm_state_handles,eabb34b5090c692a1b0a5f76b4432fcf,dgm_state_handles__eabb34b5090c692a1b0a5f76b4432fcf
ru_minfin,Russian Ministry of Finance,"Moscow, Russia",,"moscow, russia",space,Russian Ministry of Finance,,dgm_state_handles,078dd0790564a4caaca44f9a2a439a8a,dgm_state_handles__078dd0790564a4caaca44f9a2a439a8a
sputnikint,Sputnik,"Moscow, Russia",,"moscow, russia",Keyphrase,Sputnik,,dgm_state_handles,d8cbab03b020e685f762d8bcbfef1c62,dgm_state_handles__d8cbab03b020e685f762d8bcbfef1c62
rgrus,Rossiykaya Gazeta,"Moscow, Russia",,"moscow, russia",ForeignMinistry,Rossiykaya Gazeta,,dgm_state_handles,6c9e7a5c51fe84d03c096ca75ae5066f,dgm_state_handles__6c9e7a5c51fe84d03c096ca75ae5066f
gazpromen,Gazprom,"Moscow, Russia",,"moscow, russia",ForeignMinister,Gazprom,,dgm_state_handles,96762e42d1a549c4b7b07c7d2f9b648a,dgm_state_handles__96762e42d1a549c4b7b07c7d2f9b648a
