keyword,caption_name,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
protests,demonstrations,,ForeignMinister,demonstrations,,dgm_traveladvisories_context_aus,0922be6a2a3be4bdbebd28c620ab8f2d,dgm_traveladvisories_context_aus__0922be6a2a3be4bdbebd28c620ab8f2d
protest,demonstrations,,IndustryTerm,demonstrations,,dgm_traveladvisories_context_aus,0922be6a2a3be4bdbebd28c620ab8f2d,dgm_traveladvisories_context_aus__0922be6a2a3be4bdbebd28c620ab8f2d
violence,violence,,ForeignMinister,violence,,dgm_traveladvisories_context_aus,e2c22f567246990eec33b68fc70b073a,dgm_traveladvisories_context_aus__e2c22f567246990eec33b68fc70b073a
conflict,conflict,,Consulates,conflict,,dgm_traveladvisories_context_aus,981f1875779561e79585a2ae43a196fb,dgm_traveladvisories_context_aus__981f1875779561e79585a2ae43a196fb
roads and bridges have been blocked,transportation disruption,,ForeignMinistry,transportation disruption,,dgm_traveladvisories_context_aus,f93001ecddd2bdde71606762e87f114a,dgm_traveladvisories_context_aus__f93001ecddd2bdde71606762e87f114a
commercial flights are limited,transportation disruption,,DiplomaticFacilities,transportation disruption,,dgm_traveladvisories_context_aus,f93001ecddd2bdde71606762e87f114a,dgm_traveladvisories_context_aus__f93001ecddd2bdde71606762e87f114a
demonstrations,demonstrations,,Pipeline,demonstrations,,dgm_traveladvisories_context_aus,0922be6a2a3be4bdbebd28c620ab8f2d,dgm_traveladvisories_context_aus__0922be6a2a3be4bdbebd28c620ab8f2d
allowed to enter,travel restrictions,,ForeignMinistry,travel restrictions,,dgm_traveladvisories_context_aus,95553abedb083f2e40ce4da9a397fe90,dgm_traveladvisories_context_aus__95553abedb083f2e40ce4da9a397fe90
lockdown,lockdown,,Diplomat,lockdown,,dgm_traveladvisories_context_aus,818abf6c39b9cbb5e6f481593dfd7076,dgm_traveladvisories_context_aus__818abf6c39b9cbb5e6f481593dfd7076
state of emergency,state of emergency,,IndustryTerm,state of emergency,,dgm_traveladvisories_context_aus,c5d7d8f9adbbf4c4984e75c621f40664,dgm_traveladvisories_context_aus__c5d7d8f9adbbf4c4984e75c621f40664
visa,visa requirements,,IndustryTerm,visa requirements,,dgm_traveladvisories_context_aus,e49c150d71590c00e0e0adf18bdfe447,dgm_traveladvisories_context_aus__e49c150d71590c00e0e0adf18bdfe447
