keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
English,English,English,Country,Country,English,,dgm_traveladvisories_countries_aus,78463a384a5aa4fad5fa73e2f506ecfc,dgm_traveladvisories_countries_aus__78463a384a5aa4fad5fa73e2f506ecfc
Afghanistan,Afghanistan,Afghanistan,Country,Country,Afghanistan,,dgm_traveladvisories_countries_aus,6e9767f4f15357401b148b9a8ced14ef,dgm_traveladvisories_countries_aus__6e9767f4f15357401b148b9a8ced14ef
Albania,Albania,Albania,Country,Country,Albania,,dgm_traveladvisories_countries_aus,c420ddff824a5c0eec70dd23d62496bc,dgm_traveladvisories_countries_aus__c420ddff824a5c0eec70dd23d62496bc
Algeria,Algeria,Algeria,Country,Country,Algeria,,dgm_traveladvisories_countries_aus,575b9408b6daa2ddcefbcf6d81c9b4c9,dgm_traveladvisories_countries_aus__575b9408b6daa2ddcefbcf6d81c9b4c9
Andorra,Andorra,Andorra,Country,Country,Andorra,,dgm_traveladvisories_countries_aus,68746a7280b143cfc01f967610d3e86d,dgm_traveladvisories_countries_aus__68746a7280b143cfc01f967610d3e86d
Angola,Angola,Angola,Country,Country,Angola,,dgm_traveladvisories_countries_aus,232bf11cb81bcdb269f76a08fde8b947,dgm_traveladvisories_countries_aus__232bf11cb81bcdb269f76a08fde8b947
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Country,Country,Antigua and Barbuda,,dgm_traveladvisories_countries_aus,f7e68bf0791888ebcd5bfc62e022aa83,dgm_traveladvisories_countries_aus__f7e68bf0791888ebcd5bfc62e022aa83
Argentina,Argentina,Argentina,Country,Country,Argentina,,dgm_traveladvisories_countries_aus,3536be57ce0713954e454ae6c53ec023,dgm_traveladvisories_countries_aus__3536be57ce0713954e454ae6c53ec023
Armenia,Armenia,Armenia,Country,Country,Armenia,,dgm_traveladvisories_countries_aus,a00c273f0f497484093fa94865cf5ca5,dgm_traveladvisories_countries_aus__a00c273f0f497484093fa94865cf5ca5
Australia,Australia,Australia,Country,Country,Australia,,dgm_traveladvisories_countries_aus,4442e4af0916f53a07fb8ca9a49b98ed,dgm_traveladvisories_countries_aus__4442e4af0916f53a07fb8ca9a49b98ed
Austria,Austria,Austria,Country,Country,Austria,,dgm_traveladvisories_countries_aus,9891739094756d2605946c867b32ad28,dgm_traveladvisories_countries_aus__9891739094756d2605946c867b32ad28
Azerbaijan,Azerbaijan,Azerbaijan,Country,Country,Azerbaijan,,dgm_traveladvisories_countries_aus,7176f8c3bccfdf02322c73f7a0bc9688,dgm_traveladvisories_countries_aus__7176f8c3bccfdf02322c73f7a0bc9688
Bahamas,Bahamas,Bahamas,Country,Country,Bahamas,,dgm_traveladvisories_countries_aus,6dbefdc38954fc54ea0c697d0c6ec0a7,dgm_traveladvisories_countries_aus__6dbefdc38954fc54ea0c697d0c6ec0a7
Bahrain,Bahrain,Bahrain,Country,Country,Bahrain,,dgm_traveladvisories_countries_aus,6ddecd8ccd9f648d19dc02c7a566cb4f,dgm_traveladvisories_countries_aus__6ddecd8ccd9f648d19dc02c7a566cb4f
Bangladesh,Bangladesh,Bangladesh,Country,Country,Bangladesh,,dgm_traveladvisories_countries_aus,f78a77f631d275aac6a914a17fe1b885,dgm_traveladvisories_countries_aus__f78a77f631d275aac6a914a17fe1b885
Barbados,Barbados,Barbados,Country,Country,Barbados,,dgm_traveladvisories_countries_aus,3214c0f21d200a1dae4eb83a53ec2730,dgm_traveladvisories_countries_aus__3214c0f21d200a1dae4eb83a53ec2730
Belarus,Belarus,Belarus,Country,Country,Belarus,,dgm_traveladvisories_countries_aus,6542f875eaa09a5c550e5f3986400ad9,dgm_traveladvisories_countries_aus__6542f875eaa09a5c550e5f3986400ad9
Belau,Belau,Belau,Country,Country,Belau,,dgm_traveladvisories_countries_aus,137a9c647b06ea47a9e3ed6f5511f082,dgm_traveladvisories_countries_aus__137a9c647b06ea47a9e3ed6f5511f082
Belgium,Belgium,Belgium,Country,Country,Belgium,,dgm_traveladvisories_countries_aus,6c1674d14bf5f95742f572cddb0641a7,dgm_traveladvisories_countries_aus__6c1674d14bf5f95742f572cddb0641a7
Belize,Belize,Belize,Country,Country,Belize,,dgm_traveladvisories_countries_aus,20bca6785240fa722edb5c85d055a93d,dgm_traveladvisories_countries_aus__20bca6785240fa722edb5c85d055a93d
Benin,Benin,Benin,Country,Country,Benin,,dgm_traveladvisories_countries_aus,9e7002d53d4db7bfad4f5cf419b0c126,dgm_traveladvisories_countries_aus__9e7002d53d4db7bfad4f5cf419b0c126
Bhutan,Bhutan,Bhutan,Country,Country,Bhutan,,dgm_traveladvisories_countries_aus,e65a0ed0e39dd14a9e5af441efb09b37,dgm_traveladvisories_countries_aus__e65a0ed0e39dd14a9e5af441efb09b37
Bolivia,Bolivia,Bolivia,Country,Country,Bolivia,,dgm_traveladvisories_countries_aus,28aaafc355915903ce4a7e1d3af3bc4e,dgm_traveladvisories_countries_aus__28aaafc355915903ce4a7e1d3af3bc4e
Bosnia,Bosnia,Bosnia,Country,Country,Bosnia,,dgm_traveladvisories_countries_aus,d16bb7789462885bf85c28d368c64395,dgm_traveladvisories_countries_aus__d16bb7789462885bf85c28d368c64395
Botswana,Botswana,Botswana,Country,Country,Botswana,,dgm_traveladvisories_countries_aus,6cd50fb3091b0a9d3c1ac2cf52441390,dgm_traveladvisories_countries_aus__6cd50fb3091b0a9d3c1ac2cf52441390
Brazil,Brazil,Brazil,Country,Country,Brazil,,dgm_traveladvisories_countries_aus,42537f0fb56e31e20ab9c2305752087d,dgm_traveladvisories_countries_aus__42537f0fb56e31e20ab9c2305752087d
Brunei,Brunei,Brunei,Country,Country,Brunei,,dgm_traveladvisories_countries_aus,d3f5841f04ba23bb90e1b9f4256cea70,dgm_traveladvisories_countries_aus__d3f5841f04ba23bb90e1b9f4256cea70
