keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
French,english,english,Country,Country,english,,dgm_traveladvisories_country,ba0a6ddd94c73698a3658f92ac222f8a,dgm_traveladvisories_country__ba0a6ddd94c73698a3658f92ac222f8a
Afghanistan,afghanistan,afghanistan,Country,Country,afghanistan,,dgm_traveladvisories_country,a8424b7baae263918301406bdc884e28,dgm_traveladvisories_country__a8424b7baae263918301406bdc884e28
Albanie,albania,albania,Country,Country,albania,,dgm_traveladvisories_country,3303daf806aebcd0cfd114f7d267f109,dgm_traveladvisories_country__3303daf806aebcd0cfd114f7d267f109
Algérie,algeria,algeria,Country,Country,algeria,,dgm_traveladvisories_country,49f4fdc64da08e0cbac132fa06062d2d,dgm_traveladvisories_country__49f4fdc64da08e0cbac132fa06062d2d
Andorre,andorra,andorra,Country,Country,andorra,,dgm_traveladvisories_country,449f508e9fad3b1bd4debc02f0d2194b,dgm_traveladvisories_country__449f508e9fad3b1bd4debc02f0d2194b
Ango,angola,angola,Country,Country,angola,,dgm_traveladvisories_country,e5e0bd43b7f1a35aaf645f597de2ed08,dgm_traveladvisories_country__e5e0bd43b7f1a35aaf645f597de2ed08
Antigua-et-Barbuda,antigua and barbuda,antigua and barbuda,Country,Country,antigua and barbuda,,dgm_traveladvisories_country,b347fe1fd6b405d4944de73b9c5a39ca,dgm_traveladvisories_country__b347fe1fd6b405d4944de73b9c5a39ca
Argentine,argentina,argentina,Country,Country,argentina,,dgm_traveladvisories_country,2a52adc7b1da6a4e0a7a14e4c8db1b11,dgm_traveladvisories_country__2a52adc7b1da6a4e0a7a14e4c8db1b11
Arménie,armenia,armenia,Country,Country,armenia,,dgm_traveladvisories_country,3744c623dc4219b00a900ee527c16387,dgm_traveladvisories_country__3744c623dc4219b00a900ee527c16387
Australie,australia,australia,Country,Country,australia,,dgm_traveladvisories_country,fb2a54d637484c4ca8adb2343237b89f,dgm_traveladvisories_country__fb2a54d637484c4ca8adb2343237b89f
Autriche,austria,austria,Country,Country,austria,,dgm_traveladvisories_country,6cd0c266688a7a579874167d67c74a66,dgm_traveladvisories_country__6cd0c266688a7a579874167d67c74a66
Azerbaïdjan,azerbaijan,azerbaijan,Country,Country,azerbaijan,,dgm_traveladvisories_country,620a71f90d5dbf8c9a80939d2cbc1eba,dgm_traveladvisories_country__620a71f90d5dbf8c9a80939d2cbc1eba
Bahamas,bahamas,bahamas,Country,Country,bahamas,,dgm_traveladvisories_country,19f9730000abcc9fe49e6e9051d109bc,dgm_traveladvisories_country__19f9730000abcc9fe49e6e9051d109bc
Bahreïn,bahrain,bahrain,Country,Country,bahrain,,dgm_traveladvisories_country,97b78c7af698a19f89c414f8ede0ddd9,dgm_traveladvisories_country__97b78c7af698a19f89c414f8ede0ddd9
Bangdesh,bangladesh,bangladesh,Country,Country,bangladesh,,dgm_traveladvisories_country,b47bc9c3971a24ddbbfd211d7b692227,dgm_traveladvisories_country__b47bc9c3971a24ddbbfd211d7b692227
Barbade,barbados,barbados,Country,Country,barbados,,dgm_traveladvisories_country,8c7c9b1149e9de712b9e5abab45d700c,dgm_traveladvisories_country__8c7c9b1149e9de712b9e5abab45d700c
Biélorussie,belarus,belarus,Country,Country,belarus,,dgm_traveladvisories_country,f9bcd904ecd531c125ab9b42b5be3f35,dgm_traveladvisories_country__f9bcd904ecd531c125ab9b42b5be3f35
Beu,belau,belau,Country,Country,belau,,dgm_traveladvisories_country,630e5822f3935228c7b9a20876ef5c5a,dgm_traveladvisories_country__630e5822f3935228c7b9a20876ef5c5a
Belgique,belgium,belgium,Country,Country,belgium,,dgm_traveladvisories_country,73fa01094ea6c89f1f8efbeb57037499,dgm_traveladvisories_country__73fa01094ea6c89f1f8efbeb57037499
Belize,belize,belize,Country,Country,belize,,dgm_traveladvisories_country,48f621bb94135383a66d54914f195bfd,dgm_traveladvisories_country__48f621bb94135383a66d54914f195bfd
Bénin,benin,benin,Country,Country,benin,,dgm_traveladvisories_country,9f1bf009168d01c56794edf2d1a94f83,dgm_traveladvisories_country__9f1bf009168d01c56794edf2d1a94f83
Bhoutan,bhutan,bhutan,Country,Country,bhutan,,dgm_traveladvisories_country,6a748bb76e4fe708a3e321c77ed0d30c,dgm_traveladvisories_country__6a748bb76e4fe708a3e321c77ed0d30c
Bolivie,bolivia,bolivia,Country,Country,bolivia,,dgm_traveladvisories_country,76781be1c79df46b096f0cfb71f2bf82,dgm_traveladvisories_country__76781be1c79df46b096f0cfb71f2bf82
Bosnie-Herzégovine,bosnia,bosnia,Country,Country,bosnia,,dgm_traveladvisories_country,1066e7ebc8eed98d3f77484d0ab2cbc6,dgm_traveladvisories_country__1066e7ebc8eed98d3f77484d0ab2cbc6
Botswana,botswana,botswana,Country,Country,botswana,,dgm_traveladvisories_country,1c182d43cd8d37caf9ed0c3597fc83d9,dgm_traveladvisories_country__1c182d43cd8d37caf9ed0c3597fc83d9
Brésil,brazil,brazil,Country,Country,brazil,,dgm_traveladvisories_country,6e5fa4d9c48ca921c0a2ce1e64c9ae6f,dgm_traveladvisories_country__6e5fa4d9c48ca921c0a2ce1e64c9ae6f
Brunéi,brunei,brunei,Country,Country,brunei,,dgm_traveladvisories_country,0be0d89a7660a0f90bc223b97924a527,dgm_traveladvisories_country__0be0d89a7660a0f90bc223b97924a527
Bulgarie,bulgaria,bulgaria,Country,Country,bulgaria,,dgm_traveladvisories_country,db5f144303047ccd07e8f149da182bc8,dgm_traveladvisories_country__db5f144303047ccd07e8f149da182bc8
Burkina,burkina-faso,burkina-faso,Country,Country,burkina-faso,,dgm_traveladvisories_country,8b035b3ec06309c20e155772f313f5f1,dgm_traveladvisories_country__8b035b3ec06309c20e155772f313f5f1
Birmanie,burma,burma,Country,Country,burma,,dgm_traveladvisories_country,bdedfda002cebb7903b2329f4c7f2ef9,dgm_traveladvisories_country__bdedfda002cebb7903b2329f4c7f2ef9
Burundi,burundi,burundi,Country,Country,burundi,,dgm_traveladvisories_country,385433f6872fe8a9fb0c31b358994e8b,dgm_traveladvisories_country__385433f6872fe8a9fb0c31b358994e8b
Cambodge,cambodia,cambodia,Country,Country,cambodia,,dgm_traveladvisories_country,7bf23feba70a30ed762096c1570bc416,dgm_traveladvisories_country__7bf23feba70a30ed762096c1570bc416
Cameroun,cameroon,cameroon,Country,Country,cameroon,,dgm_traveladvisories_country,9621cbb93d1b8d7e12682d1237c6d8d4,dgm_traveladvisories_country__9621cbb93d1b8d7e12682d1237c6d8d4
Canada,canada (learn the provinces),canada (learn the provinces),Country,Country,canada (learn the provinces),,dgm_traveladvisories_country,4e7b8190f168a897b7e3c0a499c83658,dgm_traveladvisories_country__4e7b8190f168a897b7e3c0a499c83658
Cap-Vert,cape verde island,cape verde island,Country,Country,cape verde island,,dgm_traveladvisories_country,4c8c628adbd599c43e5b377a6c563b3f,dgm_traveladvisories_country__4c8c628adbd599c43e5b377a6c563b3f
République centrafricaine,central african republic,central african republic,Country,Country,central african republic,,dgm_traveladvisories_country,107bc51f0f59d738ab819811b10f6db5,dgm_traveladvisories_country__107bc51f0f59d738ab819811b10f6db5
Tchad,chad,chad,Country,Country,chad,,dgm_traveladvisories_country,ede79b3fbf673a9a8e9bf3db02aeb7b2,dgm_traveladvisories_country__ede79b3fbf673a9a8e9bf3db02aeb7b2
Chili,chile,chile,Country,Country,chile,,dgm_traveladvisories_country,fd317045cbdcd26054de08112d6031b4,dgm_traveladvisories_country__fd317045cbdcd26054de08112d6031b4
Chine,china,china,Country,Country,china,,dgm_traveladvisories_country,8a7d7ba288ca0f0ea1ecf975b026e8e1,dgm_traveladvisories_country__8a7d7ba288ca0f0ea1ecf975b026e8e1
Colombie,colombia,colombia,Country,Country,colombia,,dgm_traveladvisories_country,25446782e2ccaf0afdb03e5d61d0fbb9,dgm_traveladvisories_country__25446782e2ccaf0afdb03e5d61d0fbb9
Comores,comoro islands,comoro islands,Country,Country,comoro islands,,dgm_traveladvisories_country,b4f0bcae812b8260f0c83628bfe4a41b,dgm_traveladvisories_country__b4f0bcae812b8260f0c83628bfe4a41b
Congo,congo,congo,Country,Country,congo,,dgm_traveladvisories_country,443fd8c93d17446bad49472af0e22dc3,dgm_traveladvisories_country__443fd8c93d17446bad49472af0e22dc3
Î Cook,cook islands,cook islands,Country,Country,cook islands,,dgm_traveladvisories_country,a0ae0dd4316c2dbf9eaf976006215ef6,dgm_traveladvisories_country__a0ae0dd4316c2dbf9eaf976006215ef6
Costa Rica,costa rica,costa rica,Country,Country,costa rica,,dgm_traveladvisories_country,53bcde0ca0597e6777543b9ebf7892a4,dgm_traveladvisories_country__53bcde0ca0597e6777543b9ebf7892a4
Côte d'Ivoire,côte d'ivoire,côte d'ivoire,Country,Country,côte d'ivoire,,dgm_traveladvisories_country,3e57b42e5e33abb7831eb0164978cd67,dgm_traveladvisories_country__3e57b42e5e33abb7831eb0164978cd67
Croatie,croatia,croatia,Country,Country,croatia,,dgm_traveladvisories_country,267640588a3983481a032894a50f0be6,dgm_traveladvisories_country__267640588a3983481a032894a50f0be6
Cuba,cuba,cuba,Country,Country,cuba,,dgm_traveladvisories_country,2b84cd5da64a828bd859b18535c9345e,dgm_traveladvisories_country__2b84cd5da64a828bd859b18535c9345e
