keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Afghanistan,Afghanistan,Afghanistan,Country,Country,Afghanistan,,dgm_traveladvisories_country_ger,6e9767f4f15357401b148b9a8ced14ef,dgm_traveladvisories_country_ger__6e9767f4f15357401b148b9a8ced14ef
Albanien,Albania,Albania,Country,Country,Albania,,dgm_traveladvisories_country_ger,c420ddff824a5c0eec70dd23d62496bc,dgm_traveladvisories_country_ger__c420ddff824a5c0eec70dd23d62496bc
Algerien,Algeria,Algeria,Country,Country,Algeria,,dgm_traveladvisories_country_ger,575b9408b6daa2ddcefbcf6d81c9b4c9,dgm_traveladvisories_country_ger__575b9408b6daa2ddcefbcf6d81c9b4c9
Andorra,Andorra,Andorra,Country,Country,Andorra,,dgm_traveladvisories_country_ger,68746a7280b143cfc01f967610d3e86d,dgm_traveladvisories_country_ger__68746a7280b143cfc01f967610d3e86d
Angola,Angola,Angola,Country,Country,Angola,,dgm_traveladvisories_country_ger,232bf11cb81bcdb269f76a08fde8b947,dgm_traveladvisories_country_ger__232bf11cb81bcdb269f76a08fde8b947
Antigua und Barbuda,Antigua and Barbuda,Antigua and Barbuda,Country,Country,Antigua and Barbuda,,dgm_traveladvisories_country_ger,f7e68bf0791888ebcd5bfc62e022aa83,dgm_traveladvisories_country_ger__f7e68bf0791888ebcd5bfc62e022aa83
Argentinien,Argentina,Argentina,Country,Country,Argentina,,dgm_traveladvisories_country_ger,3536be57ce0713954e454ae6c53ec023,dgm_traveladvisories_country_ger__3536be57ce0713954e454ae6c53ec023
Armenien,Armenia,Armenia,Country,Country,Armenia,,dgm_traveladvisories_country_ger,a00c273f0f497484093fa94865cf5ca5,dgm_traveladvisories_country_ger__a00c273f0f497484093fa94865cf5ca5
Australien,Australia,Australia,Country,Country,Australia,,dgm_traveladvisories_country_ger,4442e4af0916f53a07fb8ca9a49b98ed,dgm_traveladvisories_country_ger__4442e4af0916f53a07fb8ca9a49b98ed
Österreich,Austria,Austria,Country,Country,Austria,,dgm_traveladvisories_country_ger,9891739094756d2605946c867b32ad28,dgm_traveladvisories_country_ger__9891739094756d2605946c867b32ad28
Aserbaidschan,Azerbaijan,Azerbaijan,Country,Country,Azerbaijan,,dgm_traveladvisories_country_ger,7176f8c3bccfdf02322c73f7a0bc9688,dgm_traveladvisories_country_ger__7176f8c3bccfdf02322c73f7a0bc9688
Bahamas,Bahamas,Bahamas,Country,Country,Bahamas,,dgm_traveladvisories_country_ger,6dbefdc38954fc54ea0c697d0c6ec0a7,dgm_traveladvisories_country_ger__6dbefdc38954fc54ea0c697d0c6ec0a7
Bahrain,Bahrain,Bahrain,Country,Country,Bahrain,,dgm_traveladvisories_country_ger,6ddecd8ccd9f648d19dc02c7a566cb4f,dgm_traveladvisories_country_ger__6ddecd8ccd9f648d19dc02c7a566cb4f
Bangladesch,Bangladesh,Bangladesh,Country,Country,Bangladesh,,dgm_traveladvisories_country_ger,f78a77f631d275aac6a914a17fe1b885,dgm_traveladvisories_country_ger__f78a77f631d275aac6a914a17fe1b885
Barbados,Barbados,Barbados,Country,Country,Barbados,,dgm_traveladvisories_country_ger,3214c0f21d200a1dae4eb83a53ec2730,dgm_traveladvisories_country_ger__3214c0f21d200a1dae4eb83a53ec2730
Weißrussland,Belarus,Belarus,Country,Country,Belarus,,dgm_traveladvisories_country_ger,6542f875eaa09a5c550e5f3986400ad9,dgm_traveladvisories_country_ger__6542f875eaa09a5c550e5f3986400ad9
Belgien,Belgium,Belgium,Country,Country,Belgium,,dgm_traveladvisories_country_ger,6c1674d14bf5f95742f572cddb0641a7,dgm_traveladvisories_country_ger__6c1674d14bf5f95742f572cddb0641a7
Belize,Belize,Belize,Country,Country,Belize,,dgm_traveladvisories_country_ger,20bca6785240fa722edb5c85d055a93d,dgm_traveladvisories_country_ger__20bca6785240fa722edb5c85d055a93d
Benin,Benin,Benin,Country,Country,Benin,,dgm_traveladvisories_country_ger,9e7002d53d4db7bfad4f5cf419b0c126,dgm_traveladvisories_country_ger__9e7002d53d4db7bfad4f5cf419b0c126
Bhutan,Bhutan,Bhutan,Country,Country,Bhutan,,dgm_traveladvisories_country_ger,e65a0ed0e39dd14a9e5af441efb09b37,dgm_traveladvisories_country_ger__e65a0ed0e39dd14a9e5af441efb09b37
Bolivien,Bolivia,Bolivia,Country,Country,Bolivia,,dgm_traveladvisories_country_ger,28aaafc355915903ce4a7e1d3af3bc4e,dgm_traveladvisories_country_ger__28aaafc355915903ce4a7e1d3af3bc4e
Bosnien und Herzegowina,Bosnia and Herzegovina,Bosnia and Herzegovina,Country,Country,Bosnia and Herzegovina,,dgm_traveladvisories_country_ger,96a6dd711874d4323dc2d3f932bd2ed3,dgm_traveladvisories_country_ger__96a6dd711874d4323dc2d3f932bd2ed3
Botswana,Botswana,Botswana,Country,Country,Botswana,,dgm_traveladvisories_country_ger,6cd50fb3091b0a9d3c1ac2cf52441390,dgm_traveladvisories_country_ger__6cd50fb3091b0a9d3c1ac2cf52441390
Brasilien,Brazil,Brazil,Country,Country,Brazil,,dgm_traveladvisories_country_ger,42537f0fb56e31e20ab9c2305752087d,dgm_traveladvisories_country_ger__42537f0fb56e31e20ab9c2305752087d
Brunei,Brunei,Brunei,Country,Country,Brunei,,dgm_traveladvisories_country_ger,d3f5841f04ba23bb90e1b9f4256cea70,dgm_traveladvisories_country_ger__d3f5841f04ba23bb90e1b9f4256cea70
Bulgarien,Bulgaria,Bulgaria,Country,Country,Bulgaria,,dgm_traveladvisories_country_ger,01a151debf2bfee8906f43f4342eb10b,dgm_traveladvisories_country_ger__01a151debf2bfee8906f43f4342eb10b
Burkina Faso,Burkina Faso,Burkina Faso,Country,Country,Burkina Faso,,dgm_traveladvisories_country_ger,28814f84db09b59b95f863b9c143c3a9,dgm_traveladvisories_country_ger__28814f84db09b59b95f863b9c143c3a9
Burundi,Burundi,Burundi,Country,Country,Burundi,,dgm_traveladvisories_country_ger,28765464efe1b6583610335965b4d75a,dgm_traveladvisories_country_ger__28765464efe1b6583610335965b4d75a
Kambodscha,Cambodia,Cambodia,Country,Country,Cambodia,,dgm_traveladvisories_country_ger,06c7a3c3a3344a62864b951aec4df830,dgm_traveladvisories_country_ger__06c7a3c3a3344a62864b951aec4df830
Kamerun,Cameroon,Cameroon,Country,Country,Cameroon,,dgm_traveladvisories_country_ger,4be25f9d27da71d4e98775668b5b12af,dgm_traveladvisories_country_ger__4be25f9d27da71d4e98775668b5b12af
Kanada,Canada,Canada,Country,Country,Canada,,dgm_traveladvisories_country_ger,445d337b5cd5de476f99333df6b0c2a7,dgm_traveladvisories_country_ger__445d337b5cd5de476f99333df6b0c2a7
Kap Verde,Cape Verde,Cape Verde,Country,Country,Cape Verde,,dgm_traveladvisories_country_ger,81975d05c61d8de83f46487739fd77cf,dgm_traveladvisories_country_ger__81975d05c61d8de83f46487739fd77cf
Zentralafrikanische Republik,Central African Republic,Central African Republic,Country,Country,Central African Republic,,dgm_traveladvisories_country_ger,aa293d284f52b08da5ba7fe7792fe9c3,dgm_traveladvisories_country_ger__aa293d284f52b08da5ba7fe7792fe9c3
Tschad,Chad,Chad,Country,Country,Chad,,dgm_traveladvisories_country_ger,e03653dedd6f4e142f4aca131995964f,dgm_traveladvisories_country_ger__e03653dedd6f4e142f4aca131995964f
Chile,Chile,Chile,Country,Country,Chile,,dgm_traveladvisories_country_ger,2e6507f70a9cc26fb50f5fd82a83c7ef,dgm_traveladvisories_country_ger__2e6507f70a9cc26fb50f5fd82a83c7ef
China,China,China,Country,Country,China,,dgm_traveladvisories_country_ger,ae54a5c026f31ada088992587d92cb3a,dgm_traveladvisories_country_ger__ae54a5c026f31ada088992587d92cb3a
Kolumbien,Colombia,Colombia,Country,Country,Colombia,,dgm_traveladvisories_country_ger,ef3388cc5659bccb742fb8af762f1bfd,dgm_traveladvisories_country_ger__ef3388cc5659bccb742fb8af762f1bfd
Komoren,Comoros,Comoros,Country,Country,Comoros,,dgm_traveladvisories_country_ger,4234d1794dd33c1b6ed975eab5148040,dgm_traveladvisories_country_ger__4234d1794dd33c1b6ed975eab5148040
Costa Rica,Costa Rica,Costa Rica,Country,Country,Costa Rica,,dgm_traveladvisories_country_ger,5882b568d8a010ef48a6896f53b6eddb,dgm_traveladvisories_country_ger__5882b568d8a010ef48a6896f53b6eddb
