keyword,caption_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
manifestations,demonstrations,,Legislator,demonstrations,,dgm_traveladvisory_context_fr,0922be6a2a3be4bdbebd28c620ab8f2d,dgm_traveladvisory_context_fr__0922be6a2a3be4bdbebd28c620ab8f2d
violences,potential violence,,Legislator,potential violence,,dgm_traveladvisory_context_fr,4752ee40e376f223752c79834f1300dd,dgm_traveladvisory_context_fr__4752ee40e376f223752c79834f1300dd
conflits,conflict,,Wells,conflict,,dgm_traveladvisory_context_fr,981f1875779561e79585a2ae43a196fb,dgm_traveladvisory_context_fr__981f1875779561e79585a2ae43a196fb
etat d'urgence,state of emergency,,CompanyKeyword,state of emergency,,dgm_traveladvisory_context_fr,c5d7d8f9adbbf4c4984e75c621f40664,dgm_traveladvisory_context_fr__c5d7d8f9adbbf4c4984e75c621f40664
affrontements,clashes,,FTO,clashes,,dgm_traveladvisory_context_fr,0506c9e0513cc61cbf5f4a9982036f1e,dgm_traveladvisory_context_fr__0506c9e0513cc61cbf5f4a9982036f1e
élections,elections,,ForeignMinistry,elections,,dgm_traveladvisory_context_fr,b9dd4e28c0fe5673909bb6c0615f5f22,dgm_traveladvisory_context_fr__b9dd4e28c0fe5673909bb6c0615f5f22
manifester,demonstrations,,News,demonstrations,,dgm_traveladvisory_context_fr,0922be6a2a3be4bdbebd28c620ab8f2d,dgm_traveladvisory_context_fr__0922be6a2a3be4bdbebd28c620ab8f2d
manifestation,demonstrations,,Organization,demonstrations,,dgm_traveladvisory_context_fr,0922be6a2a3be4bdbebd28c620ab8f2d,dgm_traveladvisory_context_fr__0922be6a2a3be4bdbebd28c620ab8f2d
l'état d'urgence,state of emergency,,ForeignMinistry,state of emergency,,dgm_traveladvisory_context_fr,c5d7d8f9adbbf4c4984e75c621f40664,dgm_traveladvisory_context_fr__c5d7d8f9adbbf4c4984e75c621f40664
coronavirus covid-19,covid-19 coronavirus,,Wells,covid-19 coronavirus,,dgm_traveladvisory_context_fr,d819a0ceb210350adef01a8b5039fae1,dgm_traveladvisory_context_fr__d819a0ceb210350adef01a8b5039fae1
entrer sur le territoire national,entry to France,,LegislativeCommittee,entry to France,,dgm_traveladvisory_context_fr,b612a95dc6500927b56b3c6d1146bee7,dgm_traveladvisory_context_fr__b612a95dc6500927b56b3c6d1146bee7
menace sécuritaire,security threat,,Wells,security threat,,dgm_traveladvisory_context_fr,de42eca10baf1f5d09a0e97b9c043929,dgm_traveladvisory_context_fr__de42eca10baf1f5d09a0e97b9c043929
contexte sécuritaire,security concerns,,Diplomat,security concerns,,dgm_traveladvisory_context_fr,913f4495f16408fa43841b8f25ad06c6,dgm_traveladvisory_context_fr__913f4495f16408fa43841b8f25ad06c6
