keyword,caption_name,location_lower,groups,topic_id,entity_type,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aberdeen regional airport,Aberdeen Regional Airport,aberdeen regional airport,airport,,airport,,Airport,Aberdeen Regional Airport,,dgm_tsa_channel_class_terms,cc95fda39e31c251689277d375781b0d,dgm_tsa_channel_class_terms__cc95fda39e31c251689277d375781b0d
abilene regional airport,Abilene Regional Airport,abilene regional airport,airport,,airport,,Airport,Abilene Regional Airport,,dgm_tsa_channel_class_terms,63a5424d82421ab07af7bba3bbc66967,dgm_tsa_channel_class_terms__63a5424d82421ab07af7bba3bbc66967
akron-canton airport,Akron-Canton Airport,akron-canton airport,airport,,airport,,Airport,Akron-Canton Airport,,dgm_tsa_channel_class_terms,660413d5e69ba89c28c68f94327ec069,dgm_tsa_channel_class_terms__660413d5e69ba89c28c68f94327ec069
southwest georgia regional airport,Southwest Georgia Regional Airport,southwest georgia regional airport,airport,,airport,,Airport,Southwest Georgia Regional Airport,,dgm_tsa_channel_class_terms,3546f7f9b997e03556662289531d75e4,dgm_tsa_channel_class_terms__3546f7f9b997e03556662289531d75e4
albany international airport,Albany International Airport,albany international airport,airport,,airport,,Airport,Albany International Airport,,dgm_tsa_channel_class_terms,878ad6aac58366986d133cd4fc1dde4f,dgm_tsa_channel_class_terms__878ad6aac58366986d133cd4fc1dde4f
albuquerque international sunport,Albuquerque International Sunport,albuquerque international sunport,airport,,airport,,Airport,Albuquerque International Sunport,,dgm_tsa_channel_class_terms,1aee6b3c0edd5586979fe87131ef6240,dgm_tsa_channel_class_terms__1aee6b3c0edd5586979fe87131ef6240
alexandria international airport,Alexandria International Airport,alexandria international airport,airport,,airport,,Airport,Alexandria International Airport,,dgm_tsa_channel_class_terms,a6c6ab217f7862c4f20bdd5d5907d733,dgm_tsa_channel_class_terms__a6c6ab217f7862c4f20bdd5d5907d733
lehigh valley international airport,Lehigh Valley International Airport,lehigh valley international airport,airport,,airport,,Airport,Lehigh Valley International Airport,,dgm_tsa_channel_class_terms,263fd0df2a34ebb5f529006d2ad67e61,dgm_tsa_channel_class_terms__263fd0df2a34ebb5f529006d2ad67e61
alpena county regional airport,Alpena County Regional Airport,alpena county regional airport,airport,,airport,,Airport,Alpena County Regional Airport,,dgm_tsa_channel_class_terms,73c2a7c490c018e42744968e7f83576c,dgm_tsa_channel_class_terms__73c2a7c490c018e42744968e7f83576c
altoona-blair county airport,Altoona-Blair County Airport,altoona-blair county airport,airport,,airport,,Airport,Altoona-Blair County Airport,,dgm_tsa_channel_class_terms,ffcfa4efd0d950b055dff7278c3697d0,dgm_tsa_channel_class_terms__ffcfa4efd0d950b055dff7278c3697d0
rick husband amarillo,Rick Husband Amarillo International Airport,rick husband amarillo international airport,airport,,airport,,Airport,Rick Husband Amarillo International Airport,,dgm_tsa_channel_class_terms,48bb9d97f9d338a5a675bba45e2d5406,dgm_tsa_channel_class_terms__48bb9d97f9d338a5a675bba45e2d5406
lake hood seaplane base,Lake Hood Seaplane Base,lake hood seaplane base,airport,,airport,,Airport,Lake Hood Seaplane Base,,dgm_tsa_channel_class_terms,fc11c11a62a78db4da2a3bdd74a3290f,dgm_tsa_channel_class_terms__fc11c11a62a78db4da2a3bdd74a3290f
ted stevens anchorage,Ted Stevens Anchorage International Airport,ted stevens anchorage international airport,airport,,airport,,Airport,Ted Stevens Anchorage International Airport,,dgm_tsa_channel_class_terms,49c63d7fd8e7e24c8cb7c8a6d1d1b6b3,dgm_tsa_channel_class_terms__49c63d7fd8e7e24c8cb7c8a6d1d1b6b3
