keyword,caption_name,groups,topic_id,entity_type,guid,Lat,Lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
transportation security administration,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,4818ed780073bc20fefb593400be8059,dgm_tsa_mentioned_entities__4818ed780073bc20fefb593400be8059
ustsa,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,bd8f7896cd41afe7ac07e2256c488648,dgm_tsa_mentioned_entities__bd8f7896cd41afe7ac07e2256c488648
us tsa,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,8b87d3ae3a649a9999d283672d945266,dgm_tsa_mentioned_entities__8b87d3ae3a649a9999d283672d945266
tsa leadership,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,8ffdb4e161721fb0db7cc66f588905b7,dgm_tsa_mentioned_entities__8ffdb4e161721fb0db7cc66f588905b7
إدارة أمن النقل,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,fc222f31ea86a2fba539648958c2dc9c,dgm_tsa_mentioned_entities__fc222f31ea86a2fba539648958c2dc9c
تي أس أي,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,261ac0e81218847cb09fef0ebcb3d1b8,dgm_tsa_mentioned_entities__261ac0e81218847cb09fef0ebcb3d1b8
إدارة أمن النقل الأمريكية,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,d8c56ac299aac6d8ac70c42fdb99481e,dgm_tsa_mentioned_entities__d8c56ac299aac6d8ac70c42fdb99481e
إدارة أمن المواصلات,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,a758636cff04cd375466cd7edcb17356,dgm_tsa_mentioned_entities__a758636cff04cd375466cd7edcb17356
إدارة أمن المواصلات الأمريكية,US Transportation Security Administration,agency,,agency,,,,Agency,US Transportation Security Administration,,dgm_tsa_mentioned_entities,31c0d163891cf86d2c09d2b9bf53b7dc,dgm_tsa_mentioned_entities__31c0d163891cf86d2c09d2b9bf53b7dc
tsa_pekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,a40dd27b28b6d1588c220e3965e8382c,dgm_tsa_mentioned_entities__a40dd27b28b6d1588c220e3965e8382c
david p. pekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,b0f6b2ab7e41fbf963213b8b835cb278,dgm_tsa_mentioned_entities__b0f6b2ab7e41fbf963213b8b835cb278
david p pekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,6a9edf6fc8b7ee868f98558241152414,dgm_tsa_mentioned_entities__6a9edf6fc8b7ee868f98558241152414
david pekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,26991eecc0cce5392afcc1faf6add0cc,dgm_tsa_mentioned_entities__26991eecc0cce5392afcc1faf6add0cc
davidpekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,98ff6f274b9203014833c500840d1393,dgm_tsa_mentioned_entities__98ff6f274b9203014833c500840d1393
davidppekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,6963a8f3cc09dd59d5da9a7192c8e1f4,dgm_tsa_mentioned_entities__6963a8f3cc09dd59d5da9a7192c8e1f4
tsa administrator,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,72f1c79e506f2b2a6ff2d86719f792ad,dgm_tsa_mentioned_entities__72f1c79e506f2b2a6ff2d86719f792ad
administrator of tsa,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,0b2c40feca02b205a19194eb93baaa03,dgm_tsa_mentioned_entities__0b2c40feca02b205a19194eb93baaa03
tsaadministrator,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,a9a8bbff9d6ad0893fb64268be1e111a,dgm_tsa_mentioned_entities__a9a8bbff9d6ad0893fb64268be1e111a
administratoroftsa,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,47438cb3c5a54aaa7995185f265732d7,dgm_tsa_mentioned_entities__47438cb3c5a54aaa7995185f265732d7
tsa administrater,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,e00189854f06e311495051ff81f0969c,dgm_tsa_mentioned_entities__e00189854f06e311495051ff81f0969c
administrater of tsa,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,81b496053b08e031a6a74ae3ec090260,dgm_tsa_mentioned_entities__81b496053b08e031a6a74ae3ec090260
tsaadministrater,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,929bd72735c3fa961e339bd9c3e239ba,dgm_tsa_mentioned_entities__929bd72735c3fa961e339bd9c3e239ba
administrateroftsa,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,40cf400302bc40e3e20e7a42c88615f3,dgm_tsa_mentioned_entities__40cf400302bc40e3e20e7a42c88615f3
(tsa; pekoske),TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,7b6288cc5bc5b2966b7cc76f25ba0906,dgm_tsa_mentioned_entities__7b6288cc5bc5b2966b7cc76f25ba0906
@tsa_pekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,277926411ec12306a9a0528e974f4c19,dgm_tsa_mentioned_entities__277926411ec12306a9a0528e974f4c19
#tsa_pekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,bab21e1dda85dac7b9ba0caf9fc3b234,dgm_tsa_mentioned_entities__bab21e1dda85dac7b9ba0caf9fc3b234
#tsapekoske,TSA Administrator Pekoske,agency leadership,,agency leadership,,,,AgencyLeadership,TSA Administrator Pekoske,,dgm_tsa_mentioned_entities,cc3db0e1bcaca2828d28b4b2a7c1109e,dgm_tsa_mentioned_entities__cc3db0e1bcaca2828d28b4b2a7c1109e
