keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
abbott tx,Abbott,Wells,Abbott,,dgm_txtown,e94953712c74734754d91a3889745f9e,dgm_txtown__e94953712c74734754d91a3889745f9e
abernathy tx,Abernathy,Legislator,Abernathy,,dgm_txtown,9cfadfcd863bfd5c5565df6cd9d88e8e,dgm_txtown__9cfadfcd863bfd5c5565df6cd9d88e8e
abilene tx,Abilene,IndustryTerm,Abilene,,dgm_txtown,ee2e56b03eae9930bcff86078f54344c,dgm_txtown__ee2e56b03eae9930bcff86078f54344c
ackerly tx,Ackerly,AAEntity,Ackerly,,dgm_txtown,0cdc8bbe00a4b1e4a90404331a0bdf0d,dgm_txtown__0cdc8bbe00a4b1e4a90404331a0bdf0d
addison tx,Addison,Pipeline,Addison,,dgm_txtown,c1a7f3693d1e2e5f5821b1b351260e9b,dgm_txtown__c1a7f3693d1e2e5f5821b1b351260e9b
adrian tx,Adrian,News,Adrian,,dgm_txtown,c1937b687795ce80be0ecf20e1811441,dgm_txtown__c1937b687795ce80be0ecf20e1811441
agua dulce tx,Agua Dulce,space,Agua Dulce,,dgm_txtown,97c0782bb40502bb8da62e6e31092794,dgm_txtown__97c0782bb40502bb8da62e6e31092794
alamo tx,Alamo,CompanyKeyword,Alamo,,dgm_txtown,03dc558f13a2270c409a27b90db8d307,dgm_txtown__03dc558f13a2270c409a27b90db8d307
alamo heights tx,Alamo Heights,Legislator,Alamo Heights,,dgm_txtown,01d122764aa92c6f793504bd633806cb,dgm_txtown__01d122764aa92c6f793504bd633806cb
alba tx,Alba,Legislator,Alba,,dgm_txtown,f528af12ef82e7257a7da4f8cd3c54c6,dgm_txtown__f528af12ef82e7257a7da4f8cd3c54c6
albany tx,Albany,News,Albany,,dgm_txtown,08d9eaf148bca47f7fd699c606e4558e,dgm_txtown__08d9eaf148bca47f7fd699c606e4558e
aledo tx,Aledo,Person,Aledo,,dgm_txtown,e23bdd8dc784c70004b6009d3306da42,dgm_txtown__e23bdd8dc784c70004b6009d3306da42
alice tx,Alice,News,Alice,,dgm_txtown,64489c85dc2fe0787b85cd87214b3810,dgm_txtown__64489c85dc2fe0787b85cd87214b3810
allen tx,Allen,LegislativeCommittee,Allen,,dgm_txtown,9c0ca0cabbd78a5a02bf8447347eced5,dgm_txtown__9c0ca0cabbd78a5a02bf8447347eced5
alma tx,Alma,Shipping,Alma,,dgm_txtown,fc198cb6e0f97fc5d342bd029e77f29f,dgm_txtown__fc198cb6e0f97fc5d342bd029e77f29f
alpine tx,Alpine,Diplomat,Alpine,,dgm_txtown,45a94c5ae2df00c49cca09d7d26c06ec,dgm_txtown__45a94c5ae2df00c49cca09d7d26c06ec
alto tx,Alto,Shipping,Alto,,dgm_txtown,2c90bb36efdd18b04a68c6de1e1be466,dgm_txtown__2c90bb36efdd18b04a68c6de1e1be466
alton tx,Alton,ForeignMinistry,Alton,,dgm_txtown,bad0cd6fd0f974f84d9919868675845f,dgm_txtown__bad0cd6fd0f974f84d9919868675845f
alvarado tx,Alvarado,CompanyKeyword,Alvarado,,dgm_txtown,0ffacd815347a9b6294a712e3d87ed7b,dgm_txtown__0ffacd815347a9b6294a712e3d87ed7b
alvin tx,Alvin,Wells,Alvin,,dgm_txtown,d17885c03e40315bdfb0d2f1ef4ff9fe,dgm_txtown__d17885c03e40315bdfb0d2f1ef4ff9fe
alvord tx,Alvord,Person,Alvord,,dgm_txtown,ab6a81a704a70f0e53db76fad5bb777b,dgm_txtown__ab6a81a704a70f0e53db76fad5bb777b
amarillo tx,Amarillo,Consulates,Amarillo,,dgm_txtown,911b4130e2757091497334955f022d33,dgm_txtown__911b4130e2757091497334955f022d33
ames tx,Ames,Organization,Ames,,dgm_txtown,33a6d4985c93bc1adf3f22a3bb16a43f,dgm_txtown__33a6d4985c93bc1adf3f22a3bb16a43f
amherst tx,Amherst,CompanyKeyword,Amherst,,dgm_txtown,501a7b9c0580aed6eb455c56f7fc0f15,dgm_txtown__501a7b9c0580aed6eb455c56f7fc0f15
anahuac tx,Anahuac,Organization,Anahuac,,dgm_txtown,fb72059658ebae84c5e1097ea10aa3a7,dgm_txtown__fb72059658ebae84c5e1097ea10aa3a7
anderson tx,Anderson,AAEntity,Anderson,,dgm_txtown,b32b1b822dd59451b17b08f97fdfe81e,dgm_txtown__b32b1b822dd59451b17b08f97fdfe81e
andrews tx,Andrews,Shipping,Andrews,,dgm_txtown,e4a9f761cc25678087d16df4c3e52d99,dgm_txtown__e4a9f761cc25678087d16df4c3e52d99
angleton tx,Angleton,ForeignMinister,Angleton,,dgm_txtown,522572ea0710645fed530494019c1e6c,dgm_txtown__522572ea0710645fed530494019c1e6c
angus tx,Angus,Consulates,Angus,,dgm_txtown,4a585f963d73f444817b276b35a2879d,dgm_txtown__4a585f963d73f444817b276b35a2879d
anna tx,Anna,ForeignMinister,Anna,,dgm_txtown,97a9d330e236c8d067f01da1894a5438,dgm_txtown__97a9d330e236c8d067f01da1894a5438
annetta tx,Annetta,Diplomat,Annetta,,dgm_txtown,5ee5c0c0fab421c5944c83e307697169,dgm_txtown__5ee5c0c0fab421c5944c83e307697169
annetta north tx,Annetta North,Diplomat,Annetta North,,dgm_txtown,82da99fa10aced6b85040b63042c4343,dgm_txtown__82da99fa10aced6b85040b63042c4343
annetta south tx,Annetta South,ForeignMinister,Annetta South,,dgm_txtown,9d87278ca2798ebb66e66bd39039647c,dgm_txtown__9d87278ca2798ebb66e66bd39039647c
annona tx,Annona,Shipping,Annona,,dgm_txtown,fdbf38883fcd2616b8da0b9d73e77535,dgm_txtown__fdbf38883fcd2616b8da0b9d73e77535
anson tx,Anson,Organization,Anson,,dgm_txtown,8dd288ebace8eb5502b2d2f41204b4fa,dgm_txtown__8dd288ebace8eb5502b2d2f41204b4fa
anthony tx,Anthony,Legislator,Anthony,,dgm_txtown,20f1aeb7819d7858684c898d1e98c1bb,dgm_txtown__20f1aeb7819d7858684c898d1e98c1bb
anton tx,Anton,ForeignMinistry,Anton,,dgm_txtown,dd93247a247c559e1050296f0ec86a23,dgm_txtown__dd93247a247c559e1050296f0ec86a23
appleby tx,Appleby,Organization,Appleby,,dgm_txtown,17b9fd804c576ec699db90721984bd31,dgm_txtown__17b9fd804c576ec699db90721984bd31
aquilla tx,Aquilla,Keyphrase,Aquilla,,dgm_txtown,fcb615dcf1c6555cf1a8c2afb741f6f5,dgm_txtown__fcb615dcf1c6555cf1a8c2afb741f6f5
aransas pass tx,Aransas Pass,DiplomaticFacilities,Aransas Pass,,dgm_txtown,31453c491777b2f5d05f675724a52601,dgm_txtown__31453c491777b2f5d05f675724a52601
archer city tx,Archer City,Keyphrase,Archer City,,dgm_txtown,e84c39d1f12f60c8b31ebb1ad4f4f7a3,dgm_txtown__e84c39d1f12f60c8b31ebb1ad4f4f7a3
arcola tx,Arcola,IndustryTerm,Arcola,,dgm_txtown,b0030473c37e593e6b7886cc657eca93,dgm_txtown__b0030473c37e593e6b7886cc657eca93
argyle tx,Argyle,Diplomat,Argyle,,dgm_txtown,9256ffc74de113c064bac9bc15018dbb,dgm_txtown__9256ffc74de113c064bac9bc15018dbb
arlington tx,Arlington,News,Arlington,,dgm_txtown,f087cc2aab661e2c6648ad3a679f7c7c,dgm_txtown__f087cc2aab661e2c6648ad3a679f7c7c
arp tx,Arp,Consulates,Arp,,dgm_txtown,73547debfaca58004ee828b6fadc7be2,dgm_txtown__73547debfaca58004ee828b6fadc7be2
asherton tx,Asherton,FTO,Asherton,,dgm_txtown,a0dad977edb9338f0eb5584f26be469e,dgm_txtown__a0dad977edb9338f0eb5584f26be469e
aspermont tx,Aspermont,Keyphrase,Aspermont,,dgm_txtown,0cb168b5b49336dc37382fe35764365a,dgm_txtown__0cb168b5b49336dc37382fe35764365a
athens tx,Athens,ForeignMinister,Athens,,dgm_txtown,e14045c6b4fe1e65d04aade91b1f8c1b,dgm_txtown__e14045c6b4fe1e65d04aade91b1f8c1b
atlanta tx,Atlanta,Media,Atlanta,,dgm_txtown,8b1c40ce6629723de95905617aaf5743,dgm_txtown__8b1c40ce6629723de95905617aaf5743
aubrey tx,Aubrey,Refinery,Aubrey,,dgm_txtown,6091fb21ac5e2bd3bc507543ba4869c0,dgm_txtown__6091fb21ac5e2bd3bc507543ba4869c0
aurora tx,Aurora,Keyphrase,Aurora,,dgm_txtown,509e0895bd82e3315e79018a6ce02181,dgm_txtown__509e0895bd82e3315e79018a6ce02181
austin tx,Austin,Pipeline,Austin,,dgm_txtown,54c3265daedcd4e9f97fe63e102c3307,dgm_txtown__54c3265daedcd4e9f97fe63e102c3307
austwell tx,Austwell,Pipeline,Austwell,,dgm_txtown,e628a298c01862691b5b944e695d414f,dgm_txtown__e628a298c01862691b5b944e695d414f
avery tx,Avery,AAEntity,Avery,,dgm_txtown,9691f0478a5b348e5275245d65250483,dgm_txtown__9691f0478a5b348e5275245d65250483
avinger tx,Avinger,Consulates,Avinger,,dgm_txtown,d25b58ccc4d71573cab6b6fb2962f6c5,dgm_txtown__d25b58ccc4d71573cab6b6fb2962f6c5
azle tx,Azle,Media,Azle,,dgm_txtown,64c838758948679550abce2da609e8d9,dgm_txtown__64c838758948679550abce2da609e8d9
bailey tx,Bailey,News,Bailey,,dgm_txtown,a47eace67ec36839ddb9cd868bdc3a33,dgm_txtown__a47eace67ec36839ddb9cd868bdc3a33
bailey's prairie village texas,Bailey's Prairie village Texas,Refinery,Bailey's Prairie village Texas,,dgm_txtown,93de20a4ce94533236d3378b09a482cd,dgm_txtown__93de20a4ce94533236d3378b09a482cd
baird tx,Baird,ForeignMinister,Baird,,dgm_txtown,69598baf4012adc64649561c31fd0bd0,dgm_txtown__69598baf4012adc64649561c31fd0bd0
balch springs tx,Balch Springs,DiplomaticFacilities,Balch Springs,,dgm_txtown,3cfeb4e958babd1604472793b30a86eb,dgm_txtown__3cfeb4e958babd1604472793b30a86eb
balcones heights tx,Balcones Heights,FTO,Balcones Heights,,dgm_txtown,2f02ee1eede8a806ac3f147d42e5568f,dgm_txtown__2f02ee1eede8a806ac3f147d42e5568f
ballinger tx,Ballinger,Legislator,Ballinger,,dgm_txtown,256377267b2cfda8e4133aeff26ffb02,dgm_txtown__256377267b2cfda8e4133aeff26ffb02
balmorhea tx,Balmorhea,CompanyKeyword,Balmorhea,,dgm_txtown,f44991599aa2aadbdf6faf199def1dba,dgm_txtown__f44991599aa2aadbdf6faf199def1dba
bandera tx,Bandera,Shipping,Bandera,,dgm_txtown,a6a8cc72d2fc5a076b91bc8563d23691,dgm_txtown__a6a8cc72d2fc5a076b91bc8563d23691
bangs tx,Bangs,IndustryTerm,Bangs,,dgm_txtown,80d6c8f487b5e8855604dcad048c9e2b,dgm_txtown__80d6c8f487b5e8855604dcad048c9e2b
bardwell tx,Bardwell,Pipeline,Bardwell,,dgm_txtown,f1a16d60fffda2814dfe3eaa311053de,dgm_txtown__f1a16d60fffda2814dfe3eaa311053de
barry tx,Barry,Consulates,Barry,,dgm_txtown,36661b3adc7f4c716e442fed57c12bfb,dgm_txtown__36661b3adc7f4c716e442fed57c12bfb
barstow tx,Barstow,Person,Barstow,,dgm_txtown,60c22ba7c32920b012b9f632676cdcbc,dgm_txtown__60c22ba7c32920b012b9f632676cdcbc
bartlett tx,Bartlett,Legislator,Bartlett,,dgm_txtown,03b627d3493e3b2a15128dd1b5e950b3,dgm_txtown__03b627d3493e3b2a15128dd1b5e950b3
bartonville tx,Bartonville,space,Bartonville,,dgm_txtown,75dd5cdd2fc7c73329883e2c9e7e353f,dgm_txtown__75dd5cdd2fc7c73329883e2c9e7e353f
bastrop tx,Bastrop,Consulates,Bastrop,,dgm_txtown,9b1962ffeb8b251d9fec2562963a70c3,dgm_txtown__9b1962ffeb8b251d9fec2562963a70c3
bay city tx,Bay City,AAEntity,Bay City,,dgm_txtown,ab6db40e898c5c085f49a1762c294af8,dgm_txtown__ab6db40e898c5c085f49a1762c294af8
bayou vista tx,Bayou Vista,CompanyKeyword,Bayou Vista,,dgm_txtown,6db58332a470ccc06c3e042ea3e25720,dgm_txtown__6db58332a470ccc06c3e042ea3e25720
bayside tx,Bayside,Wells,Bayside,,dgm_txtown,a505283dfe1e58aaac51866c003b3c53,dgm_txtown__a505283dfe1e58aaac51866c003b3c53
baytown tx,Baytown,Pipeline,Baytown,,dgm_txtown,f2f2d80c5553b1565aad51e998d71170,dgm_txtown__f2f2d80c5553b1565aad51e998d71170
bayview tx,Bayview,Shipping,Bayview,,dgm_txtown,b5d2d1e344ca1b92daae08fcfa96acb6,dgm_txtown__b5d2d1e344ca1b92daae08fcfa96acb6
beach city tx,Beach City,Wells,Beach City,,dgm_txtown,a220f66c8481893d025429f0d8f92216,dgm_txtown__a220f66c8481893d025429f0d8f92216
bear creek village texas,Bear Creek village Texas,space,Bear Creek village Texas,,dgm_txtown,b57b2770040f30b51c4971f34da8c449,dgm_txtown__b57b2770040f30b51c4971f34da8c449
beasley tx,Beasley,Organization,Beasley,,dgm_txtown,99b7b3943089d161b68df4898993c85a,dgm_txtown__99b7b3943089d161b68df4898993c85a
beaumont tx,Beaumont,Keyphrase,Beaumont,,dgm_txtown,2cae68cda70b895bcb454691656b7584,dgm_txtown__2cae68cda70b895bcb454691656b7584
beckville tx,Beckville,News,Beckville,,dgm_txtown,8c63b825c9753b56c42fff2b55072d43,dgm_txtown__8c63b825c9753b56c42fff2b55072d43
bedford tx,Bedford,Keyphrase,Bedford,,dgm_txtown,8feaa62e3693274762fb597df1845a56,dgm_txtown__8feaa62e3693274762fb597df1845a56
bedias tx,Bedias,News,Bedias,,dgm_txtown,c081aef54f2de1a6d714e838f185d90f,dgm_txtown__c081aef54f2de1a6d714e838f185d90f
bee cave tx,Bee Cave,IndustryTerm,Bee Cave,,dgm_txtown,a29249f40a0862455864d4089125efdd,dgm_txtown__a29249f40a0862455864d4089125efdd
beeville tx,Beeville,IndustryTerm,Beeville,,dgm_txtown,b95f4d53b2c0f8d39f585127186949cf,dgm_txtown__b95f4d53b2c0f8d39f585127186949cf
bellaire tx,Bellaire,AAEntity,Bellaire,,dgm_txtown,684afde5a6bf1b23de8af946025713d1,dgm_txtown__684afde5a6bf1b23de8af946025713d1
bellevue tx,Bellevue,Shipping,Bellevue,,dgm_txtown,5f4d741ee873e003691d6409d99ab09f,dgm_txtown__5f4d741ee873e003691d6409d99ab09f
bellmead tx,Bellmead,ForeignMinister,Bellmead,,dgm_txtown,063dc0ee3b44683746b51545b9f0ba08,dgm_txtown__063dc0ee3b44683746b51545b9f0ba08
bells tx,Bells,Media,Bells,,dgm_txtown,36ff87905184d49c4a3525820bfe15a1,dgm_txtown__36ff87905184d49c4a3525820bfe15a1
bellville tx,Bellville,News,Bellville,,dgm_txtown,42053379420f36adc4ad2ea989932453,dgm_txtown__42053379420f36adc4ad2ea989932453
belton tx,Belton,Media,Belton,,dgm_txtown,2ce6d0b0cccf4d73f4a12300af36b49a,dgm_txtown__2ce6d0b0cccf4d73f4a12300af36b49a
benavides tx,Benavides,News,Benavides,,dgm_txtown,a3b432060e60eea8766087047d2c3fce,dgm_txtown__a3b432060e60eea8766087047d2c3fce
benbrook tx,Benbrook,Media,Benbrook,,dgm_txtown,1abfcadb115eed0e3783839b502beb68,dgm_txtown__1abfcadb115eed0e3783839b502beb68
benjamin tx,Benjamin,Wells,Benjamin,,dgm_txtown,861a744bccc0da5432f097d5838e4b83,dgm_txtown__861a744bccc0da5432f097d5838e4b83
berryville tx,Berryville,News,Berryville,,dgm_txtown,5fe02bc45a4442de691cffd31d35614e,dgm_txtown__5fe02bc45a4442de691cffd31d35614e
bertram tx,Bertram,CompanyKeyword,Bertram,,dgm_txtown,d1159730b90dd779857e52c2803c7b02,dgm_txtown__d1159730b90dd779857e52c2803c7b02
beverly hills tx,Beverly Hills,Exec,Beverly Hills,,dgm_txtown,22dde6e992e9039005d1071ef7507bb2,dgm_txtown__22dde6e992e9039005d1071ef7507bb2
bevil oaks tx,Bevil Oaks,News,Bevil Oaks,,dgm_txtown,049f197986b9a8b2c3cde21f263d9094,dgm_txtown__049f197986b9a8b2c3cde21f263d9094
big lake tx,Big Lake,CompanyKeyword,Big Lake,,dgm_txtown,6b93df65b9da6b2b3f0fbb1fddc820bd,dgm_txtown__6b93df65b9da6b2b3f0fbb1fddc820bd
big sandy tx,Big Sandy,IndustryTerm,Big Sandy,,dgm_txtown,f7051089c3a7f310c88b6ed7658e2dc4,dgm_txtown__f7051089c3a7f310c88b6ed7658e2dc4
big spring tx,Big Spring,Wells,Big Spring,,dgm_txtown,9dd1f71e9cde33c06b76754b05a7ca13,dgm_txtown__9dd1f71e9cde33c06b76754b05a7ca13
big wells tx,Big Wells,ForeignMinistry,Big Wells,,dgm_txtown,26493881392a3b46927848d98142b86b,dgm_txtown__26493881392a3b46927848d98142b86b
bishop tx,Bishop,space,Bishop,,dgm_txtown,3aa4584e547efba20238772d4af5c03d,dgm_txtown__3aa4584e547efba20238772d4af5c03d
bishop hills tx,Bishop Hills,CompanyKeyword,Bishop Hills,,dgm_txtown,3609b485175df6d664efc9e91a1f2cb2,dgm_txtown__3609b485175df6d664efc9e91a1f2cb2
blackwell tx,Blackwell,space,Blackwell,,dgm_txtown,bf1c3424826406ded44e04e28ace69f0,dgm_txtown__bf1c3424826406ded44e04e28ace69f0
blanco tx,Blanco,Person,Blanco,,dgm_txtown,104bf393ae90eac7e3045a657d5adb84,dgm_txtown__104bf393ae90eac7e3045a657d5adb84
blanket tx,Blanket,Person,Blanket,,dgm_txtown,6cdc67f5032b6e934e9b1a5496e0482e,dgm_txtown__6cdc67f5032b6e934e9b1a5496e0482e
bloomburg tx,Bloomburg,IndustryTerm,Bloomburg,,dgm_txtown,964f7efae36e6c3b1ccbc907f5020cfc,dgm_txtown__964f7efae36e6c3b1ccbc907f5020cfc
blooming grove tx,Blooming Grove,Diplomat,Blooming Grove,,dgm_txtown,6fe2511da9717905358cf7664a07fe13,dgm_txtown__6fe2511da9717905358cf7664a07fe13
blossom tx,Blossom,LegislativeCommittee,Blossom,,dgm_txtown,1eb55c879a22c44874101b5d2bdf1b2e,dgm_txtown__1eb55c879a22c44874101b5d2bdf1b2e
blue mound tx,Blue Mound,Pipeline,Blue Mound,,dgm_txtown,d2687294f7c0d1b282de2176d4e6f270,dgm_txtown__d2687294f7c0d1b282de2176d4e6f270
blue ridge tx,Blue Ridge,LegislativeCommittee,Blue Ridge,,dgm_txtown,6cbe786d6ed161c7bbead3d748d8c60c,dgm_txtown__6cbe786d6ed161c7bbead3d748d8c60c
blum tx,Blum,Legislator,Blum,,dgm_txtown,f74c3169058654b860fc97bf24164904,dgm_txtown__f74c3169058654b860fc97bf24164904
boerne tx,Boerne,Pipeline,Boerne,,dgm_txtown,2f51342d0a68f86032477aa700fdd586,dgm_txtown__2f51342d0a68f86032477aa700fdd586
bogata tx,Bogata,FTO,Bogata,,dgm_txtown,b8e28772f9050f6b676e5230464c123f,dgm_txtown__b8e28772f9050f6b676e5230464c123f
bonham tx,Bonham,Consulates,Bonham,,dgm_txtown,20845f584c565350c7633fc7c69651af,dgm_txtown__20845f584c565350c7633fc7c69651af
bonney village texas,Bonney village Texas,Shipping,Bonney village Texas,,dgm_txtown,b267492882fb451110421b27eee090a3,dgm_txtown__b267492882fb451110421b27eee090a3
booker tx,Booker,Consulates,Booker,,dgm_txtown,e7255d6d2d37cd3dd5a1b7869350b90c,dgm_txtown__e7255d6d2d37cd3dd5a1b7869350b90c
borger tx,Borger,Pipeline,Borger,,dgm_txtown,fbef91c61a672d9ce6bfe4eb3cd04148,dgm_txtown__fbef91c61a672d9ce6bfe4eb3cd04148
bovina tx,Bovina,News,Bovina,,dgm_txtown,d7edc52307d1cb5fd479594ebdc58416,dgm_txtown__d7edc52307d1cb5fd479594ebdc58416
bowie tx,Bowie,ForeignMinister,Bowie,,dgm_txtown,40f99715cae8218184a6b1adccdbb1e3,dgm_txtown__40f99715cae8218184a6b1adccdbb1e3
boyd tx,Boyd,space,Boyd,,dgm_txtown,f0ae03444ee2340f20cee6a53cebc0ab,dgm_txtown__f0ae03444ee2340f20cee6a53cebc0ab
