keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
2021-09-01,September 1,Legislator,September 1,,dgm_uap_dates_mds,ed67317bd33a15707196ae59af28f8b7,dgm_uap_dates_mds__ed67317bd33a15707196ae59af28f8b7
2021-09-02,September 2,Wells,September 2,,dgm_uap_dates_mds,0cd01225d83dfeee67e123dc695f5124,dgm_uap_dates_mds__0cd01225d83dfeee67e123dc695f5124
2021-09-03,September 3,Shipping,September 3,,dgm_uap_dates_mds,f6de42fdbec3229413e0ae0437902b18,dgm_uap_dates_mds__f6de42fdbec3229413e0ae0437902b18
2021-09-04,September 4,Person,September 4,,dgm_uap_dates_mds,b27843f3544e106634230cf3ca9d6336,dgm_uap_dates_mds__b27843f3544e106634230cf3ca9d6336
2021-09-05,September 5,Pipeline,September 5,,dgm_uap_dates_mds,ec071decda59a21a7669f338068edc8e,dgm_uap_dates_mds__ec071decda59a21a7669f338068edc8e
2021-09-06,September 6,IndustryTerm,September 6,,dgm_uap_dates_mds,78ab9c86795c058d9513cd507a7c29d8,dgm_uap_dates_mds__78ab9c86795c058d9513cd507a7c29d8
2021-09-07,September 7,Exec,September 7,,dgm_uap_dates_mds,6ba9cb9a09be6711d47cf5e3093dee9e,dgm_uap_dates_mds__6ba9cb9a09be6711d47cf5e3093dee9e
2021-09-08,September 8,Diplomat,September 8,,dgm_uap_dates_mds,8c7cf17312809d438a75e53f2abdd360,dgm_uap_dates_mds__8c7cf17312809d438a75e53f2abdd360
2021-09-09,September 9,Refinery,September 9,,dgm_uap_dates_mds,aabfaf9a95968eb02cd428d7954ae495,dgm_uap_dates_mds__aabfaf9a95968eb02cd428d7954ae495
2021-09-10,September 10,FTO,September 10,,dgm_uap_dates_mds,1b9cffe0cfce1a7471e5847a272c28cc,dgm_uap_dates_mds__1b9cffe0cfce1a7471e5847a272c28cc
2021-09-11,September 11,AAEntity,September 11,,dgm_uap_dates_mds,7dcdc0f25ef4ba62b4221799391513c4,dgm_uap_dates_mds__7dcdc0f25ef4ba62b4221799391513c4
2021-09-12,September 12,Organization,September 12,,dgm_uap_dates_mds,1d16b5d551234625982a5f0420f38eef,dgm_uap_dates_mds__1d16b5d551234625982a5f0420f38eef
2021-09-13,September 13,Exec,September 13,,dgm_uap_dates_mds,6ed3f52d79e29bf2c80c75dbea6e9aa1,dgm_uap_dates_mds__6ed3f52d79e29bf2c80c75dbea6e9aa1
2021-09-14,September 14,space,September 14,,dgm_uap_dates_mds,9876cd2bb52ee9e73620826b54ac2f9f,dgm_uap_dates_mds__9876cd2bb52ee9e73620826b54ac2f9f
2021-09-15,September 15,Legislator,September 15,,dgm_uap_dates_mds,826a92c18dded57a77e424aaadcb0291,dgm_uap_dates_mds__826a92c18dded57a77e424aaadcb0291
2021-09-16,September 16,Person,September 16,,dgm_uap_dates_mds,609c3d5450db3d43aa43e0f6c8e31493,dgm_uap_dates_mds__609c3d5450db3d43aa43e0f6c8e31493
2021-09-17,September 17,Media,September 17,,dgm_uap_dates_mds,87e071e3b4f4c773776a1c6c122f7730,dgm_uap_dates_mds__87e071e3b4f4c773776a1c6c122f7730
2021-09-18,September 18,Legislator,September 18,,dgm_uap_dates_mds,62cf0ef280303208a73361fedeb88659,dgm_uap_dates_mds__62cf0ef280303208a73361fedeb88659
2021-09-19,September 19,Wells,September 19,,dgm_uap_dates_mds,f678b7400294890fdbf9256bee525fbc,dgm_uap_dates_mds__f678b7400294890fdbf9256bee525fbc
2021-09-20,September 20,FTO,September 20,,dgm_uap_dates_mds,a3cd69bdc0e5c41e3633671da9f313ee,dgm_uap_dates_mds__a3cd69bdc0e5c41e3633671da9f313ee
2021-09-21,September 21,News,September 21,,dgm_uap_dates_mds,5c2c382be80a81ea5d6defe270c4412a,dgm_uap_dates_mds__5c2c382be80a81ea5d6defe270c4412a
2021-09-22,September 22,Organization,September 22,,dgm_uap_dates_mds,46d74226bfc3a1640fc8b3b0d2c87db0,dgm_uap_dates_mds__46d74226bfc3a1640fc8b3b0d2c87db0
2021-09-23,September 23,AAEntity,September 23,,dgm_uap_dates_mds,fd12904ca0ea248b72a561b369549b37,dgm_uap_dates_mds__fd12904ca0ea248b72a561b369549b37
2021-09-24,September 24,Person,September 24,,dgm_uap_dates_mds,bdb8c1a490b348a5a08da5d3d6ee509a,dgm_uap_dates_mds__bdb8c1a490b348a5a08da5d3d6ee509a
2021-09-25,September 25,Legislator,September 25,,dgm_uap_dates_mds,3add53290c3ebfb50a17cbe46687646d,dgm_uap_dates_mds__3add53290c3ebfb50a17cbe46687646d
2021-09-26,September 26,ForeignMinistry,September 26,,dgm_uap_dates_mds,c78c8350b5086b808cb12e8cd720080a,dgm_uap_dates_mds__c78c8350b5086b808cb12e8cd720080a
2021-09-27,September 27,Diplomat,September 27,,dgm_uap_dates_mds,0b4eb80b5e09aad2845914af44995d68,dgm_uap_dates_mds__0b4eb80b5e09aad2845914af44995d68
2021-09-28,September 28,Pipeline,September 28,,dgm_uap_dates_mds,69d77870c17638f8d22ecdca10494dac,dgm_uap_dates_mds__69d77870c17638f8d22ecdca10494dac
2021-09-29,September 29,Keyphrase,September 29,,dgm_uap_dates_mds,82e60971cc7130aa075505d39a541bff,dgm_uap_dates_mds__82e60971cc7130aa075505d39a541bff
2021-09-30,September 30,DiplomaticFacilities,September 30,,dgm_uap_dates_mds,70f7cf7a6589d7cc63db6d9f953b82e1,dgm_uap_dates_mds__70f7cf7a6589d7cc63db6d9f953b82e1
2021-10-01,October 1,Keyphrase,October 1,,dgm_uap_dates_mds,57bb3233cad00fa7c8cf947a10e980ec,dgm_uap_dates_mds__57bb3233cad00fa7c8cf947a10e980ec
2021-10-02,October 2,Wells,October 2,,dgm_uap_dates_mds,807400aaa7423b5acdce6ce19bac9a65,dgm_uap_dates_mds__807400aaa7423b5acdce6ce19bac9a65
2021-10-03,October 3,Wells,October 3,,dgm_uap_dates_mds,05df42399dbfc65e120cd3b68f7a675c,dgm_uap_dates_mds__05df42399dbfc65e120cd3b68f7a675c
2021-10-04,October 4,Organization,October 4,,dgm_uap_dates_mds,b2e3367fdceb6aab77540eb123551b92,dgm_uap_dates_mds__b2e3367fdceb6aab77540eb123551b92
2021-10-05,October 5,IndustryTerm,October 5,,dgm_uap_dates_mds,70c3873634517a217c2baac4a628c395,dgm_uap_dates_mds__70c3873634517a217c2baac4a628c395
2021-10-06,October 6,Exec,October 6,,dgm_uap_dates_mds,4b03fde4f20086a1efcca93b3006b74c,dgm_uap_dates_mds__4b03fde4f20086a1efcca93b3006b74c
2021-10-07,October 7,ForeignMinistry,October 7,,dgm_uap_dates_mds,d868dde1ce44f844e109610b7426e2e1,dgm_uap_dates_mds__d868dde1ce44f844e109610b7426e2e1
2021-10-08,October 8,Legislator,October 8,,dgm_uap_dates_mds,877a1d915c2c8cec7cd19d111ec2425e,dgm_uap_dates_mds__877a1d915c2c8cec7cd19d111ec2425e
2021-10-09,October 9,Exec,October 9,,dgm_uap_dates_mds,e018a832ad9d6cb238da2ebcd61549b6,dgm_uap_dates_mds__e018a832ad9d6cb238da2ebcd61549b6
2021-10-10,October 10,Wells,October 10,,dgm_uap_dates_mds,4018377ae59e4a863a4dec8b8d4aca48,dgm_uap_dates_mds__4018377ae59e4a863a4dec8b8d4aca48
2021-10-11,October 11,Keyphrase,October 11,,dgm_uap_dates_mds,6ea7ae862cbb456fde87b20cf9ed5bba,dgm_uap_dates_mds__6ea7ae862cbb456fde87b20cf9ed5bba
2021-10-12,October 12,FTO,October 12,,dgm_uap_dates_mds,fb206663bbdb213054ea8306ee2474f0,dgm_uap_dates_mds__fb206663bbdb213054ea8306ee2474f0
2021-10-13,October 13,ForeignMinister,October 13,,dgm_uap_dates_mds,77c52dd2523fdc16db1a15d9443da151,dgm_uap_dates_mds__77c52dd2523fdc16db1a15d9443da151
2021-10-14,October 14,Shipping,October 14,,dgm_uap_dates_mds,8c8a672e2cb2c9631700709d0bd41c58,dgm_uap_dates_mds__8c8a672e2cb2c9631700709d0bd41c58
2021-10-15,October 15,space,October 15,,dgm_uap_dates_mds,1326476899751cc48fa057a772817637,dgm_uap_dates_mds__1326476899751cc48fa057a772817637
2021-10-16,October 16,Keyphrase,October 16,,dgm_uap_dates_mds,00ee795a1100748ab49818acb048babe,dgm_uap_dates_mds__00ee795a1100748ab49818acb048babe
2021-10-17,October 17,Organization,October 17,,dgm_uap_dates_mds,c585848e829de01087cc318e8620208a,dgm_uap_dates_mds__c585848e829de01087cc318e8620208a
2021-10-18,October 18,IndustryTerm,October 18,,dgm_uap_dates_mds,de236e6e78b0ebfc6620dd181c0ea03d,dgm_uap_dates_mds__de236e6e78b0ebfc6620dd181c0ea03d
2021-10-19,October 19,FTO,October 19,,dgm_uap_dates_mds,0bbb43dc2904d1acd6c91d679be3dada,dgm_uap_dates_mds__0bbb43dc2904d1acd6c91d679be3dada
2021-10-20,October 20,Organization,October 20,,dgm_uap_dates_mds,356630360952ae84138b720fd1d5e3bf,dgm_uap_dates_mds__356630360952ae84138b720fd1d5e3bf
2021-10-21,October 21,Legislator,October 21,,dgm_uap_dates_mds,74988df724930278763d61af7887cf9c,dgm_uap_dates_mds__74988df724930278763d61af7887cf9c
2021-10-22,October 22,Shipping,October 22,,dgm_uap_dates_mds,c053dfcca389be28a44287f1ca22d803,dgm_uap_dates_mds__c053dfcca389be28a44287f1ca22d803
2021-10-23,October 23,Pipeline,October 23,,dgm_uap_dates_mds,fd91b7c14202e58aace6be1910bd1029,dgm_uap_dates_mds__fd91b7c14202e58aace6be1910bd1029
2021-10-24,October 24,Diplomat,October 24,,dgm_uap_dates_mds,68b4eca9c471f2ae62f5fdfd5f599a78,dgm_uap_dates_mds__68b4eca9c471f2ae62f5fdfd5f599a78
2021-10-25,October 25,Refinery,October 25,,dgm_uap_dates_mds,f6ae02db604be3d7add07e4828c70dee,dgm_uap_dates_mds__f6ae02db604be3d7add07e4828c70dee
2021-10-26,October 26,space,October 26,,dgm_uap_dates_mds,eda5db2f7b32c0b958f62eab578f9adc,dgm_uap_dates_mds__eda5db2f7b32c0b958f62eab578f9adc
2021-10-27,October 27,Wells,October 27,,dgm_uap_dates_mds,ea55f06aa918bf18826f7e20ad973d6c,dgm_uap_dates_mds__ea55f06aa918bf18826f7e20ad973d6c
2021-10-28,October 28,AAEntity,October 28,,dgm_uap_dates_mds,861876a288d1fa579bf4c2980cdeb23a,dgm_uap_dates_mds__861876a288d1fa579bf4c2980cdeb23a
2021-10-29,October 29,Refinery,October 29,,dgm_uap_dates_mds,43de1f894a7f6413d71a937ceba86c69,dgm_uap_dates_mds__43de1f894a7f6413d71a937ceba86c69
2021-10-30,October 30,Media,October 30,,dgm_uap_dates_mds,3d9e00294743a4d36886603ee11edbe2,dgm_uap_dates_mds__3d9e00294743a4d36886603ee11edbe2
2021-10-31,October 31,Media,October 31,,dgm_uap_dates_mds,0e783e8e856f11cc04e8a2b12d38bc3e,dgm_uap_dates_mds__0e783e8e856f11cc04e8a2b12d38bc3e
2021-11-01,November 1,space,November 1,,dgm_uap_dates_mds,537599aa2c7b42c4354fd2c910dc32f6,dgm_uap_dates_mds__537599aa2c7b42c4354fd2c910dc32f6
2021-11-02,November 2,Media,November 2,,dgm_uap_dates_mds,14d8e56f2cfb29226ec34f11de1072cb,dgm_uap_dates_mds__14d8e56f2cfb29226ec34f11de1072cb
2021-11-03,November 3,Legislator,November 3,,dgm_uap_dates_mds,2bd6e8f8cb98f5ca6d01bf1a151e88be,dgm_uap_dates_mds__2bd6e8f8cb98f5ca6d01bf1a151e88be
2021-11-04,November 4,AAEntity,November 4,,dgm_uap_dates_mds,8aaa4678906f35b0b4c47e182ab502e0,dgm_uap_dates_mds__8aaa4678906f35b0b4c47e182ab502e0
2021-11-05,November 5,Organization,November 5,,dgm_uap_dates_mds,92af42f8fd1689fbcbaa5c945310fb27,dgm_uap_dates_mds__92af42f8fd1689fbcbaa5c945310fb27
2021-11-06,November 6,Shipping,November 6,,dgm_uap_dates_mds,749623b63da48afe840711add1bec76e,dgm_uap_dates_mds__749623b63da48afe840711add1bec76e
2021-11-07,November 7,News,November 7,,dgm_uap_dates_mds,f669a5209b060bfb64b93adf421c6909,dgm_uap_dates_mds__f669a5209b060bfb64b93adf421c6909
2021-11-08,November 8,Diplomat,November 8,,dgm_uap_dates_mds,4facfd5b24b954a033e6fd899b9688be,dgm_uap_dates_mds__4facfd5b24b954a033e6fd899b9688be
2021-11-09,November 9,Shipping,November 9,,dgm_uap_dates_mds,116812449d8d1da481f2e959e1589136,dgm_uap_dates_mds__116812449d8d1da481f2e959e1589136
2021-11-10,November 10,ForeignMinister,November 10,,dgm_uap_dates_mds,95d4f90c40bad56021a4c0905d354c75,dgm_uap_dates_mds__95d4f90c40bad56021a4c0905d354c75
2021-11-11,November 11,Pipeline,November 11,,dgm_uap_dates_mds,7e6905956d98f3f215260a2da9ce6875,dgm_uap_dates_mds__7e6905956d98f3f215260a2da9ce6875
2021-11-12,November 12,Keyphrase,November 12,,dgm_uap_dates_mds,d295fbe46deb486526e2101dec82bef4,dgm_uap_dates_mds__d295fbe46deb486526e2101dec82bef4
2021-11-13,November 13,FTO,November 13,,dgm_uap_dates_mds,183c26de9016b17b2413755c01c94e4f,dgm_uap_dates_mds__183c26de9016b17b2413755c01c94e4f
