keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
01 september 2021,September 1,Diplomat,September 1,,dgm_uap_dates_twt,ed67317bd33a15707196ae59af28f8b7,dgm_uap_dates_twt__ed67317bd33a15707196ae59af28f8b7
02 september 2021,September 2,ForeignMinistry,September 2,,dgm_uap_dates_twt,0cd01225d83dfeee67e123dc695f5124,dgm_uap_dates_twt__0cd01225d83dfeee67e123dc695f5124
03 september 2021,September 3,Wells,September 3,,dgm_uap_dates_twt,f6de42fdbec3229413e0ae0437902b18,dgm_uap_dates_twt__f6de42fdbec3229413e0ae0437902b18
04 september 2021,September 4,Legislator,September 4,,dgm_uap_dates_twt,b27843f3544e106634230cf3ca9d6336,dgm_uap_dates_twt__b27843f3544e106634230cf3ca9d6336
05 september 2021,September 5,Consulates,September 5,,dgm_uap_dates_twt,ec071decda59a21a7669f338068edc8e,dgm_uap_dates_twt__ec071decda59a21a7669f338068edc8e
06 september 2021,September 6,FTO,September 6,,dgm_uap_dates_twt,78ab9c86795c058d9513cd507a7c29d8,dgm_uap_dates_twt__78ab9c86795c058d9513cd507a7c29d8
07 september 2021,September 7,Media,September 7,,dgm_uap_dates_twt,6ba9cb9a09be6711d47cf5e3093dee9e,dgm_uap_dates_twt__6ba9cb9a09be6711d47cf5e3093dee9e
08 september 2021,September 8,ForeignMinistry,September 8,,dgm_uap_dates_twt,8c7cf17312809d438a75e53f2abdd360,dgm_uap_dates_twt__8c7cf17312809d438a75e53f2abdd360
09 september 2021,September 9,Refinery,September 9,,dgm_uap_dates_twt,aabfaf9a95968eb02cd428d7954ae495,dgm_uap_dates_twt__aabfaf9a95968eb02cd428d7954ae495
10 september 2021,September 10,Person,September 10,,dgm_uap_dates_twt,1b9cffe0cfce1a7471e5847a272c28cc,dgm_uap_dates_twt__1b9cffe0cfce1a7471e5847a272c28cc
11 september 2021,September 11,Pipeline,September 11,,dgm_uap_dates_twt,7dcdc0f25ef4ba62b4221799391513c4,dgm_uap_dates_twt__7dcdc0f25ef4ba62b4221799391513c4
12 september 2021,September 12,ForeignMinister,September 12,,dgm_uap_dates_twt,1d16b5d551234625982a5f0420f38eef,dgm_uap_dates_twt__1d16b5d551234625982a5f0420f38eef
13 september 2021,September 13,Exec,September 13,,dgm_uap_dates_twt,6ed3f52d79e29bf2c80c75dbea6e9aa1,dgm_uap_dates_twt__6ed3f52d79e29bf2c80c75dbea6e9aa1
14 september 2021,September 14,Organization,September 14,,dgm_uap_dates_twt,9876cd2bb52ee9e73620826b54ac2f9f,dgm_uap_dates_twt__9876cd2bb52ee9e73620826b54ac2f9f
15 september 2021,September 15,News,September 15,,dgm_uap_dates_twt,826a92c18dded57a77e424aaadcb0291,dgm_uap_dates_twt__826a92c18dded57a77e424aaadcb0291
16 september 2021,September 16,ForeignMinister,September 16,,dgm_uap_dates_twt,609c3d5450db3d43aa43e0f6c8e31493,dgm_uap_dates_twt__609c3d5450db3d43aa43e0f6c8e31493
17 september 2021,September 17,Organization,September 17,,dgm_uap_dates_twt,87e071e3b4f4c773776a1c6c122f7730,dgm_uap_dates_twt__87e071e3b4f4c773776a1c6c122f7730
18 september 2021,September 18,Media,September 18,,dgm_uap_dates_twt,62cf0ef280303208a73361fedeb88659,dgm_uap_dates_twt__62cf0ef280303208a73361fedeb88659
19 september 2021,September 19,IndustryTerm,September 19,,dgm_uap_dates_twt,f678b7400294890fdbf9256bee525fbc,dgm_uap_dates_twt__f678b7400294890fdbf9256bee525fbc
20 september 2021,September 20,Legislator,September 20,,dgm_uap_dates_twt,a3cd69bdc0e5c41e3633671da9f313ee,dgm_uap_dates_twt__a3cd69bdc0e5c41e3633671da9f313ee
21 september 2021,September 21,Exec,September 21,,dgm_uap_dates_twt,5c2c382be80a81ea5d6defe270c4412a,dgm_uap_dates_twt__5c2c382be80a81ea5d6defe270c4412a
22 september 2021,September 22,Diplomat,September 22,,dgm_uap_dates_twt,46d74226bfc3a1640fc8b3b0d2c87db0,dgm_uap_dates_twt__46d74226bfc3a1640fc8b3b0d2c87db0
23 september 2021,September 23,News,September 23,,dgm_uap_dates_twt,fd12904ca0ea248b72a561b369549b37,dgm_uap_dates_twt__fd12904ca0ea248b72a561b369549b37
24 september 2021,September 24,Organization,September 24,,dgm_uap_dates_twt,bdb8c1a490b348a5a08da5d3d6ee509a,dgm_uap_dates_twt__bdb8c1a490b348a5a08da5d3d6ee509a
25 september 2021,September 25,IndustryTerm,September 25,,dgm_uap_dates_twt,3add53290c3ebfb50a17cbe46687646d,dgm_uap_dates_twt__3add53290c3ebfb50a17cbe46687646d
26 september 2021,September 26,Consulates,September 26,,dgm_uap_dates_twt,c78c8350b5086b808cb12e8cd720080a,dgm_uap_dates_twt__c78c8350b5086b808cb12e8cd720080a
27 september 2021,September 27,CompanyKeyword,September 27,,dgm_uap_dates_twt,0b4eb80b5e09aad2845914af44995d68,dgm_uap_dates_twt__0b4eb80b5e09aad2845914af44995d68
28 september 2021,September 28,FTO,September 28,,dgm_uap_dates_twt,69d77870c17638f8d22ecdca10494dac,dgm_uap_dates_twt__69d77870c17638f8d22ecdca10494dac
29 september 2021,September 29,Legislator,September 29,,dgm_uap_dates_twt,82e60971cc7130aa075505d39a541bff,dgm_uap_dates_twt__82e60971cc7130aa075505d39a541bff
30 september 2021,September 30,Legislator,September 30,,dgm_uap_dates_twt,70f7cf7a6589d7cc63db6d9f953b82e1,dgm_uap_dates_twt__70f7cf7a6589d7cc63db6d9f953b82e1
01 october 2021,October 1,Shipping,October 1,,dgm_uap_dates_twt,57bb3233cad00fa7c8cf947a10e980ec,dgm_uap_dates_twt__57bb3233cad00fa7c8cf947a10e980ec
02 october 2021,October 2,Diplomat,October 2,,dgm_uap_dates_twt,807400aaa7423b5acdce6ce19bac9a65,dgm_uap_dates_twt__807400aaa7423b5acdce6ce19bac9a65
03 october 2021,October 3,IndustryTerm,October 3,,dgm_uap_dates_twt,05df42399dbfc65e120cd3b68f7a675c,dgm_uap_dates_twt__05df42399dbfc65e120cd3b68f7a675c
04 october 2021,October 4,News,October 4,,dgm_uap_dates_twt,b2e3367fdceb6aab77540eb123551b92,dgm_uap_dates_twt__b2e3367fdceb6aab77540eb123551b92
05 october 2021,October 5,Organization,October 5,,dgm_uap_dates_twt,70c3873634517a217c2baac4a628c395,dgm_uap_dates_twt__70c3873634517a217c2baac4a628c395
06 october 2021,October 6,ForeignMinistry,October 6,,dgm_uap_dates_twt,4b03fde4f20086a1efcca93b3006b74c,dgm_uap_dates_twt__4b03fde4f20086a1efcca93b3006b74c
07 october 2021,October 7,Media,October 7,,dgm_uap_dates_twt,d868dde1ce44f844e109610b7426e2e1,dgm_uap_dates_twt__d868dde1ce44f844e109610b7426e2e1
08 october 2021,October 8,Organization,October 8,,dgm_uap_dates_twt,877a1d915c2c8cec7cd19d111ec2425e,dgm_uap_dates_twt__877a1d915c2c8cec7cd19d111ec2425e
09 october 2021,October 9,CompanyKeyword,October 9,,dgm_uap_dates_twt,e018a832ad9d6cb238da2ebcd61549b6,dgm_uap_dates_twt__e018a832ad9d6cb238da2ebcd61549b6
10 october 2021,October 10,Legislator,October 10,,dgm_uap_dates_twt,4018377ae59e4a863a4dec8b8d4aca48,dgm_uap_dates_twt__4018377ae59e4a863a4dec8b8d4aca48
11 october 2021,October 11,Exec,October 11,,dgm_uap_dates_twt,6ea7ae862cbb456fde87b20cf9ed5bba,dgm_uap_dates_twt__6ea7ae862cbb456fde87b20cf9ed5bba
12 october 2021,October 12,Wells,October 12,,dgm_uap_dates_twt,fb206663bbdb213054ea8306ee2474f0,dgm_uap_dates_twt__fb206663bbdb213054ea8306ee2474f0
13 october 2021,October 13,Refinery,October 13,,dgm_uap_dates_twt,77c52dd2523fdc16db1a15d9443da151,dgm_uap_dates_twt__77c52dd2523fdc16db1a15d9443da151
14 october 2021,October 14,IndustryTerm,October 14,,dgm_uap_dates_twt,8c8a672e2cb2c9631700709d0bd41c58,dgm_uap_dates_twt__8c8a672e2cb2c9631700709d0bd41c58
15 october 2021,October 15,Legislator,October 15,,dgm_uap_dates_twt,1326476899751cc48fa057a772817637,dgm_uap_dates_twt__1326476899751cc48fa057a772817637
16 october 2021,October 16,Refinery,October 16,,dgm_uap_dates_twt,00ee795a1100748ab49818acb048babe,dgm_uap_dates_twt__00ee795a1100748ab49818acb048babe
17 october 2021,October 17,Pipeline,October 17,,dgm_uap_dates_twt,c585848e829de01087cc318e8620208a,dgm_uap_dates_twt__c585848e829de01087cc318e8620208a
18 october 2021,October 18,Pipeline,October 18,,dgm_uap_dates_twt,de236e6e78b0ebfc6620dd181c0ea03d,dgm_uap_dates_twt__de236e6e78b0ebfc6620dd181c0ea03d
19 october 2021,October 19,Media,October 19,,dgm_uap_dates_twt,0bbb43dc2904d1acd6c91d679be3dada,dgm_uap_dates_twt__0bbb43dc2904d1acd6c91d679be3dada
20 october 2021,October 20,Legislator,October 20,,dgm_uap_dates_twt,356630360952ae84138b720fd1d5e3bf,dgm_uap_dates_twt__356630360952ae84138b720fd1d5e3bf
21 october 2021,October 21,CompanyKeyword,October 21,,dgm_uap_dates_twt,74988df724930278763d61af7887cf9c,dgm_uap_dates_twt__74988df724930278763d61af7887cf9c
22 october 2021,October 22,Exec,October 22,,dgm_uap_dates_twt,c053dfcca389be28a44287f1ca22d803,dgm_uap_dates_twt__c053dfcca389be28a44287f1ca22d803
23 october 2021,October 23,Legislator,October 23,,dgm_uap_dates_twt,fd91b7c14202e58aace6be1910bd1029,dgm_uap_dates_twt__fd91b7c14202e58aace6be1910bd1029
24 october 2021,October 24,ForeignMinistry,October 24,,dgm_uap_dates_twt,68b4eca9c471f2ae62f5fdfd5f599a78,dgm_uap_dates_twt__68b4eca9c471f2ae62f5fdfd5f599a78
25 october 2021,October 25,FTO,October 25,,dgm_uap_dates_twt,f6ae02db604be3d7add07e4828c70dee,dgm_uap_dates_twt__f6ae02db604be3d7add07e4828c70dee
26 october 2021,October 26,LegislativeCommittee,October 26,,dgm_uap_dates_twt,eda5db2f7b32c0b958f62eab578f9adc,dgm_uap_dates_twt__eda5db2f7b32c0b958f62eab578f9adc
27 october 2021,October 27,News,October 27,,dgm_uap_dates_twt,ea55f06aa918bf18826f7e20ad973d6c,dgm_uap_dates_twt__ea55f06aa918bf18826f7e20ad973d6c
28 october 2021,October 28,IndustryTerm,October 28,,dgm_uap_dates_twt,861876a288d1fa579bf4c2980cdeb23a,dgm_uap_dates_twt__861876a288d1fa579bf4c2980cdeb23a
29 october 2021,October 29,ForeignMinister,October 29,,dgm_uap_dates_twt,43de1f894a7f6413d71a937ceba86c69,dgm_uap_dates_twt__43de1f894a7f6413d71a937ceba86c69
30 october 2021,October 30,Person,October 30,,dgm_uap_dates_twt,3d9e00294743a4d36886603ee11edbe2,dgm_uap_dates_twt__3d9e00294743a4d36886603ee11edbe2
31 october 2021,October 31,Exec,October 31,,dgm_uap_dates_twt,0e783e8e856f11cc04e8a2b12d38bc3e,dgm_uap_dates_twt__0e783e8e856f11cc04e8a2b12d38bc3e
