handle,caption_name,location_lower,location,type,exclude_group,A-list?,VC Press?,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
getrichslowly,Get Rich Slowly,"portland, or","Portland, OR",Finance Press,,,,FinancePress,Get Rich Slowly,,dgm_vc_startup_press_mentioner,8fc6b5004951b480e5f0506eb25588b5,dgm_vc_startup_press_mentioner__8fc6b5004951b480e5f0506eb25588b5
money,Money blog,new york,New York,Finance Press,,,,FinancePress,Money blog,,dgm_vc_startup_press_mentioner,bc4a2c9c3994b8e458d5afd2547b9467,dgm_vc_startup_press_mentioner__bc4a2c9c3994b8e458d5afd2547b9467
nerdwallet,NerdWallet,"san francisco, ca","San Francisco, CA",Finance Press,,,,FinancePress,NerdWallet,,dgm_vc_startup_press_mentioner,c81583ec25a39143e5a790b7f975ba26,dgm_vc_startup_press_mentioner__c81583ec25a39143e5a790b7f975ba26
ibtimes,International Business Times,new york,New York,Finance Press,,,,FinancePress,International Business Times,,dgm_vc_startup_press_mentioner,9c876cf65f22646d229f9d92e166d05c,dgm_vc_startup_press_mentioner__9c876cf65f22646d229f9d92e166d05c
seekingalpha,Seeking Alpha,ra'anana,Ra'anana,Finance Press,,,,FinancePress,Seeking Alpha,,dgm_vc_startup_press_mentioner,18bb2b1e7a6aff8bc7387b861b10d3c4,dgm_vc_startup_press_mentioner__18bb2b1e7a6aff8bc7387b861b10d3c4
moneymorning,Money Morning,baltimore,Baltimore,Finance Press,,,,FinancePress,Money Morning,,dgm_vc_startup_press_mentioner,5bea8eb65310300f01c7a4cd4a0f3129,dgm_vc_startup_press_mentioner__5bea8eb65310300f01c7a4cd4a0f3129
investingcom,Investing.com,doral,Doral,Finance Press,,,,FinancePress,Investing.com,,dgm_vc_startup_press_mentioner,faece825a78e078c679f9f3f09668ed5,dgm_vc_startup_press_mentioner__faece825a78e078c679f9f3f09668ed5
musicbizworld,Music Business Worldwide,london,London,Finance Press,,,,FinancePress,Music Business Worldwide,,dgm_vc_startup_press_mentioner,1f972940c2a007e805d4120271459acd,dgm_vc_startup_press_mentioner__1f972940c2a007e805d4120271459acd
finxzim,Financial Express,harare,Harare,Finance Press,,,,FinancePress,Financial Express,,dgm_vc_startup_press_mentioner,c95c9b2a4ff43aecccec3ecb17e51ed1,dgm_vc_startup_press_mentioner__c95c9b2a4ff43aecccec3ecb17e51ed1
globesenglish,Globes English,tel aviv,Tel Aviv,Finance Press,,,,FinancePress,Globes English,,dgm_vc_startup_press_mentioner,4f5f0a306c81b9f03cb81a9fa42a9f81,dgm_vc_startup_press_mentioner__4f5f0a306c81b9f03cb81a9fa42a9f81
financialpost,Financial Post,ottawa,Ottawa,Finance Press,,,,FinancePress,Financial Post,,dgm_vc_startup_press_mentioner,0b77adcbc9360925ac4921a30855b367,dgm_vc_startup_press_mentioner__0b77adcbc9360925ac4921a30855b367
moneyweb,Moneyweb,johannesburg,Johannesburg,Finance Press,,,,FinancePress,Moneyweb,,dgm_vc_startup_press_mentioner,a397f84d0723a6ef2556dc1bc6a66141,dgm_vc_startup_press_mentioner__a397f84d0723a6ef2556dc1bc6a66141
bizmattersmag,Arabian Business,london,London,Finance Press,,,,FinancePress,Arabian Business,,dgm_vc_startup_press_mentioner,6349d2157f97e2ab0692ea0931e48d0a,dgm_vc_startup_press_mentioner__6349d2157f97e2ab0692ea0931e48d0a
insightssuccess,Insights Success,"dublin, oh","Dublin, OH",Finance Press,,,,FinancePress,Insights Success,,dgm_vc_startup_press_mentioner,ff35d67795410570c6758c965860e59c,dgm_vc_startup_press_mentioner__ff35d67795410570c6758c965860e59c
modestmoney,Modest Money,"portland, or","Portland, OR",Finance Press,,,,FinancePress,Modest Money,,dgm_vc_startup_press_mentioner,8817c6346b326576d083e37f2970f8f3,dgm_vc_startup_press_mentioner__8817c6346b326576d083e37f2970f8f3
cdnbiz,Canadian Business,toronto,Toronto,Finance Press,,,,FinancePress,Canadian Business,,dgm_vc_startup_press_mentioner,ede170e9d078f56fb3d95904cd01089e,dgm_vc_startup_press_mentioner__ede170e9d078f56fb3d95904cd01089e
financialnews,Financial News,london,London,Finance Press,,,,FinancePress,Financial News,,dgm_vc_startup_press_mentioner,fe560d3456ec3b0daa5f0cdf57e1b993,dgm_vc_startup_press_mentioner__fe560d3456ec3b0daa5f0cdf57e1b993
thenextweb,The Next Web,amsterdam,Amsterdam,Tech Press,,TRUE,,TechPress,The Next Web,,dgm_vc_startup_press_mentioner,e88b30cb02acacfc849da8a5fda56652,dgm_vc_startup_press_mentioner__e88b30cb02acacfc849da8a5fda56652
engadget,Engadget,"san francisco, ca","San Francisco, CA",Tech Press,,TRUE,,TechPress,Engadget,,dgm_vc_startup_press_mentioner,b16125d48b4e7432c1d4b241a22970a7,dgm_vc_startup_press_mentioner__b16125d48b4e7432c1d4b241a22970a7
9to5mac,9to5Mac,cupertino,Cupertino,Tech Press,,TRUE,,TechPress,9to5Mac,,dgm_vc_startup_press_mentioner,1bcd56f27312657645c1fa7ede4adee5,dgm_vc_startup_press_mentioner__1bcd56f27312657645c1fa7ede4adee5
techinasia,Tech in Asia,singapore,Singapore,Tech Press,,FALSE,,TechPress,Tech in Asia,,dgm_vc_startup_press_mentioner,911270b26e614d03b4cc2eca09a721fe,dgm_vc_startup_press_mentioner__911270b26e614d03b4cc2eca09a721fe
gigaom,Gigaom,austin,Austin,Tech Press,,TRUE,,TechPress,Gigaom,,dgm_vc_startup_press_mentioner,17e41793950d5d768613f5f67bfb6a10,dgm_vc_startup_press_mentioner__17e41793950d5d768613f5f67bfb6a10
thehackernews,The Hacker News,"san francisco, ca","San Francisco, CA",Tech Press,,FALSE,,TechPress,The Hacker News,,dgm_vc_startup_press_mentioner,f68d17c6684d5da258186a063f83c987,dgm_vc_startup_press_mentioner__f68d17c6684d5da258186a063f83c987
cdixon,Internet etrepreneur Chris Dixon,ca,CA,Tech Press,,FALSE,,TechPress,Internet etrepreneur Chris Dixon,,dgm_vc_startup_press_mentioner,309c02f350989539ec14ea048c60a1c9,dgm_vc_startup_press_mentioner__309c02f350989539ec14ea048c60a1c9
https://a16z.com/author/ben-horowitz/,Ben's Blog,,,Tech Press,,FALSE,,TechPress,Ben's Blog,,dgm_vc_startup_press_mentioner,6e7a7f824058544102f197efe8e9a182,dgm_vc_startup_press_mentioner__6e7a7f824058544102f197efe8e9a182
msuster,Both Sides of the Table,"los angeles, ca","Los Angeles, CA",Tech Press,,FALSE,,TechPress,Both Sides of the Table,,dgm_vc_startup_press_mentioner,f26f12f361468273569000dffe9eef60,dgm_vc_startup_press_mentioner__f26f12f361468273569000dffe9eef60
techmeme,Techmeme,,,Tech Press,,TRUE,,TechPress,Techmeme,,dgm_vc_startup_press_mentioner,cc96d787d765a5e1ec699d15f1154855,dgm_vc_startup_press_mentioner__cc96d787d765a5e1ec699d15f1154855
androidauth,Android Authority,,,Tech Press,,TRUE,,TechPress,Android Authority,,dgm_vc_startup_press_mentioner,e70958ba0661ee00165f95867dba750f,dgm_vc_startup_press_mentioner__e70958ba0661ee00165f95867dba750f
techradar,TechRadar,somerset,Somerset,Tech Press,,TRUE,,TechPress,TechRadar,,dgm_vc_startup_press_mentioner,edd2a0fdb3533b408c12cd83f086ef64,dgm_vc_startup_press_mentioner__edd2a0fdb3533b408c12cd83f086ef64
techrepublic,TechRepublic,"louisville, ky","Louisville, KY",Tech Press,,FALSE,,TechPress,TechRepublic,,dgm_vc_startup_press_mentioner,fc1798eaea9046f2fa021f378d5a3434,dgm_vc_startup_press_mentioner__fc1798eaea9046f2fa021f378d5a3434
computerworldau,Digital publication ComputerWorld Australia,,,Tech Press,,FALSE,,TechPress,Digital publication ComputerWorld Australia,,dgm_vc_startup_press_mentioner,f44c6fecdc98a1e389dd22f995a71112,dgm_vc_startup_press_mentioner__f44c6fecdc98a1e389dd22f995a71112
cioonline,CIO magazine,"boston, ma","Boston, MA",Tech Press,,FALSE,,TechPress,CIO magazine,,dgm_vc_startup_press_mentioner,8d40722a4da9fbab3e9862e92a24c8b3,dgm_vc_startup_press_mentioner__8d40722a4da9fbab3e9862e92a24c8b3
nocamels,NoCamels,,,Tech Press,,FALSE,,TechPress,NoCamels,,dgm_vc_startup_press_mentioner,4ff3167f999b9d3092cc17c86b0095fd,dgm_vc_startup_press_mentioner__4ff3167f999b9d3092cc17c86b0095fd
developer_tech,Developer Tech News,london,London,Tech Press,,FALSE,,TechPress,Developer Tech News,,dgm_vc_startup_press_mentioner,f0869808650cb4e40a03363549cd6a1f,dgm_vc_startup_press_mentioner__f0869808650cb4e40a03363549cd6a1f
technodechina,TechNode,"bejing, china","Bejing, China",Tech Press,,FALSE,,TechPress,TechNode,,dgm_vc_startup_press_mentioner,1f3c8a52e51413045c6dfe4b2874e797,dgm_vc_startup_press_mentioner__1f3c8a52e51413045c6dfe4b2874e797
technewsworld,TechNewsWorld,"los angeles, ca","Los Angeles, CA",Tech Press,,FALSE,,TechPress,TechNewsWorld,,dgm_vc_startup_press_mentioner,2e5bace7d459396b199319f08d51a5f7,dgm_vc_startup_press_mentioner__2e5bace7d459396b199319f08d51a5f7
seekingalpha,Seeking Alpha,"ra'anana
, israel","Ra'anana
, Israel",Finance Press,,TRUE,,FinancePress,Seeking Alpha,,dgm_vc_startup_press_mentioner,18bb2b1e7a6aff8bc7387b861b10d3c4,dgm_vc_startup_press_mentioner__18bb2b1e7a6aff8bc7387b861b10d3c4
siliconrepublic,Silicon Republic,"dublin, ireland","Dublin, Ireland",Tech Press,,TRUE,,TechPress,Silicon Republic,,dgm_vc_startup_press_mentioner,61ce6b56a24d683c27fdeb1c5146e641,dgm_vc_startup_press_mentioner__61ce6b56a24d683c27fdeb1c5146e641
techcrunch,TechCrunch,united states,United States,Tech Press,,TRUE,,TechPress,TechCrunch,,dgm_vc_startup_press_mentioner,45e219f82e92a2a76f7665cd19d34e1e,dgm_vc_startup_press_mentioner__45e219f82e92a2a76f7665cd19d34e1e
theinformation,The Information,"san francisco, ca","San Francisco, CA",Tech Press,,,,TechPress,The Information,,dgm_vc_startup_press_mentioner,6ad880a8a6f992004a93f5bf4fc321eb,dgm_vc_startup_press_mentioner__6ad880a8a6f992004a93f5bf4fc321eb
ft,Financial Times,"london, uk","London, UK",Finance Press,,,,FinancePress,Financial Times,,dgm_vc_startup_press_mentioner,fd0b0002f128d5a018fceb42b4cc9bb5,dgm_vc_startup_press_mentioner__fd0b0002f128d5a018fceb42b4cc9bb5
