handle,caption_name,location_lower,location,type,groups,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
alfred_lin,investor Alfred Lin,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Alfred Lin,,dgm_vcstartup_mentioner,1595a915b382a82dc57bd6060513c6b2,dgm_vcstartup_mentioner__1595a915b382a82dc57bd6060513c6b2
hanstung,investor Hans Tung,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Hans Tung,,dgm_vcstartup_mentioner,c22bac5046f366538900be06fa7616a9,dgm_vcstartup_mentioner__c22bac5046f366538900be06fa7616a9
laserlikemike,investor Mike Speiser,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Mike Speiser,,dgm_vcstartup_mentioner,27e5d17901163f1e5bf8fc6c0db17a57,dgm_vcstartup_mentioner__27e5d17901163f1e5bf8fc6c0db17a57
satishd,investor Satish Dharmaraj,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Satish Dharmaraj,,dgm_vcstartup_mentioner,1352bd53911defa13addebc812869447,dgm_vcstartup_mentioner__1352bd53911defa13addebc812869447
cdixon,investor Chris Dixon,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Chris Dixon,,dgm_vcstartup_mentioner,c4a85cae32ce92a3852b6749b1dfea33,dgm_vcstartup_mentioner__c4a85cae32ce92a3852b6749b1dfea33
roelofbotha,investor Roelof Botha,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Roelof Botha,,dgm_vcstartup_mentioner,1c5e02b2f69faa98cc00e637acbc5fc2,dgm_vcstartup_mentioner__1c5e02b2f69faa98cc00e637acbc5fc2
leefixel,investor Lee Fixel,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Lee Fixel,,dgm_vcstartup_mentioner,623c3b3d7e4611ba20e46aa996af3608,dgm_vcstartup_mentioner__623c3b3d7e4611ba20e46aa996af3608
navinchaddha,investor Navin Chaddha,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Navin Chaddha,,dgm_vcstartup_mentioner,779c1255839caecfcf1befd6fee00e73,dgm_vcstartup_mentioner__779c1255839caecfcf1befd6fee00e73
jeff_jordan,investor Jeff Jordan,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Jeff Jordan,,dgm_vcstartup_mentioner,f4d2b4bb55315ec51c9574f1d2d42164,dgm_vcstartup_mentioner__f4d2b4bb55315ec51c9574f1d2d42164
janatindex,investor Jan Hammer,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Jan Hammer,,dgm_vcstartup_mentioner,ef08b5a4561b7afa5174a99fa7f37c14,dgm_vcstartup_mentioner__ef08b5a4561b7afa5174a99fa7f37c14
pejmannozad,investor Pejman Nozad,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Pejman Nozad,,dgm_vcstartup_mentioner,735c1ce863be1de0ed691d58f308d050,dgm_vcstartup_mentioner__735c1ce863be1de0ed691d58f308d050
peterthiel,investor Peter Thiel,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Peter Thiel,,dgm_vcstartup_mentioner,68398b943e8f178373633264731051bb,dgm_vcstartup_mentioner__68398b943e8f178373633264731051bb
jtlonsdale,investor Joe Lonsdale,austin,Austin,VC Investor,,angel investor;vc investor;people,VcInvestor,investor Joe Lonsdale,,dgm_vcstartup_mentioner,5aad28b7ea4ad1d70a27fc24199f5964,dgm_vcstartup_mentioner__5aad28b7ea4ad1d70a27fc24199f5964
jeremysliew,investor Jeremy Liew,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Jeremy Liew,,dgm_vcstartup_mentioner,bebd5675e9738b497efed46d9f2849d9,dgm_vcstartup_mentioner__bebd5675e9738b497efed46d9f2849d9
bgurley,investor Bill Gurley,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Bill Gurley,,dgm_vcstartup_mentioner,8dca1663d065f5b14c34cc283815b532,dgm_vcstartup_mentioner__8dca1663d065f5b14c34cc283815b532
reidhoffman,investor Reid Hoffman,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Reid Hoffman,,dgm_vcstartup_mentioner,bfd9a069e8cc5a8bf28f551d4841a59f,dgm_vcstartup_mentioner__bfd9a069e8cc5a8bf28f551d4841a59f
ssubo,investor Santi Subotovksy,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Santi Subotovksy,,dgm_vcstartup_mentioner,2d3b295e21015e0b97ee42db5307add6,dgm_vcstartup_mentioner__2d3b295e21015e0b97ee42db5307add6
briansin,investor Brian Singerman,"san francisco, ca","San Francisco, CA",VC Investor,,angel investor;vc investor;people,VcInvestor,investor Brian Singerman,,dgm_vcstartup_mentioner,f0bbbc1d246cff4e8fd0837c46fb70b2,dgm_vcstartup_mentioner__f0bbbc1d246cff4e8fd0837c46fb70b2
