keyword,caption_name,topic_id,entity_type,threshold,groups,Paired term,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
series a,Series A funding round,188178;188310,funding Round,general.alert3,,,FundingRound,Series A funding round,,dgm_vcstartup_terms,70d057863a81520396591038848e2a4f,dgm_vcstartup_terms__70d057863a81520396591038848e2a4f
series aa,Series AA funding round,188178;188311,funding Round,general.alert3,,,FundingRound,Series AA funding round,,dgm_vcstartup_terms,57cdf8a616b908a13f7b1d2b4b73e1a7,dgm_vcstartup_terms__57cdf8a616b908a13f7b1d2b4b73e1a7
series b,Series B funding round,188178;188312,funding Round,general.alert3,,,FundingRound,Series B funding round,,dgm_vcstartup_terms,98cd20cda5b88ebfa1d688f50c5e1cbb,dgm_vcstartup_terms__98cd20cda5b88ebfa1d688f50c5e1cbb
series bb,Series BB funding round,188178;188313,funding Round,general.alert3,,,FundingRound,Series BB funding round,,dgm_vcstartup_terms,5c484808a42a770b5a08edefdddcb4bf,dgm_vcstartup_terms__5c484808a42a770b5a08edefdddcb4bf
series c,Series C funding round,188178;188314,funding Round,general.alert3,,,FundingRound,Series C funding round,,dgm_vcstartup_terms,c761428690069c0657f36724c745cdb3,dgm_vcstartup_terms__c761428690069c0657f36724c745cdb3
series cc,Series CC funding round,188178;188315,funding Round,general.alert3,,,FundingRound,Series CC funding round,,dgm_vcstartup_terms,50596931d65e99b0afa27f430c31e955,dgm_vcstartup_terms__50596931d65e99b0afa27f430c31e955
mezzanine finance round,mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,a211881c52c6daa43bf8bc3504247b62,dgm_vcstartup_terms__a211881c52c6daa43bf8bc3504247b62
(mezzanine finance round; venture),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,40287df5831defbea9b1819d8a143201,dgm_vcstartup_terms__40287df5831defbea9b1819d8a143201
(mezzanine finance round; startup),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,f362a628144dc95195af0fb8f2193fd4,dgm_vcstartup_terms__f362a628144dc95195af0fb8f2193fd4
(mezzanine finance round; vc),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,36055bd6a03ded60fb3408263c93631e,dgm_vcstartup_terms__36055bd6a03ded60fb3408263c93631e
(mezzanine finance round; technology),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,11d0689caa160b1779529dd1ffdc6a27,dgm_vcstartup_terms__11d0689caa160b1779529dd1ffdc6a27
bridge loans,bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,28cdc90b68a5382c3bea176f0d848c6b,dgm_vcstartup_terms__28cdc90b68a5382c3bea176f0d848c6b
(bridge loans; venture),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,a0c2fe04ff0c3c616286bb4dafc6135a,dgm_vcstartup_terms__a0c2fe04ff0c3c616286bb4dafc6135a
(bridge loans; startup),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,e36aaf6c6d60626181cc206d2c018542,dgm_vcstartup_terms__e36aaf6c6d60626181cc206d2c018542
(bridge loans; vc),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,543551113bdeb79dd95d5e8d28e184c3,dgm_vcstartup_terms__543551113bdeb79dd95d5e8d28e184c3
(bridge loans; technology),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,f5c13018ab6478fdf8728a36b558840e,dgm_vcstartup_terms__f5c13018ab6478fdf8728a36b558840e
series seed,series seed funding round,188178;188318,funding Round,general.alert3,,,FundingRound,series seed funding round,,dgm_vcstartup_terms,c200f1a0aec761467ffb0b8dadc3d9c1,dgm_vcstartup_terms__c200f1a0aec761467ffb0b8dadc3d9c1
venture round,venture round,188178;188319,funding Round,general.alert3,,,FundingRound,venture round,,dgm_vcstartup_terms,05a222a706eef1ab5f1731e4579c4b8a,dgm_vcstartup_terms__05a222a706eef1ab5f1731e4579c4b8a
signed term sheet,signed term sheet,188178;188320,funding Round,general.alert3,,,FundingRound,signed term sheet,,dgm_vcstartup_terms,528e4ba445485be6471e07e3003f1c14,dgm_vcstartup_terms__528e4ba445485be6471e07e3003f1c14
posivite covenants,posivite covenants,188178;188321,funding Round,general.alert3,,,FundingRound,posivite covenants,,dgm_vcstartup_terms,5ae711fb31e30790d8db702a0d0d013b,dgm_vcstartup_terms__5ae711fb31e30790d8db702a0d0d013b
piggyback investors,piggyback investors,188178;188322,funding Round,general.alert3,,,FundingRound,piggyback investors,,dgm_vcstartup_terms,9c5aada1514fe50bc5e7442dea1833a2,dgm_vcstartup_terms__9c5aada1514fe50bc5e7442dea1833a2
(robotics; venture),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,1be9174769a58e77f3f7c767f32360b7,dgm_vcstartup_terms__1be9174769a58e77f3f7c767f32360b7
(robotics; startup),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,4f1c8625607703b983c21bf6cf74e735,dgm_vcstartup_terms__4f1c8625607703b983c21bf6cf74e735
(robotics; vc),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,861e5dd6cf62a1b67bc0a79dff9bda7b,dgm_vcstartup_terms__861e5dd6cf62a1b67bc0a79dff9bda7b
(robotics; technology),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,5bbd92c84075bb3dacec2741029db841,dgm_vcstartup_terms__5bbd92c84075bb3dacec2741029db841
(funding; venture),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,a75fb04d49076378a1c49a6916eeafaf,dgm_vcstartup_terms__a75fb04d49076378a1c49a6916eeafaf
(funding; startup),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,4ce87d82cab7a5c30d28c3fdc250bc2a,dgm_vcstartup_terms__4ce87d82cab7a5c30d28c3fdc250bc2a
(funding; vc),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,99f865af0b2f1071e27564b0340b32b0,dgm_vcstartup_terms__99f865af0b2f1071e27564b0340b32b0
(funding; technology),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,bcf03e8ffea0a14b122dfeefcea37899,dgm_vcstartup_terms__bcf03e8ffea0a14b122dfeefcea37899
(seed round; venture),funding,188178;188324,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,51f2871703718d35a42b549f44fe4f83,dgm_vcstartup_terms__51f2871703718d35a42b549f44fe4f83
(seed round; startup),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,35e720588e2352573e1dd689f143502a,dgm_vcstartup_terms__35e720588e2352573e1dd689f143502a
(seed round; vc),funding,188178;188326,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,dbe71d0186b97544cf745b4d69cedcff,dgm_vcstartup_terms__dbe71d0186b97544cf745b4d69cedcff
(seed round; technology),funding,188178;188327,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,4712d7b2ccca50bdb28404f457ca197f,dgm_vcstartup_terms__4712d7b2ccca50bdb28404f457ca197f
(seed round; tech),funding,188178;188328,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,4e5fd47dddbff7394a744c564febbb95,dgm_vcstartup_terms__4e5fd47dddbff7394a744c564febbb95
(seed round; investment),funding,188178;188328,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,c1bba9d819de9b31e793f1da77452e86,dgm_vcstartup_terms__c1bba9d819de9b31e793f1da77452e86
(platform; venture),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,b16189990107ec33fff14ca8b3d77828,dgm_vcstartup_terms__b16189990107ec33fff14ca8b3d77828
(platform; startup),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,4f866e8fd5fe3ddad0d18841f6a9a6ad,dgm_vcstartup_terms__4f866e8fd5fe3ddad0d18841f6a9a6ad
(platform; vc),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,7f52c73659d3cb6a0be9224817d04b59,dgm_vcstartup_terms__7f52c73659d3cb6a0be9224817d04b59
(platform; technology),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,f8aeb2ec1007f479c7d10ca692b7d299,dgm_vcstartup_terms__f8aeb2ec1007f479c7d10ca692b7d299
(services; venture),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,0a44237973daf68b69bbc80d0e5d94a8,dgm_vcstartup_terms__0a44237973daf68b69bbc80d0e5d94a8
(services; startup),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,faa4a72f6a80997fff713156ecc19a28,dgm_vcstartup_terms__faa4a72f6a80997fff713156ecc19a28
(services; vc),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,14523816787d7d7f1ee9b871944b1146,dgm_vcstartup_terms__14523816787d7d7f1ee9b871944b1146
(services; technology),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,c9f4a87f4bd5a3c911d98ed6e4cdbc07,dgm_vcstartup_terms__c9f4a87f4bd5a3c911d98ed6e4cdbc07
saas,SaaS,188233;188203,Startups,general.alert3,,,Startups,SaaS,,dgm_vcstartup_terms,fc19d3f41f99560688daec7b7cbdde7e,dgm_vcstartup_terms__fc19d3f41f99560688daec7b7cbdde7e
(roadmap; venture),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,ba600cd2fbda1d1adf9ffedf46acc7aa,dgm_vcstartup_terms__ba600cd2fbda1d1adf9ffedf46acc7aa
(roadmap; startup),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,0b8e1a2cb4046570323f945e91dd4555,dgm_vcstartup_terms__0b8e1a2cb4046570323f945e91dd4555
(roadmap; vc),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,a423525fe4bcbdac180e010a96da02f6,dgm_vcstartup_terms__a423525fe4bcbdac180e010a96da02f6
(roadmap; technology),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,8b64f7e0091f4a15e4e15d325ae15ab5,dgm_vcstartup_terms__8b64f7e0091f4a15e4e15d325ae15ab5
exit strategy,exit strategy,188178;188327,funding Round,general.alert3,,(venture; vc; startup),FundingRound,exit strategy,,dgm_vcstartup_terms,05f0149e1dc4209b04c63f9051c39f3e,dgm_vcstartup_terms__05f0149e1dc4209b04c63f9051c39f3e
(tranches; venture),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,e7434dfd12d22b445944818b90386698,dgm_vcstartup_terms__e7434dfd12d22b445944818b90386698
(tranches; startup),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,c4caf9bc2a3312bb557b5bac3e06ff3c,dgm_vcstartup_terms__c4caf9bc2a3312bb557b5bac3e06ff3c
(tranches; vc),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,ccb31e1ef48af696d51013a09249d474,dgm_vcstartup_terms__ccb31e1ef48af696d51013a09249d474
(tranches; technology),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,e2059ce04606a410520c7abb6d7862ad,dgm_vcstartup_terms__e2059ce04606a410520c7abb6d7862ad
(valuation; venture),valuation,188178;188330,funding Round,general.alert3,,(venture; vc; startup),FundingRound,valuation,,dgm_vcstartup_terms,08611248e3cb3679f36f50699d728b93,dgm_vcstartup_terms__08611248e3cb3679f36f50699d728b93
(valuation; startup),valuation,188178;188330,funding Round,general.alert3,,(venture; vc; startup),FundingRound,valuation,,dgm_vcstartup_terms,dec5c0901c5f796c53e19505308f693d,dgm_vcstartup_terms__dec5c0901c5f796c53e19505308f693d
