permalink,caption_name,chinatagging_location,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
3694928793,Lu'an Water Affairs Bureau,luananhui,"Lu’an, Anhui, China",DiplomaticFacilities,Lu'an Water Affairs Bureau,,dgm_watersupplysources,f6bff60d6aac8e25bf9c457735910612,dgm_watersupplysources__f6bff60d6aac8e25bf9c457735910612
1584555093,Shizuishan Water Affairs Bureau,shizuishanningxia,"Shizuishan, Ningxia, China",LegislativeCommittee,Shizuishan Water Affairs Bureau,,dgm_watersupplysources,5c0ce78e14f8e6bd17c6ba4f2dd75b96,dgm_watersupplysources__5c0ce78e14f8e6bd17c6ba4f2dd75b96
1660466595,Changzhou Net,changzhoujiangsu,"Changzhou, Jiangsu, China",IndustryTerm,Changzhou Net,,dgm_watersupplysources,8a8afdd6e166893abe446894ea5ffddb,dgm_watersupplysources__8a8afdd6e166893abe446894ea5ffddb
2132705621,Shanghai Zhihui Water Network,shanghaishanghai,"Shanghai, China",Pipeline,Shanghai Zhihui Water Network,,dgm_watersupplysources,6a2232741758ff693433c05e66145496,dgm_watersupplysources__6a2232741758ff693433c05e66145496
2165697000,Nanhai Water Affairs Bureau,nanhaifoshan,"Nanhai district in Foshan, Guangdong, China",ForeignMinistry,Nanhai Water Affairs Bureau,,dgm_watersupplysources,e9fb6db5775d4238b8327a728ce4824a,dgm_watersupplysources__e9fb6db5775d4238b8327a728ce4824a
234299833,Qiannan Buyei and Miao Autonomous Prefecture Water Affairs Bureau,qiannanguizhou,"Qiannan Buyei and Miao Autonomous Prefecture in Guizhou, China",Organization,Qiannan Buyei and Miao Autonomous Prefecture Water Affairs Bureau,,dgm_watersupplysources,6753a7045801c9e2f3728911322d9da7,dgm_watersupplysources__6753a7045801c9e2f3728911322d9da7
2598893763,Urumqi Water Affairs Bureau,urumqiurumqi,"Urumqi county in Urumqi, Xinjiang, China",Exec,Urumqi Water Affairs Bureau,,dgm_watersupplysources,7574612dd3abf8f4cbf75e837fdcdb3d,dgm_watersupplysources__7574612dd3abf8f4cbf75e837fdcdb3d
2698146984,Shanghai Water and Maritime Affairs Announcements,shanghaishanghai,"Shanghai, China",space,Shanghai Water and Maritime Affairs Announcements,,dgm_watersupplysources,82756818b5c92b69a064018e8b6e4f96,dgm_watersupplysources__82756818b5c92b69a064018e8b6e4f96
3096705987,Shenzhen Water Affairs Bureau,shenzhenguangdong,"Shenzhen, Guangdong, China",Refinery,Shenzhen Water Affairs Bureau,,dgm_watersupplysources,b0c8e189e9c34d3c49b6ec29e74ea65c,dgm_watersupplysources__b0c8e189e9c34d3c49b6ec29e74ea65c
3096705987,Shenzhen Water Affairs Bureau,shenzhenguangdong,"Shenzhen, Guangdong, China",Organization,Shenzhen Water Affairs Bureau,,dgm_watersupplysources,b0c8e189e9c34d3c49b6ec29e74ea65c,dgm_watersupplysources__b0c8e189e9c34d3c49b6ec29e74ea65c
