keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
华为,Huawei,188278,,,00fb0aa15ef83059804de97160bc5d9f,y,#N/A,,,,Chinese company Huawei,,2,Refinery,Huawei,,dgm_weibo_crisk_mentionee,b53ad26af3e57e4b9151937706c47968,dgm_weibo_crisk_mentionee__eac079129ff6113df29219864380f455
硕腾,Zoetis,188278,,,0c4eb1594c30e78b1597531864dbcb7a,,n,,0,,,,2,IndustryTerm,Zoetis,,dgm_weibo_crisk_mentionee,042a2266802c18aeb0c87a6673c40611,dgm_weibo_crisk_mentionee__8abf9e69d4ebd5d287c787f8d53fc32c
歌尔,Goertek,188278,,,0f9be7dc872c804e7fbe6bfeba79ccb2,,,,,y,,,2,LegislativeCommittee,Goertek,,dgm_weibo_crisk_mentionee,f2470f147dac126ec80a93578fa99c85,dgm_weibo_crisk_mentionee__1248b8327f9e7216fb1ab5f1a5a17b8b
领英,LinkedIn,188278,,,16f891d30be91a161149c66e4977802e,,n,,1,,,,2,Consulates,LinkedIn,,dgm_weibo_crisk_mentionee,fc273219502250d16e57d850e6916252,dgm_weibo_crisk_mentionee__e884c507c5198a4578a84498f7a323e2
携程,Ctrip,188278,,,1c974a67f1c79ad93c06fb994a5c26cc,,#N/A,,0,,,,2,Legislator,Ctrip,,dgm_weibo_crisk_mentionee,b59955f61086b28da756c8c135b00127,dgm_weibo_crisk_mentionee__d13375201cfb9fcdbb44209448d0fbc1
戴森,Dyson,188278,,,1cb134be4c341441d394951c92b6f997,,n,,0,,,,2,CompanyKeyword,Dyson,,dgm_weibo_crisk_mentionee,2faca5bd42afaa7c5bb00023d1b1629f,dgm_weibo_crisk_mentionee__000b5af413059930a90d21b8576ff9bb
网飞,Netflix,188278,,,1e8efb6d2c02a70af5041088361f83f3,,n,,1,,,,2,Keyphrase,Netflix,,dgm_weibo_crisk_mentionee,13b760ca5c3ebf076b9b73156dc54cf2,dgm_weibo_crisk_mentionee__170b1d363bd8516fbf3a3eb05d4faff6
科宁,Corning,188278,,,28ff220341de5b3a7a2547c9b40f3365,,n,,1,,,,2,DiplomaticFacilities,Corning,,dgm_weibo_crisk_mentionee,77ea05c39b4d97279e7a5e2d550fa8a2,dgm_weibo_crisk_mentionee__01cce4b69f1f154e9b4eacf510ca72b6
帕卡,Paccar,188278,,,2947d847677ea38759f28fd47447f368,,n,,0,,,,2,ForeignMinister,Paccar,,dgm_weibo_crisk_mentionee,ea539e45b6a319451c6c4c6a633f2344,dgm_weibo_crisk_mentionee__99130cadb1d7b5190cd70880779d318a
惠而浦,Whirlpool,188278,,,2bed9c3d926e0884033b5d5f1dda0992,,#N/A,,2,,,,3,Organization,Whirlpool,,dgm_weibo_crisk_mentionee,f922fbd8f64457c434c4f7db4315b9ce,dgm_weibo_crisk_mentionee__fc6a7ca252c98d7b3f29c76295222b57
松下,Panasonic,188278,,,300414e91c9cf1d0de9a668688a8db4b,,#N/A,,1,y,,,2,Media,Panasonic,,dgm_weibo_crisk_mentionee,3fe71802cc7c7d6924dfe0cc51609af0,dgm_weibo_crisk_mentionee__4db2eb60906233021c65b511fe814034
福陆,Fluor,188278,,,3405184f60f03c29c193524aade63d4b,,n,,0,,,,2,AAEntity,Fluor,,dgm_weibo_crisk_mentionee,820dd9c005e00c636eb7bf29e8ac821c,dgm_weibo_crisk_mentionee__65aa5fe0cd0d848f0ecb05f2c4c82e18
李宁,Li Ning,188278,,,35134d1900574a895644237afd8af503,,#N/A,,0,,,,2,Shipping,Li Ning,,dgm_weibo_crisk_mentionee,03d2d6a1b65d73322a999b4f0ee2a7b7,dgm_weibo_crisk_mentionee__fb1c61353d2cf43e982fc09dc7077fd7
霍顿,D.R. Horton,188278,,,3574f1db08c7950c9d30042256ba5277,,n,,1,,,,2,space,D.R. Horton,,dgm_weibo_crisk_mentionee,114fa6be510b095668fa28ad8d9ab507,dgm_weibo_crisk_mentionee__68902d8694aa6e6f9e7c0bf7a571410d
微软,Microsoft,188278,,,3d1c91a37937505c39e43597605a2022,,n,,1,,,,2,FTO,Microsoft,,dgm_weibo_crisk_mentionee,29aeb65407998cee5b528d996dfde114,dgm_weibo_crisk_mentionee__140864078aeca1c7c35b4beb33c53c34
3m,3M,188278,,,48562aee0bffd911051ef423793942e0,,n,,,,,,2,Organization,3M,,dgm_weibo_crisk_mentionee,e5417917d165017bb5ba42febec2d2cb,dgm_weibo_crisk_mentionee__d8589a20d5ff2f308381aa7aa75b9a27
谷歌,Google,188278,,,69bb2b0e88234d04213412ad72e44ee5;29d99882da5223603d025ccb959dfcbf;422fa12f23e9d8325787f49af1efba4a,,n,,0,,,,2,Organization,Google,,dgm_weibo_crisk_mentionee,cfa74344f0d4117440e54936b00e0f7c,dgm_weibo_crisk_mentionee__8b36e9207c24c76e6719268e49201d94
滴滴,Didi Chuxing,188278,,,6e945d352b235798256acff461f879e1,,#N/A,,,,,,2,LegislativeCommittee,Didi Chuxing,,dgm_weibo_crisk_mentionee,67b6300e0e0ce17966d27b2b76dc78e0,dgm_weibo_crisk_mentionee__77de9519cb699a81f7367f53a5238b1c
德勤,Deloitte,188278,,,797bb8c12c01507ad8669b06b9abe7ac,,n,,1,,,,2,Pipeline,Deloitte,,dgm_weibo_crisk_mentionee,7bbe1e9aa8b70138e1c542e7d7345816,dgm_weibo_crisk_mentionee__370c2482dacb3fffbd4043cfca5674fe
耐克,Nike,188278,,,799aec4551fa7bb5dbeedb55ae5199cc,,n,,0,,,,2,CompanyKeyword,Nike,,dgm_weibo_crisk_mentionee,e15fdda1723d37d4598275cb18d6c640,dgm_weibo_crisk_mentionee__965b11a46418878a13732a04b3db07b3
