keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
华为,Huawei,188278,,,00fb0aa15ef83059804de97160bc5d9f,y,#N/A,,,,Chinese company Huawei,,2,Wells,Huawei,,dgm_weibo_government_mentionee,eac079129ff6113df29219864380f455,dgm_weibo_government_mentionee__eac079129ff6113df29219864380f455
硕腾,Zoetis,188278,,,0c4eb1594c30e78b1597531864dbcb7a,,n,,0,,,,2,News,Zoetis,,dgm_weibo_government_mentionee,8abf9e69d4ebd5d287c787f8d53fc32c,dgm_weibo_government_mentionee__8abf9e69d4ebd5d287c787f8d53fc32c
歌尔,Goertek,188278,,,0f9be7dc872c804e7fbe6bfeba79ccb2,,,,,y,,,2,DiplomaticFacilities,Goertek,,dgm_weibo_government_mentionee,1248b8327f9e7216fb1ab5f1a5a17b8b,dgm_weibo_government_mentionee__1248b8327f9e7216fb1ab5f1a5a17b8b
领英,LinkedIn,188278,,,16f891d30be91a161149c66e4977802e,,n,,1,,,,2,IndustryTerm,LinkedIn,,dgm_weibo_government_mentionee,e884c507c5198a4578a84498f7a323e2,dgm_weibo_government_mentionee__e884c507c5198a4578a84498f7a323e2
携程,Ctrip,188278,,,1c974a67f1c79ad93c06fb994a5c26cc,,#N/A,,0,,,,2,Consulates,Ctrip,,dgm_weibo_government_mentionee,d13375201cfb9fcdbb44209448d0fbc1,dgm_weibo_government_mentionee__d13375201cfb9fcdbb44209448d0fbc1
戴森,Dyson,188278,,,1cb134be4c341441d394951c92b6f997,,n,,0,,,,2,Legislator,Dyson,,dgm_weibo_government_mentionee,000b5af413059930a90d21b8576ff9bb,dgm_weibo_government_mentionee__000b5af413059930a90d21b8576ff9bb
网飞,Netflix,188278,,,1e8efb6d2c02a70af5041088361f83f3,,n,,1,,,,2,Refinery,Netflix,,dgm_weibo_government_mentionee,170b1d363bd8516fbf3a3eb05d4faff6,dgm_weibo_government_mentionee__170b1d363bd8516fbf3a3eb05d4faff6
科宁,Corning,188278,,,28ff220341de5b3a7a2547c9b40f3365,,n,,1,,,,2,News,Corning,,dgm_weibo_government_mentionee,01cce4b69f1f154e9b4eacf510ca72b6,dgm_weibo_government_mentionee__01cce4b69f1f154e9b4eacf510ca72b6
帕卡,Paccar,188278,,,2947d847677ea38759f28fd47447f368,,n,,0,,,,2,Legislator,Paccar,,dgm_weibo_government_mentionee,99130cadb1d7b5190cd70880779d318a,dgm_weibo_government_mentionee__99130cadb1d7b5190cd70880779d318a
惠而浦,Whirlpool,188278,,,2bed9c3d926e0884033b5d5f1dda0992,,#N/A,,2,,,,3,CompanyKeyword,Whirlpool,,dgm_weibo_government_mentionee,fc6a7ca252c98d7b3f29c76295222b57,dgm_weibo_government_mentionee__fc6a7ca252c98d7b3f29c76295222b57
松下,Panasonic,188278,,,300414e91c9cf1d0de9a668688a8db4b,,#N/A,,1,y,,,2,Organization,Panasonic,,dgm_weibo_government_mentionee,4db2eb60906233021c65b511fe814034,dgm_weibo_government_mentionee__4db2eb60906233021c65b511fe814034
