handle,caption_name,location,type,location_lower,exclude_groups,.1,.2,.3,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
2818227402,"Qingbaijiang District, Chengdu Agriculture and Rural Affairs Bureau",chengdusichuan,,chengdusichuan,,,,Hubei Market Supervision Administration,,"Qingbaijiang District, Chengdu Agriculture and Rural Affairs Bureau",,dgm_weibo_government_mentioner,a32d0ab35218a69e9e8413faefd3a3ac,dgm_weibo_government_mentioner__a32d0ab35218a69e9e8413faefd3a3ac
3236285370,"Xindu District, Chengdu Agriculture and Rural Affairs Bureau",chengdusichuan,,chengdusichuan,,,,"Agriculture and Rural Affairs Bureau of Qingbaijiang District, Chengdu",,"Xindu District, Chengdu Agriculture and Rural Affairs Bureau",,dgm_weibo_government_mentioner,8f0e74ddbc52d07ebd31a93c1257dbc0,dgm_weibo_government_mentioner__8f0e74ddbc52d07ebd31a93c1257dbc0
3011694992,Anhui Province Information Office,anhui,,hefeianhui,,,,Anhui Civil Affairs Department,,Anhui Province Information Office,,dgm_weibo_government_mentioner,e7ecf301e8c6bd22dc4760f01b64fb5f,dgm_weibo_government_mentioner__e7ecf301e8c6bd22dc4760f01b64fb5f
6049919572,Anhui Civil Affairs Department,anhui,,hefeianhui,,,,Anhui Prosecutor’s Office,,Anhui Civil Affairs Department,,dgm_weibo_government_mentioner,b900bc4cd05814ab1bd668c55f7ea45a,dgm_weibo_government_mentioner__b900bc4cd05814ab1bd668c55f7ea45a
5834603190,Anhui Department of Housing and Urban-Rural Development,anhui,,hefeianhui,,,,City of Beijing official account,,Anhui Department of Housing and Urban-Rural Development,,dgm_weibo_government_mentioner,87cae1b7a4c45deffcf96ef1e5328176,dgm_weibo_government_mentioner__87cae1b7a4c45deffcf96ef1e5328176
6072069473,Anhui Department of Natural Resources,anhui,,hefeianhui,,,,Shandong province official account,,Anhui Department of Natural Resources,,dgm_weibo_government_mentioner,050fd092616362a8fa8243c33d6a2c09,dgm_weibo_government_mentioner__050fd092616362a8fa8243c33d6a2c09
6187096086,Anhui Discipline Inspection and Supervision Department,anhui,,hefeianhui,,,,"Huangpu District, Shanghai official account (edited",,Anhui Discipline Inspection and Supervision Department,,dgm_weibo_government_mentioner,8359e36431e2c6afda45999676f3ffe1,dgm_weibo_government_mentioner__8359e36431e2c6afda45999676f3ffe1
7366362480,Anhui Drug Supervision Department,anhui,,hefeianhui,,,,,,Anhui Drug Supervision Department,,dgm_weibo_government_mentioner,16c11bcc0a94330e8c08eebb671a9127,dgm_weibo_government_mentioner__16c11bcc0a94330e8c08eebb671a9127
3908798547,Anhui High Court,anhui,,hefeianhui,,,,,,Anhui High Court,,dgm_weibo_government_mentioner,b4f5205ab49b950110f1049a054e1279,dgm_weibo_government_mentioner__b4f5205ab49b950110f1049a054e1279
5473349005,Anhui Lai Security Inspection,anhui,,hefeianhui,,,,,,Anhui Lai Security Inspection,,dgm_weibo_government_mentioner,6be43201312a50665e9f761bd7a3ef6c,dgm_weibo_government_mentioner__6be43201312a50665e9f761bd7a3ef6c
5217276503,Anhui Market Supervision Administration,Anhui,,hefeianhui,,,,,,Anhui Market Supervision Administration,,dgm_weibo_government_mentioner,d310b6e20cd610b571721bfdd4ed723a,dgm_weibo_government_mentioner__d310b6e20cd610b571721bfdd4ed723a
5068742142,Anhui Prosecutor's Office,anhui,,hefeianhui,,,,,,Anhui Prosecutor's Office,,dgm_weibo_government_mentioner,2118b11c12551221ecddde4495b6cd15,dgm_weibo_government_mentioner__2118b11c12551221ecddde4495b6cd15
7532796319,Anhui Provincial Party Committee,anhui,,hefeianhui,,,,,,Anhui Provincial Party Committee,,dgm_weibo_government_mentioner,708ecb525a5f16cfcca23653f47a76c6,dgm_weibo_government_mentioner__708ecb525a5f16cfcca23653f47a76c6
1419172372,Anhui Public Security,anhui,,hefeianhui,,,,,,Anhui Public Security,,dgm_weibo_government_mentioner,716d8103ec33a2843aae77daca5dc742,dgm_weibo_government_mentioner__716d8103ec33a2843aae77daca5dc742
6449297414,Anhui Radio and Television,anhui,,hefeianhui,,,,,,Anhui Radio and Television,,dgm_weibo_government_mentioner,c40db9949f1b9ec0b1908665065fd3a3,dgm_weibo_government_mentioner__c40db9949f1b9ec0b1908665065fd3a3
3441028532,Anhui Transportation Department,anhui,,hefeianhui,,,,,,Anhui Transportation Department,,dgm_weibo_government_mentioner,bd4cfd2c2c970d8116ad1e7d3769e30d,dgm_weibo_government_mentioner__bd4cfd2c2c970d8116ad1e7d3769e30d
3185467691,"Baiyun District, Guangzhou official account",guangzhou,,guangzhouguangdong,,,,,,"Baiyun District, Guangzhou official account",,dgm_weibo_government_mentioner,cdeb3b45c3e68e055f6bb594cd0042a1,dgm_weibo_government_mentioner__cdeb3b45c3e68e055f6bb594cd0042a1
2198416690,"Banan District, Chongqing Bureau of Ecology and Environment",Chongqing,,chongqingchongqing,,,,,,"Banan District, Chongqing Bureau of Ecology and Environment",,dgm_weibo_government_mentioner,80e243ab4bec3f9608c40a52b95f6040,dgm_weibo_government_mentioner__80e243ab4bec3f9608c40a52b95f6040
1748243474,"Banan District, Chongqing Prosecutor's Office",chongqing,,chongqingchongqing,,,,,,"Banan District, Chongqing Prosecutor's Office",,dgm_weibo_government_mentioner,97878a4bd364625e9c35e23fdfc74fc2,dgm_weibo_government_mentioner__97878a4bd364625e9c35e23fdfc74fc2
5028495984,Baoding Market Supervision Administration,shijiazhuanghebei,,shijiazhuanghebei,,,,,,Baoding Market Supervision Administration,,dgm_weibo_government_mentioner,0a8ef7c80c2ca0b3212be275306cf30c,dgm_weibo_government_mentioner__0a8ef7c80c2ca0b3212be275306cf30c
2095260691,"Baohe District, Hefei official account",anhui,,hefeianhui,,,,,,"Baohe District, Hefei official account",,dgm_weibo_government_mentioner,62a20241fb9de46af87fb7361e86365c,dgm_weibo_government_mentioner__62a20241fb9de46af87fb7361e86365c
6389395822,"Baoshan District, Shanghai Bureau of Ecology and Environment",Shanghaishanghai,,shanghaishanghai,,,,,,"Baoshan District, Shanghai Bureau of Ecology and Environment",,dgm_weibo_government_mentioner,d55d230f38253e350c46edb10f045f80,dgm_weibo_government_mentioner__d55d230f38253e350c46edb10f045f80
2708226072,"Baoshan District, Shanghai Market Supervision Administration",Shanghaishanghai,,shanghaishanghai,,,,,,"Baoshan District, Shanghai Market Supervision Administration",,dgm_weibo_government_mentioner,784e2fcb095577d240405b72141924c2,dgm_weibo_government_mentioner__784e2fcb095577d240405b72141924c2
2719969734,"Baoshan District, Shanghai official account",Shanghaishanghai,,shanghaishanghai,,,,,,"Baoshan District, Shanghai official account",,dgm_weibo_government_mentioner,ac634714d83fdc7b6c444f2c81c60a5b,dgm_weibo_government_mentioner__ac634714d83fdc7b6c444f2c81c60a5b
2142214113,"Beibei District, Chongqing Bureau of Ecology and Environment",Chongqing,,chongqingchongqing,,,,,,"Beibei District, Chongqing Bureau of Ecology and Environment",,dgm_weibo_government_mentioner,59e430e202d9e410a3d85ae2982d1647,dgm_weibo_government_mentioner__59e430e202d9e410a3d85ae2982d1647
2785910887,Beihai Market Supervision Administration,Guangxi,,nanningguangxi,,,,,,Beihai Market Supervision Administration,,dgm_weibo_government_mentioner,f142067dfab7e3ceb2730bea58e537bb,dgm_weibo_government_mentioner__f142067dfab7e3ceb2730bea58e537bb
2611712093,Beijing Agriculture Department,beijing,,beijingbeijing,,,,,,Beijing Agriculture Department,,dgm_weibo_government_mentioner,6ae1af0cc583eb082956459476886d0f,dgm_weibo_government_mentioner__6ae1af0cc583eb082956459476886d0f
2611712113,Beijing Bureau of Traditional Chinese Medicine,beijing,,beijingbeijing,,,,,,Beijing Bureau of Traditional Chinese Medicine,,dgm_weibo_government_mentioner,ae27f4438f15bea26079d49e1fa23f6c,dgm_weibo_government_mentioner__ae27f4438f15bea26079d49e1fa23f6c
2682584133,Beijing Community Health Service Management Center,beijing,,beijingbeijing,,,,,,Beijing Community Health Service Management Center,,dgm_weibo_government_mentioner,d853b28c529d85fd1bc24966fef1957e,dgm_weibo_government_mentioner__d853b28c529d85fd1bc24966fef1957e
2611704905,Beijing Medical Products Administration,beijing,,beijingbeijing,,,,,,Beijing Medical Products Administration,,dgm_weibo_government_mentioner,6c9849e5b0f4f9fcbfdc0dd20a19c5ce,dgm_weibo_government_mentioner__6c9849e5b0f4f9fcbfdc0dd20a19c5ce
