keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
华为,Huawei,188278,,,00fb0aa15ef83059804de97160bc5d9f,y,#N/A,,,,Chinese company Huawei,,2,Organization,Huawei,,dgm_weibo_media_mentionee,60f8779df85c263a6caa2730a832542d,dgm_weibo_media_mentionee__eac079129ff6113df29219864380f455
硕腾,Zoetis,188278,,,0c4eb1594c30e78b1597531864dbcb7a,,n,,0,,,,2,DiplomaticFacilities,Zoetis,,dgm_weibo_media_mentionee,4ff0d7363a114f37f029272fcc7c4134,dgm_weibo_media_mentionee__8abf9e69d4ebd5d287c787f8d53fc32c
歌尔,Goertek,188278,,,0f9be7dc872c804e7fbe6bfeba79ccb2,,,,,y,,,2,DiplomaticFacilities,Goertek,,dgm_weibo_media_mentionee,7ca6d3c9fea93f26c8939578ca1c81da,dgm_weibo_media_mentionee__1248b8327f9e7216fb1ab5f1a5a17b8b
领英,LinkedIn,188278,,,16f891d30be91a161149c66e4977802e,,n,,1,,,,2,ForeignMinister,LinkedIn,,dgm_weibo_media_mentionee,88cec96207576d9873d22fbab3413f9e,dgm_weibo_media_mentionee__e884c507c5198a4578a84498f7a323e2
携程,Ctrip,188278,,,1c974a67f1c79ad93c06fb994a5c26cc,,#N/A,,0,,,,2,ForeignMinistry,Ctrip,,dgm_weibo_media_mentionee,e9c5408d2b28fd92b284d608e197a25d,dgm_weibo_media_mentionee__d13375201cfb9fcdbb44209448d0fbc1
戴森,Dyson,188278,,,1cb134be4c341441d394951c92b6f997,,n,,0,,,,2,IndustryTerm,Dyson,,dgm_weibo_media_mentionee,5cd82523246d1ffdb8448c36d0796230,dgm_weibo_media_mentionee__000b5af413059930a90d21b8576ff9bb
网飞,Netflix,188278,,,1e8efb6d2c02a70af5041088361f83f3,,n,,1,,,,2,FTO,Netflix,,dgm_weibo_media_mentionee,862bda77d66291deace6b7f5a41f68a5,dgm_weibo_media_mentionee__170b1d363bd8516fbf3a3eb05d4faff6
科宁,Corning,188278,,,28ff220341de5b3a7a2547c9b40f3365,,n,,1,,,,2,Refinery,Corning,,dgm_weibo_media_mentionee,30ff525f8851ce44f1dd1fb9397dbeab,dgm_weibo_media_mentionee__01cce4b69f1f154e9b4eacf510ca72b6
帕卡,Paccar,188278,,,2947d847677ea38759f28fd47447f368,,n,,0,,,,2,Media,Paccar,,dgm_weibo_media_mentionee,b0ffc47bb4ee72db87c024249e5adda8,dgm_weibo_media_mentionee__99130cadb1d7b5190cd70880779d318a
惠而浦,Whirlpool,188278,,,2bed9c3d926e0884033b5d5f1dda0992,,#N/A,,2,,,,3,Refinery,Whirlpool,,dgm_weibo_media_mentionee,2507abf0da8c69bb666d4038aa375313,dgm_weibo_media_mentionee__fc6a7ca252c98d7b3f29c76295222b57
松下,Panasonic,188278,,,300414e91c9cf1d0de9a668688a8db4b,,#N/A,,1,y,,,2,Diplomat,Panasonic,,dgm_weibo_media_mentionee,73ec3f939b4a301cced5b8452d993020,dgm_weibo_media_mentionee__4db2eb60906233021c65b511fe814034
福陆,Fluor,188278,,,3405184f60f03c29c193524aade63d4b,,n,,0,,,,2,Wells,Fluor,,dgm_weibo_media_mentionee,132921709a240c384bcc194b8dcf475d,dgm_weibo_media_mentionee__65aa5fe0cd0d848f0ecb05f2c4c82e18
李宁,Li Ning,188278,,,35134d1900574a895644237afd8af503,,#N/A,,0,,,,2,ForeignMinister,Li Ning,,dgm_weibo_media_mentionee,5038af4b7fcb5db0e1391ffdf17c8e5f,dgm_weibo_media_mentionee__fb1c61353d2cf43e982fc09dc7077fd7
霍顿,D.R. Horton,188278,,,3574f1db08c7950c9d30042256ba5277,,n,,1,,,,2,Diplomat,D.R. Horton,,dgm_weibo_media_mentionee,c9b0c9a143833d912b21d6c1d0c6f062,dgm_weibo_media_mentionee__68902d8694aa6e6f9e7c0bf7a571410d
微软,Microsoft,188278,,,3d1c91a37937505c39e43597605a2022,,n,,1,,,,2,Legislator,Microsoft,,dgm_weibo_media_mentionee,f5daf40647dfb744ee652c2790ff499a,dgm_weibo_media_mentionee__140864078aeca1c7c35b4beb33c53c34
3m,3M,188278,,,48562aee0bffd911051ef423793942e0,,n,,,,,,2,Shipping,3M,,dgm_weibo_media_mentionee,0bb63faed50f7b0cd1b7175b3df6f577,dgm_weibo_media_mentionee__d8589a20d5ff2f308381aa7aa75b9a27
谷歌,Google,188278,,,69bb2b0e88234d04213412ad72e44ee5;29d99882da5223603d025ccb959dfcbf;422fa12f23e9d8325787f49af1efba4a,,n,,0,,,,2,DiplomaticFacilities,Google,,dgm_weibo_media_mentionee,36de18d19851085d90bffe5c51748a63,dgm_weibo_media_mentionee__8b36e9207c24c76e6719268e49201d94
滴滴,Didi Chuxing,188278,,,6e945d352b235798256acff461f879e1,,#N/A,,,,,,2,Person,Didi Chuxing,,dgm_weibo_media_mentionee,e53df733dad25e90201a38dc19983e4a,dgm_weibo_media_mentionee__77de9519cb699a81f7367f53a5238b1c
德勤,Deloitte,188278,,,797bb8c12c01507ad8669b06b9abe7ac,,n,,1,,,,2,Exec,Deloitte,,dgm_weibo_media_mentionee,f05f94426538421f045c84930c4a684d,dgm_weibo_media_mentionee__370c2482dacb3fffbd4043cfca5674fe
耐克,Nike,188278,,,799aec4551fa7bb5dbeedb55ae5199cc,,n,,0,,,,2,Person,Nike,,dgm_weibo_media_mentionee,267069663ad61e6acecf377d59d62121,dgm_weibo_media_mentionee__965b11a46418878a13732a04b3db07b3
美安公司,Autoliv,188278,,,7eebac8a5ced987c52b6a98295eefd09,,,,,,,,,Refinery,Autoliv,,dgm_weibo_media_mentionee,104ea3e43c2a68dfd8d475684bd20dd7,dgm_weibo_media_mentionee__9b361f39b2eb39afa4f82ca1fd7887dd
美安汽车,Autoliv,188278,,,7eebac8a5ced987c52b6a98295eefd09,,#N/A,,1,,,,4,DiplomaticFacilities,Autoliv,,dgm_weibo_media_mentionee,58f7376da9e12734352c85e9abdfb23a,dgm_weibo_media_mentionee__9b361f39b2eb39afa4f82ca1fd7887dd
