handle,caption_name,location,type,location_lower,exclude_groups,.1,stream format,.2,.3,authorId:,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
2810373291,Chinese state-affiliated Xinhua,beijing,media,beijingbeijing,,,authorId,2810373291,weibo.com/2810373291,,weibo.com/,Media,Chinese state-affiliated Xinhua,,dgm_weibo_media_mentioner,7edd324160f27df4f844ff5f5707c1d5,dgm_weibo_media_mentioner__7edd324160f27df4f844ff5f5707c1d5
2803301701,Chinese state-affiliated People's Daily,beijing,media,beijingbeijing,,,authorId,2803301701,weibo.com/2803301701,,,Media,Chinese state-affiliated People's Daily,,dgm_weibo_media_mentioner,833040e2091e0dea19731101d94b4aac,dgm_weibo_media_mentioner__833040e2091e0dea19731101d94b4aac
1784473157,State-affiliated China News Network,beijing,media,beijingbeijing,,,authorId,1784473157,weibo.com/1784473157,,,Media,State-affiliated China News Network,,dgm_weibo_media_mentioner,b3b5abde102ebad54975e308227365b6,dgm_weibo_media_mentioner__b3b5abde102ebad54975e308227365b6
2656274875,Chinese state-affiliated CCTV,beijing,media,beijingbeijing,,,authorId,2656274875,weibo.com/2656274875,,,Media,Chinese state-affiliated CCTV,,dgm_weibo_media_mentioner,b8e9450480bacee1291e83f6f14a555b,dgm_weibo_media_mentioner__b8e9450480bacee1291e83f6f14a555b
3604378011,State-affiliated China News Service,beijing,media,beijingbeijing,,,authorId,3604378011,weibo.com/3604378011,,,Media,State-affiliated China News Service,,dgm_weibo_media_mentioner,62ddabecf33d7e29df49902d36055a33,dgm_weibo_media_mentioner__62ddabecf33d7e29df49902d36055a33
1974576991,Chinese state-affiliated Global Times,beijing,media,beijingbeijing,,,authorId,1974576991,weibo.com/1974576991,,,Media,Chinese state-affiliated Global Times,,dgm_weibo_media_mentioner,df637ca5487b6165cfa3d12f82b64a34,dgm_weibo_media_mentioner__df637ca5487b6165cfa3d12f82b64a34
5282794045,Chinese outlet National Business Daily,beijing,media,beijingbeijing,,,authorId,5282794045,weibo.com/5282794045,,,Media,Chinese outlet National Business Daily,,dgm_weibo_media_mentioner,5a5118ce11ccd52c1b32a59d74945abf,dgm_weibo_media_mentioner__5a5118ce11ccd52c1b32a59d74945abf
1893892941,Chinese state-affiliated Beijing News,beijing,media,beijingbeijing,,,authorId,1784473157,weibo.com/1784473157,,,Media,Chinese state-affiliated Beijing News,,dgm_weibo_media_mentioner,70ad8d9d3254f47886aac63100c82569,dgm_weibo_media_mentioner__70ad8d9d3254f47886aac63100c82569
2375086267,Chinese state-affiliated Cankao Xiaoxi,beijing,media,beijingbeijing,,,authorId,2375086267,weibo.com/2375086267,,,Media,Chinese state-affiliated Cankao Xiaoxi,,dgm_weibo_media_mentioner,f4f362d0cf83b4872285d290c159edab,dgm_weibo_media_mentioner__f4f362d0cf83b4872285d290c159edab
1926909715,China Business News,shanghai,media,shanghaishanghai,,,authorId,1926909715,weibo.com/1926909715,,,Media,China Business News,,dgm_weibo_media_mentioner,d6937157464ca13f01999932496e89f0,dgm_weibo_media_mentioner__d6937157464ca13f01999932496e89f0
1663937380,Chinese news outlet Caixin,beijing,media,beijingbeijing,,,authorId,1663937380,weibo.com/1663937380,,,Media,Chinese news outlet Caixin,,dgm_weibo_media_mentioner,65d6d1594c100bf9b1eac9fc0d6a3d0b,dgm_weibo_media_mentioner__65d6d1594c100bf9b1eac9fc0d6a3d0b
1638782947,Chinese news outlet Sina Finance,beijing,media,beijingbeijing,,,authorId,1638782947,weibo.com/1638782947,,,Media,Chinese news outlet Sina Finance,,dgm_weibo_media_mentioner,636e66d6a9f11ff5e560652ffb82cd72,dgm_weibo_media_mentioner__636e66d6a9f11ff5e560652ffb82cd72
1651428902,Chinese news outlet 21st Century Business Herald,guangzhou,media,guangzhouguangdong,,,authorId,1651428902,weibo.com/1651428902,,,Media,Chinese news outlet 21st Century Business Herald,,dgm_weibo_media_mentioner,b14f49822d59b5740a2a8c5742a7512f,dgm_weibo_media_mentioner__b14f49822d59b5740a2a8c5742a7512f
2258727970,Chinese state-affiliated Shanghai Securities News,shanghai,media,shanghaishanghai,,,authorId,2258727970,weibo.com/2258727970,,,Media,Chinese state-affiliated Shanghai Securities News,,dgm_weibo_media_mentioner,da63bdc8264f76665145ff305154a196,dgm_weibo_media_mentioner__da63bdc8264f76665145ff305154a196
1315587597,State-affiliated China Securities Journal,beijing,media,beijingbeijing,,,authorId,1315587597,weibo.com/1315587597,,,Media,State-affiliated China Securities Journal,,dgm_weibo_media_mentioner,0836faf952f2b2b5d303bc4f241a0c62,dgm_weibo_media_mentioner__0836faf952f2b2b5d303bc4f241a0c62
1832487154,Chinese state-affiliated Xinhua Finance,beijing,media,beijingbeijing,,,authorId,1832487154,weibo.com/1832487154,,,Media,Chinese state-affiliated Xinhua Finance,,dgm_weibo_media_mentioner,37edbfd4630e103e61f3887af9aec5e5,dgm_weibo_media_mentioner__37edbfd4630e103e61f3887af9aec5e5
1905628462,Chinese state-affiliated CCTV Finance,beijing,media,beijingbeijing,,,authorId,1905628462,weibo.com/1905628462,,,Media,Chinese state-affiliated CCTV Finance,,dgm_weibo_media_mentioner,42c623ad505c822d479458f2c60247d1,dgm_weibo_media_mentioner__42c623ad505c822d479458f2c60247d1
