keyword,caption_name,feeds,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
yt_marques_brownlee,Marques Brownlee,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCBJycsmduvYEL83R_U4JriQ,LegislativeCommittee,Marques Brownlee,,dgm_youtube_crisk,289efa5597b9f6d627f574fba747970e,dgm_youtube_crisk__289efa5597b9f6d627f574fba747970e
yt_unbox_therapy,Unbox Therapy,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCsTcErHg8oDvUnTzoqsYeNw,ForeignMinister,Unbox Therapy,,dgm_youtube_crisk,7d77a69aba3586aebcf123c1943951b8,dgm_youtube_crisk__7d77a69aba3586aebcf123c1943951b8
yt_ign_entertainment,IGN Entertainment,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCKy1dAqELo0zrOtPkf0eTMw,Shipping,IGN Entertainment,,dgm_youtube_crisk,439deae0f950c0d177c1c3be79c83be1,dgm_youtube_crisk__439deae0f950c0d177c1c3be79c83be1
yt_linus_tech_tips,Linus Tech Tips,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCXuqSBlHAE6Xw-yeJA0Tunw,Person,Linus Tech Tips,,dgm_youtube_crisk,a6a695b3c3b1824e211e61b03babc8b1,dgm_youtube_crisk__a6a695b3c3b1824e211e61b03babc8b1
yt_digital_trends,Digital Trends,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC8wXC0ZCfGt3HaVLy_fdTQw,Wells,Digital Trends,,dgm_youtube_crisk,30f690b9a0cfe9c0aeb5377cf8d98f90,dgm_youtube_crisk__30f690b9a0cfe9c0aeb5377cf8d98f90
yt_gamespot,GameSpot,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCbu2SsF-Or3Rsn3NxqODImw,Organization,GameSpot,,dgm_youtube_crisk,fd171f60b10eaf59287b99d67f3544a2,dgm_youtube_crisk__fd171f60b10eaf59287b99d67f3544a2
yt_mysmartprice,MySmartPrice,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCKO4P-n6MXW-TbGxOpYROSQ,Organization,MySmartPrice,,dgm_youtube_crisk,e3e9e8fbe203558d442d3f074be8cc74,dgm_youtube_crisk__e3e9e8fbe203558d442d3f074be8cc74
yt_zollotech,Zollotech,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCiQMYozSSTkJ2twtZM1bG9w,Shipping,Zollotech,,dgm_youtube_crisk,e214a95978eb28dbb682913e5a73743c,dgm_youtube_crisk__e214a95978eb28dbb682913e5a73743c
yt_reviewtechusa,ReviewTechUSA,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC__Oy3QdB3d9_FHO_XG1PZg,Wells,ReviewTechUSA,,dgm_youtube_crisk,bbb7c5d510e7a668a19ce7ee0eb0cb70,dgm_youtube_crisk__bbb7c5d510e7a668a19ce7ee0eb0cb70
yt_cnet,CNET,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCOmcA3f_RrH6b9NmcNa4tdg,Consulates,CNET,,dgm_youtube_crisk,5df9005c535fdaf808b16f73a1013426,dgm_youtube_crisk__5df9005c535fdaf808b16f73a1013426
