handle,caption_name,location,groups,entity_type,location_lower,exclude_groups,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mcconnellpress,US Senate Minority Leader McConnell,Kentucky,kentucky;united states,Legislator,kentucky,kentucky;united states,,Legislator,US Senate Minority Leader McConnell,,dos_mentions_entities,b7d5f0d30dbafc2b9e4ec31cf39be706,dos_mentions_entities__b7d5f0d30dbafc2b9e4ec31cf39be706
lucyallan,UK MP Allan,Shropshire,shropshire;united states,Legislator,shropshire,shropshire;united states,,Legislator,UK MP Allan,,dos_mentions_entities,00d05b9f50b946e50b1b22085cec7e08,dos_mentions_entities__00d05b9f50b946e50b1b22085cec7e08
repkenmarchant,US Representative Marchant,Texas,texas;united states,Legislator,texas,texas;united states,,Legislator,US Representative Marchant,,dos_mentions_entities,569ce954e707be38273bc3d14caa9387,dos_mentions_entities__569ce954e707be38273bc3d14caa9387
senatemajldr,US Senate Minority Leader McConnell,Kentucky,kentucky;united states,Legislator,kentucky,kentucky;united states,,Legislator,US Senate Minority Leader McConnell,,dos_mentions_entities,b7d5f0d30dbafc2b9e4ec31cf39be706,dos_mentions_entities__b7d5f0d30dbafc2b9e4ec31cf39be706
chuckschumer,US Senate Majority Leader Schumer,New York,new york;united states,Legislator,new york,new york;united states,,Legislator,US Senate Majority Leader Schumer,,dos_mentions_entities,1cd26d9706d7884fd4a180c7ee189441,dos_mentions_entities__1cd26d9706d7884fd4a180c7ee189441
senschumer,US Senate Majority Leader Schumer,New York,new york;united states,Legislator,new york,new york;united states,,Legislator,US Senate Majority Leader Schumer,,dos_mentions_entities,1cd26d9706d7884fd4a180c7ee189441,dos_mentions_entities__1cd26d9706d7884fd4a180c7ee189441
amyklobuchar,US Senator Klobuchar,Minnesota,minnesota;united states,Legislator,minnesota,minnesota;united states,,Legislator,US Senator Klobuchar,,dos_mentions_entities,fdc5a26c198234e0e41cf6ba21896345,dos_mentions_entities__fdc5a26c198234e0e41cf6ba21896345
senamyklobuchar,US Senator Klobuchar,Minnesota,minnesota;united states,Legislator,minnesota,minnesota;united states,,Legislator,US Senator Klobuchar,,dos_mentions_entities,fdc5a26c198234e0e41cf6ba21896345,dos_mentions_entities__fdc5a26c198234e0e41cf6ba21896345
angusformaine,US Senator King,Maine,maine;united states,Legislator,maine,maine;united states,,Legislator,US Senator King,,dos_mentions_entities,8eb39d08b6f04230c03650e9e6392198,dos_mentions_entities__8eb39d08b6f04230c03650e9e6392198
senangusking,US Senator King,Maine,maine;united states,Legislator,maine,maine;united states,,Legislator,US Senator King,,dos_mentions_entities,8eb39d08b6f04230c03650e9e6392198,dos_mentions_entities__8eb39d08b6f04230c03650e9e6392198
bencardinformd,US Senator Cardin,Maryland,maryland;united states,Legislator,maryland,maryland;united states,,Legislator,US Senator Cardin,,dos_mentions_entities,8c2e1f2e3f1c4f6ff3f9960b32dfdfd2,dos_mentions_entities__8c2e1f2e3f1c4f6ff3f9960b32dfdfd2
senatorcardin,US Senator Cardin,Maryland,maryland;united states,Legislator,maryland,maryland;united states,,Legislator,US Senator Cardin,,dos_mentions_entities,8c2e1f2e3f1c4f6ff3f9960b32dfdfd2,dos_mentions_entities__8c2e1f2e3f1c4f6ff3f9960b32dfdfd2
bensasse,US Senator Sasse,Nebraska,nebraska;united states,Legislator,nebraska,nebraska;united states,,Legislator,US Senator Sasse,,dos_mentions_entities,1b8caf449f6ad2b1cad26a9a008174e9,dos_mentions_entities__1b8caf449f6ad2b1cad26a9a008174e9
sensasse,US Senator Sasse,Nebraska,nebraska;united states,Legislator,nebraska,nebraska;united states,,Legislator,US Senator Sasse,,dos_mentions_entities,1b8caf449f6ad2b1cad26a9a008174e9,dos_mentions_entities__1b8caf449f6ad2b1cad26a9a008174e9
berniesanders,US Senator Sanders,Vermont,vermont;united states,Legislator,vermont,vermont;united states,,Legislator,US Senator Sanders,,dos_mentions_entities,05869ce67d1d5683d20096f8a1a21fe6,dos_mentions_entities__05869ce67d1d5683d20096f8a1a21fe6
sensanders,US Senator Sanders,Vermont,vermont;united states,Legislator,vermont,vermont;united states,,Legislator,US Senator Sanders,,dos_mentions_entities,05869ce67d1d5683d20096f8a1a21fe6,dos_mentions_entities__05869ce67d1d5683d20096f8a1a21fe6
billcassidy,US Senator Cassidy,Louisiana,louisiana;united states,Legislator,louisiana,louisiana;united states,,Legislator,US Senator Cassidy,,dos_mentions_entities,0311347a38842985c3d58a04a8b0781b,dos_mentions_entities__0311347a38842985c3d58a04a8b0781b
