keyword,caption_name,type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
facemasked guidelines,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasked mandate,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasked policy,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasked requirement,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasked requirements,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasked rules,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasking guidelines,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasking mandate,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasking policy,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasking requirement,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasking requirements,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasking rules,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasks guidelines,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasks policy,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
facemasks requirements,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
forced facemasking,face mask policies,brand risk theme,BrandRiskTheme,face mask policies,,element_mapping,ce30bf33373756362aae66c30b20dd23,element_mapping__ce30bf33373756362aae66c30b20dd23
