handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,coords,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
agweathernet,Agriculture meteorologist,"olympia, wa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Olympia, WA",47.0378741,-122.9006951,,"47.0378741, -122.9006951",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
skydrama,Agriculture meteorologist,"urbana, illinois",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Urbana, Illinois",40.1105875,-88.2072697,,"40.1105875, -88.2072697",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
markaingalls,Agriculture meteorologist,"starkville, ms",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Starkville, MS",33.4503998,-88.8183872,,"33.4503998, -88.8183872",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
awnmetwenatchee,Agriculture meteorologist,"wenatchee, wa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Wenatchee, WA",47.4234599,-120.3103494,,"47.4234599, -120.3103494",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
awnmet_prosser,Agriculture meteorologist,"prosser, wa",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Prosser, WA",46.2067997,-119.7689223,,"46.2067997, -119.7689223",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
mb_agweather_dr,Agriculture meteorologist,"manitoba, canada",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Manitoba, Canada",53.7608608,-98.8138762,,"53.7608608, -98.8138762",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
sencropuk,Agriculture meteorologist,"royston, england",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Royston, England",52.048142,-0.024066,,"52.048142, -0.024066",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
christina_loren,Agriculture meteorologist,"nashville, tn",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Nashville, TN",36.1626638,-86.7816016,,"36.1626638, -86.7816016",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
dustinwgme,Agriculture meteorologist,"portland, me",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Portland, ME",43.6590993,-70.2568189,,"43.6590993, -70.2568189",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
metpeak,Agriculture meteorologist,british columbia,commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,British Columbia,53.7266683,-127.6476205,,"53.7266683, -127.6476205",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
agroclimatecdn,Agriculture meteorologist,"regina, canada",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Regina, Canada",50.4452112,-104.6188943,,"50.4452112, -104.6188943",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
edvalleewx,Agriculture meteorologist,"orlando, fl",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Orlando, FL",28.5383832,-81.3789269,,"28.5383832, -81.3789269",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
empirewx,Agriculture meteorologist,new jersey,commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,New Jersey,40.0583238,-74.4056612,,"40.0583238, -74.4056612",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
indywx,Agriculture meteorologist,"indianapolis, in",commodity match;ag commodity;company;country;stateprovince;drought;severe weather;soil;biofuel;pest;region;frost;agricultureminister;agricultureministry,agricultural weather forecaster,"Indianapolis, IN",39.768403,-86.158068,,"39.768403, -86.158068",AgriculturalWeatherForecaster,Agriculture meteorologist,,eng_dgm_agr_mentioner_entities,3edd31581cd32f46a524d68592b8ed58,eng_dgm_agr_mentioner_entities__3edd31581cd32f46a524d68592b8ed58
