handle,caption_name,location_lower,exclude_groups,include_groups,entity_type,location,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aafc_canada,Canadian Department of Agriculture and Agri-Food,canada,canada;country;stateprovince,,agriculture ministry,Canada,56.130366,-106.346771,AgricultureMinistry,Canadian Department of Agriculture and Agri-Food,,eng_dgm_agr_mentioner_government,40206f168fcfb17cdba239a40961557f,eng_dgm_agr_mentioner_government__40206f168fcfb17cdba239a40961557f
dalrrdgov_za,South African agriculture ministry,south africa,south africa;country;stateprovince,,agriculture ministry,South Africa,-30.559482,22.937506,AgricultureMinistry,South African agriculture ministry,,eng_dgm_agr_mentioner_government,7be7faf2292e54865c7d0c02b8572407,eng_dgm_agr_mentioner_government__7be7faf2292e54865c7d0c02b8572407
usda,US Department of Agriculture,united states,us;country;stateprovince,,agriculture ministry,United States,37.09024,-95.712891,AgricultureMinistry,US Department of Agriculture,,eng_dgm_agr_mentioner_government,05306ae7787deaec84f61c963db7362b,eng_dgm_agr_mentioner_government__05306ae7787deaec84f61c963db7362b
mafsbarbados,Barbados agriculture ministry,barbados,barbados;country;stateprovince,,agriculture ministry,Barbados,13.193887,-59.543198,AgricultureMinistry,Barbados agriculture ministry,,eng_dgm_agr_mentioner_government,e156729712141f0fe6cdbad33ad24b11,eng_dgm_agr_mentioner_government__e156729712141f0fe6cdbad33ad24b11
agrinewsbw,Botswana agriculture ministry,botswana,botswana;country;stateprovince,,agriculture ministry,Botswana,-22.328474,24.684866,AgricultureMinistry,Botswana agriculture ministry,,eng_dgm_agr_mentioner_government,7f6a02bf19b3c7dcc2a6e0a28da31a47,eng_dgm_agr_mentioner_government__7f6a02bf19b3c7dcc2a6e0a28da31a47
cymoapress,Cypriot agriculture ministry,cyprus,cyprus;country;stateprovince,,agriculture ministry,Cyprus,35.126413,33.429859,AgricultureMinistry,Cypriot agriculture ministry,,eng_dgm_agr_mentioner_government,b1718f69b3b591560b3e6bd81787b7b5,eng_dgm_agr_mentioner_government__b1718f69b3b591560b3e6bd81787b7b5
fijiagriculture,Fijian agriculture ministry,fiji,fiji;country;stateprovince,,agriculture ministry,Fiji,-17.713371,178.065032,AgricultureMinistry,Fijian agriculture ministry,,eng_dgm_agr_mentioner_government,a29b4ae239f1e6e2a129fa791f8b5a1d,eng_dgm_agr_mentioner_government__a29b4ae239f1e6e2a129fa791f8b5a1d
mofaghana1,Ghanaian agriculture ministry,ghana,ghana;country;stateprovince,,agriculture ministry,Ghana,7.946527,-1.023194,AgricultureMinistry,Ghanaian agriculture ministry,,eng_dgm_agr_mentioner_government,a53f7c2a232517731f573fa0fff4de01,eng_dgm_agr_mentioner_government__a53f7c2a232517731f573fa0fff4de01
moagrenada,Grenadian agriculture ministry,grenada,grenada;country;stateprovince,,agriculture ministry,Grenada,12.1165,-61.679,AgricultureMinistry,Grenadian agriculture ministry,,eng_dgm_agr_mentioner_government,6bd48b5cd15cb7cfdf3318ac5bd082be,eng_dgm_agr_mentioner_government__6bd48b5cd15cb7cfdf3318ac5bd082be
minofagriguyana,Guyanese agriculture ministry,guyana,guyana;country;stateprovince,,agriculture ministry,Guyana,4.860416,-58.93018,AgricultureMinistry,Guyanese agriculture ministry,,eng_dgm_agr_mentioner_government,8d88fe7d7441459efebf57811c8ebed6,eng_dgm_agr_mentioner_government__8d88fe7d7441459efebf57811c8ebed6
agriculture_ie,Irish Department of Agriculture,ireland,ireland;country;stateprovince,,agriculture ministry,Ireland,53.1423672,-7.6920536,AgricultureMinistry,Irish Department of Agriculture,,eng_dgm_agr_mentioner_government,02ea854433697e6e58ab1d091ada2d60,eng_dgm_agr_mentioner_government__02ea854433697e6e58ab1d091ada2d60
moafjm,Jamaican agriculture ministry,jamaica,jamaica;country;stateprovince,,agriculture ministry,Jamaica,18.109581,-77.297508,AgricultureMinistry,Jamaican agriculture ministry,,eng_dgm_agr_mentioner_government,c21f7d343bb35cb9afc07339278e6033,eng_dgm_agr_mentioner_government__c21f7d343bb35cb9afc07339278e6033
kilimoke,Kenyan agriculture ministry,kenya,kenya;country;stateprovince,,agriculture ministry,Kenya,-0.023559,37.906193,AgricultureMinistry,Kenyan agriculture ministry,,eng_dgm_agr_mentioner_government,b3f3c99f17e7bd059ef17cbf8c62a993,eng_dgm_agr_mentioner_government__b3f3c99f17e7bd059ef17cbf8c62a993
mawlr_nam,Namibian agriculture ministry,namibia,namibia;country;stateprovince,,agriculture ministry,Namibia,-22.95764,18.49041,AgricultureMinistry,Namibian agriculture ministry,,eng_dgm_agr_mentioner_government,cbf482b1b2a1618a1f5f4bedaeda47b0,eng_dgm_agr_mentioner_government__cbf482b1b2a1618a1f5f4bedaeda47b0
mpi_nz,New Zealand agriculture ministry,new zealand,new zealand;country;stateprovince,,agriculture ministry,New Zealand,-40.900557,174.885971,AgricultureMinistry,New Zealand agriculture ministry,,eng_dgm_agr_mentioner_government,9ae3f482ffd12fc69d8dde1ccd8f637f,eng_dgm_agr_mentioner_government__9ae3f482ffd12fc69d8dde1ccd8f637f
fmardng,Nigerian agriculture ministry,nigeria,nigeria;country;stateprovince,,agriculture ministry,Nigeria,9.081999,8.675277,AgricultureMinistry,Nigerian agriculture ministry,,eng_dgm_agr_mentioner_government,e1d729f3991434c7c38d3316db0c32e2,eng_dgm_agr_mentioner_government__e1d729f3991434c7c38d3316db0c32e2
malf_tt,Trinidad and Tobago agriculture ministry,trinidad and tobago,trinidad;country;stateprovince,,agriculture ministry,Trinidad and Tobago,10.691803,-61.222503,AgricultureMinistry,Trinidad and Tobago agriculture ministry,,eng_dgm_agr_mentioner_government,275fd3b94cc6c73fec823bfbcd5c4f5a,eng_dgm_agr_mentioner_government__275fd3b94cc6c73fec823bfbcd5c4f5a
maaif_uganda,Ugandan agriculture ministry,uganda,uganda;country;stateprovince,,agriculture ministry,Uganda,1.373333,32.290275,AgricultureMinistry,Ugandan agriculture ministry,,eng_dgm_agr_mentioner_government,f3c7ef64015a3f13a5add39d9c22dbd5,eng_dgm_agr_mentioner_government__f3c7ef64015a3f13a5add39d9c22dbd5
defragovuk,"UK Department for Environment, Food and Rural Affairs",united kingdom,uk;country;stateprovince,,agriculture ministry,United Kingdom,55.378051,-3.435973,AgricultureMinistry,"UK Department for Environment, Food and Rural Affairs",,eng_dgm_agr_mentioner_government,b8f7ba7026a992d900dc2fb7fb9d882d,eng_dgm_agr_mentioner_government__b8f7ba7026a992d900dc2fb7fb9d882d
d_littleproudmp,Australian Minister for Agriculture,australia,australia;country;stateprovince,,agriculture minister,Australia,-25.274398,133.775136,AgricultureMinister,Australian Minister for Agriculture,,eng_dgm_agr_mentioner_government,59354cf9db2a6ad5d3734ac611c41de3,eng_dgm_agr_mentioner_government__59354cf9db2a6ad5d3734ac611c41de3
thokodidiza,South African agriculture minister,south africa,south africa;country;stateprovince,,agriculture minister,South Africa,-30.559482,22.937506,AgricultureMinister,South African agriculture minister,,eng_dgm_agr_mentioner_government,0af81b1ec074c1868234cf67ba054d68,eng_dgm_agr_mentioner_government__0af81b1ec074c1868234cf67ba054d68
secvilsack,US Agriculture Secretary,united states,us;country;stateprovince,,agriculture minister,United States of America,37.09024,-95.712891,AgricultureMinister,US Agriculture Secretary,,eng_dgm_agr_mentioner_government,6690534359af868bd9a79bd9f6d5f8e3,eng_dgm_agr_mentioner_government__6690534359af868bd9a79bd9f6d5f8e3
michaelpintard,Bahamas agriculture minister,bahamas,bahamas;country;stateprovince,,agriculture minister,Bahamas,25.03428,-77.39628,AgricultureMinister,Bahamas agriculture minister,,eng_dgm_agr_mentioner_government,e34ef44010ad5b71115ba7fa4f18c0e0,eng_dgm_agr_mentioner_government__e34ef44010ad5b71115ba7fa4f18c0e0
andrigeogeo,Cypriot agriculture minister,cyprus,cyprus;country;stateprovince,,agriculture minister,Cyprus,35.126413,33.429859,AgricultureMinister,Cypriot agriculture minister,,eng_dgm_agr_mentioner_government,f6c288f7c417e5d11e90c08608fb5678,eng_dgm_agr_mentioner_government__f6c288f7c417e5d11e90c08608fb5678
fidelngrant,Dominica agriculture minister,dominica,dominica;country;stateprovince,,agriculture minister,Dominica,15.414999,-61.370976,AgricultureMinister,Dominica agriculture minister,,eng_dgm_agr_mentioner_government,0afc9142b82745ffb854a18dbe85a719,eng_dgm_agr_mentioner_government__0afc9142b82745ffb854a18dbe85a719
afriyie_akoto,Ghanaian agriculture minister,ghana,ghana;country;stateprovince,,agriculture minister,Ghana,7.946527,-1.023194,AgricultureMinister,Ghanaian agriculture minister,,eng_dgm_agr_mentioner_government,8664805d8f3a640ebe8bcb2ef6b23b1a,eng_dgm_agr_mentioner_government__8664805d8f3a640ebe8bcb2ef6b23b1a
mcconalogue,Irish Minister for Agriculture,ireland,ireland;country;stateprovince,,agriculture minister,Ireland,53.1423672,-7.6920536,AgricultureMinister,Irish Minister for Agriculture,,eng_dgm_agr_mentioner_government,96716af36eeb535b318df7f914a450f8,eng_dgm_agr_mentioner_government__96716af36eeb535b318df7f914a450f8
floydgreenja,Jamaican agriculture minister,jamaica,jamaica;country;stateprovince,,agriculture minister,Jamaica,18.109581,-77.297508,AgricultureMinister,Jamaican agriculture minister,,eng_dgm_agr_mentioner_government,f467d3071612b14860a73df765cf2ca2,eng_dgm_agr_mentioner_government__f467d3071612b14860a73df765cf2ca2
petermunya,Kenyan agriculture minister,kenya,kenya;country;stateprovince,,agriculture minister,Kenya,-0.023559,37.906193,AgricultureMinister,Kenyan agriculture minister,,eng_dgm_agr_mentioner_government,63486d85a10e8c8e76fbbcc8167c88a5,eng_dgm_agr_mentioner_government__63486d85a10e8c8e76fbbcc8167c88a5
chgschlettwein,Namibian agriculture minister,namibia,namibia;country;stateprovince,,agriculture minister,Namibia,-22.95764,18.49041,AgricultureMinister,Namibian agriculture minister,,eng_dgm_agr_mentioner_government,fd6613f9f90e258c93686693a2343a43,eng_dgm_agr_mentioner_government__fd6613f9f90e258c93686693a2343a43
damienoconnormp,New Zealand agriculture minister,new zealand,new zealand;country;stateprovince,,agriculture minister,New Zealand,-40.900557,174.885971,AgricultureMinister,New Zealand agriculture minister,,eng_dgm_agr_mentioner_government,b64a7dfda0407d242b541a9725e9ab8f,eng_dgm_agr_mentioner_government__b64a7dfda0407d242b541a9725e9ab8f
nanonosabo,Nigerian agriculture minister,nigeria,nigeria;country;stateprovince,,agriculture minister,Nigeria,9.081999,8.675277,AgricultureMinister,Nigerian agriculture minister,,eng_dgm_agr_mentioner_government,6e8a37a06d724fee8d481256af2a8d0c,eng_dgm_agr_mentioner_government__6e8a37a06d724fee8d481256af2a8d0c
sabotoc,Saint Vincent and the Grenadines agriculture minister,saint vincent and the grenadines,saint vincent;country;stateprovince,,agriculture minister,Saint Vincent and the Grenadines,12.984305,-61.287228,AgricultureMinister,Saint Vincent and the Grenadines agriculture minister,,eng_dgm_agr_mentioner_government,e9bf259900fa015483ca007af30db1fd,eng_dgm_agr_mentioner_government__e9bf259900fa015483ca007af30db1fd
clarence4mayaro,Trinidad and Tobago agriculture minister,trinidad and tobago,trinidad ;country;stateprovince,,agriculture minister,Trinidad and Tobago,10.691803,-61.222503,AgricultureMinister,Trinidad and Tobago agriculture minister,,eng_dgm_agr_mentioner_government,ae3586c72d5799d3b82838473c97f10e,eng_dgm_agr_mentioner_government__ae3586c72d5799d3b82838473c97f10e
hon_ssempijja,Ugandan agriculture minister,uganda,uganda;country;stateprovince,,agriculture minister,Uganda,1.373333,32.290275,AgricultureMinister,Ugandan agriculture minister,,eng_dgm_agr_mentioner_government,000a1233fcd7358df1a9a5116d2f91ae,eng_dgm_agr_mentioner_government__000a1233fcd7358df1a9a5116d2f91ae
alaagriculture,Alabama Department of Agriculture,alabama,alabama;country;stateprovince,,sub-national agriculture ministry,Alabama,32.3182314,-86.902298,Sub-nationalAgricultureMinistry,Alabama Department of Agriculture,,eng_dgm_agr_mentioner_government,3b216b8c638925407e9a41fec6efceba,eng_dgm_agr_mentioner_government__3b216b8c638925407e9a41fec6efceba
dnralaskagrown,Alaska Division of Agriculture,alaska,alaska;country;stateprovince,,sub-national agriculture ministry,Alaska,64.2008413,-149.4936733,Sub-nationalAgricultureMinistry,Alaska Division of Agriculture,,eng_dgm_agr_mentioner_government,09d803a0154da567a27aefb98912eaa3,eng_dgm_agr_mentioner_government__09d803a0154da567a27aefb98912eaa3
azagriculture,Arizona Department of Agriculture,arizona,arizona;country;stateprovince,,sub-national agriculture ministry,Arizona,34.0489281,-111.0937311,Sub-nationalAgricultureMinistry,Arizona Department of Agriculture,,eng_dgm_agr_mentioner_government,563ee6343d0626ee5c75a959fe9c11af,eng_dgm_agr_mentioner_government__563ee6343d0626ee5c75a959fe9c11af
ardeptofagricul,Arkansas Department of Agriculture,arkansas,arkansas;country;stateprovince,,sub-national agriculture ministry,Arkansas,35.20105,-91.8318334,Sub-nationalAgricultureMinistry,Arkansas Department of Agriculture,,eng_dgm_agr_mentioner_government,88bd3edcfc4b7a3007703867fa4767c5,eng_dgm_agr_mentioner_government__88bd3edcfc4b7a3007703867fa4767c5
cdfanews,California Department of Food and Agriculture,california,california;country;stateprovince,,sub-national agriculture ministry,California,36.778261,-119.4179324,Sub-nationalAgricultureMinistry,California Department of Food and Agriculture,,eng_dgm_agr_mentioner_government,a9d32aa3828de3908f49989994ccf010,eng_dgm_agr_mentioner_government__a9d32aa3828de3908f49989994ccf010
