term,caption_name,Type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
us2somalia,U.S. Mission to Somalia,Diplomatic Facilities,DiplomaticFacilities,U.S. Mission to Somalia,,entertainment_mentionee,fed2d654d96baa07b4532337a4127d6b,entertainment_mentionee__fed2d654d96baa07b4532337a4127d6b
usembassyharare,U.S. Embassy in Zimbabwe,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Zimbabwe,,entertainment_mentionee,012b13fcb2eec4c04e1d20aa82841b0e,entertainment_mentionee__012b13fcb2eec4c04e1d20aa82841b0e
usembassyyemen,U.S. Embassy in Yemen,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Yemen,,entertainment_mentionee,c52cb531dda87d061d1c69be4cc3ab6a,entertainment_mentionee__c52cb531dda87d061d1c69be4cc3ab6a
dnrosenblum,U.S. Embassy in Uzbekistan,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Uzbekistan,,entertainment_mentionee,b38f48ed0e3602e69faeeb496696f86f,entertainment_mentionee__b38f48ed0e3602e69faeeb496696f86f
usambuganda,U.S. Embassy in Uganda,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Uganda,,entertainment_mentionee,240452425492fd2d9910831af6d7d5cd,entertainment_mentionee__240452425492fd2d9910831af6d7d5cd
usembassyturkey,U.S. Embassy in Turkey,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Turkey,,entertainment_mentionee,1eb235fce7cc94dd867f6a6e25e72573,entertainment_mentionee__1eb235fce7cc94dd867f6a6e25e72573
usembassytunis,U.S. Embassy in Tunisia,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Tunisia,,entertainment_mentionee,abe2303f8220cc64912ad1aa6282232b,entertainment_mentionee__abe2303f8220cc64912ad1aa6282232b
usembassylome,U.S. Embassy in Togo,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Togo,,entertainment_mentionee,83fa41ec6dac77b6c9f22746e2d29583,entertainment_mentionee__83fa41ec6dac77b6c9f22746e2d29583
usembassydili,U.S. Embassy in Timor-Leste,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Timor-Leste,,entertainment_mentionee,f93db10a5fe6788cc796be1e39148b2a,entertainment_mentionee__f93db10a5fe6788cc796be1e39148b2a
usembassykg,U.S. Embassy in the Kyrgyz Republic,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in the Kyrgyz Republic,,entertainment_mentionee,9a5e6bbcefd3631d102c960c3a15651c,entertainment_mentionee__9a5e6bbcefd3631d102c960c3a15651c
usembassybanjul,U.S. Embassy in The Gambia,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in The Gambia,,entertainment_mentionee,877854c7c58877345cb6c7c2e47d9387,entertainment_mentionee__877854c7c58877345cb6c7c2e47d9387
usembassyfsm,U.S. Embassy in the Federated States of Micronesia,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in the Federated States of Micronesia,,entertainment_mentionee,754cdac54cc3bc849267787779950e48,entertainment_mentionee__754cdac54cc3bc849267787779950e48
usambcar,U.S. Embassy in the Central African Republic,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in the Central African Republic,,entertainment_mentionee,cfe8b745ff3bd563386195f8ed785e26,entertainment_mentionee__cfe8b745ff3bd563386195f8ed785e26
usambtanzania,U.S. Embassy in Tanzania,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Tanzania,,entertainment_mentionee,2dc29e091359f56880a34d15c9464234,entertainment_mentionee__2dc29e091359f56880a34d15c9464234
usembdushanbe,U.S. Embassy in Tajikistan,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Tajikistan,,entertainment_mentionee,142ad355c21b917dcf0675c78f9e3942,entertainment_mentionee__142ad355c21b917dcf0675c78f9e3942
usembassyparbo,U.S. Embassy in Suriname,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Suriname,,entertainment_mentionee,ebe4f979eea399fc36575ec23f88eb9f,entertainment_mentionee__ebe4f979eea399fc36575ec23f88eb9f
usembfreetown,U.S. Embassy in Sierra Leone,Diplomatic Facilities,DiplomaticFacilities,U.S. Embassy in Sierra Leone,,entertainment_mentionee,ede2ae7ea5b28114270178c8b3361393,entertainment_mentionee__ede2ae7ea5b28114270178c8b3361393
