handle,caption_name,location,Type,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
theellenshow,Ellen DeGeneres,United States,Entertainment,united states,Entertainment,Ellen DeGeneres,,entertainment_mentioner,156daca003aa52ff09064d00bdb270da,entertainment_mentioner__156daca003aa52ff09064d00bdb270da
jtimberlake,Justin Timberlake,United States,Entertainment,united states,Entertainment,Justin Timberlake,,entertainment_mentioner,1629c2fdb3159e4ae19de0d2fca5f3be,entertainment_mentioner__1629c2fdb3159e4ae19de0d2fca5f3be
jimmyfallon,Jimmy Fallon,United States,Entertainment,united states,Entertainment,Jimmy Fallon,,entertainment_mentioner,fd7e09b4978dba776845f8e81ba81ce8,entertainment_mentioner__fd7e09b4978dba776845f8e81ba81ce8
srbachchan,Amitabh Bachchan,United States,Entertainment,united states,Entertainment,Amitabh Bachchan,,entertainment_mentioner,932dfd6c1a26edcedfda25512fcc62ce,entertainment_mentioner__932dfd6c1a26edcedfda25512fcc62ce
oprah,Oprah Winfrey,United States,Entertainment,united states,Entertainment,Oprah Winfrey,,entertainment_mentioner,7e4501be8c8f669de353b9e760830a50,entertainment_mentioner__7e4501be8c8f669de353b9e760830a50
beingsalmankhan,Salman Khan,United States,Entertainment,united states,Entertainment,Salman Khan,,entertainment_mentioner,bf12df055b6319f70d9ecf62fabd4ca7,entertainment_mentioner__bf12df055b6319f70d9ecf62fabd4ca7
iamsrk,Shah Rukh Khan,United States,Entertainment,united states,Entertainment,Shah Rukh Khan,,entertainment_mentioner,80fa1026571b4b2134f10b24764c802c,entertainment_mentioner__80fa1026571b4b2134f10b24764c802c
niallofficial,Niall Horan,United States,Entertainment,united states,Entertainment,Niall Horan,,entertainment_mentioner,54fa4b171d28e17ee35e1e891f270a4d,entertainment_mentioner__54fa4b171d28e17ee35e1e891f270a4d
drake,Drake,United States,Entertainment,united states,Entertainment,Drake,,entertainment_mentioner,b150f254e79816bcde37b04180539289,entertainment_mentioner__b150f254e79816bcde37b04180539289
kevinhart4real,Kevin Hart,United States,Entertainment,united states,Entertainment,Kevin Hart,,entertainment_mentioner,72bb151730fa9520c8cb7bbb0f0b4e14,entertainment_mentioner__72bb151730fa9520c8cb7bbb0f0b4e14
wizkhalifa,Wiz Khalifa,United States,Entertainment,united states,Entertainment,Wiz Khalifa,,entertainment_mentioner,3fcede0b05060d496a3ab1d0f80a8dd0,entertainment_mentioner__3fcede0b05060d496a3ab1d0f80a8dd0
harry_styles,Harry Styles,United States,Entertainment,united states,Entertainment,Harry Styles,,entertainment_mentioner,45ebbb129017c1701ce01ae36f46c203,entertainment_mentioner__45ebbb129017c1701ce01ae36f46c203
louis_tomlinson,Louis Tomlinson,United States,Entertainment,united states,Entertainment,Louis Tomlinson,,entertainment_mentioner,b451ea68902a761e4585b61616a82891,entertainment_mentioner__b451ea68902a761e4585b61616a82891
liltunechi,Lil Wayne,United States,Entertainment,united states,Entertainment,Lil Wayne,,entertainment_mentioner,62ecce73e8f5b427fd4516b20f18da6e,entertainment_mentioner__62ecce73e8f5b427fd4516b20f18da6e
liampayne,Liam,United States,Entertainment,united states,Entertainment,Liam,,entertainment_mentioner,b723ec00f1a277fc71e5644eea40af38,entertainment_mentioner__b723ec00f1a277fc71e5644eea40af38
bts_twt,BTS,United States,Entertainment,united states,Entertainment,BTS,,entertainment_mentioner,e66b8a0acab164bdbf805b19348be653,entertainment_mentioner__e66b8a0acab164bdbf805b19348be653
chrisbrown,Chris Brown,United States,Entertainment,united states,Entertainment,Chris Brown,,entertainment_mentioner,86517b0d724548d323c8dc0a9397de31,entertainment_mentioner__86517b0d724548d323c8dc0a9397de31
pink,Pink,United States,Entertainment,united states,Entertainment,Pink,,entertainment_mentioner,8dc5344bc0746e1cc5abf896ca03bbdf,entertainment_mentioner__8dc5344bc0746e1cc5abf896ca03bbdf
onedirection,One Direction,United States,Entertainment,united states,Entertainment,One Direction,,entertainment_mentioner,88f80198047620cb1a5bf1dd50759e1b,entertainment_mentioner__88f80198047620cb1a5bf1dd50759e1b
zaynmalik,Zayn Malik,United States,Entertainment,united states,Entertainment,Zayn Malik,,entertainment_mentioner,c173ef7ed640ff0d594ed2a666f0fcfc,entertainment_mentioner__c173ef7ed640ff0d594ed2a666f0fcfc
aliciakeys,Alicia Keys,United States,Entertainment,united states,Entertainment,Alicia Keys,,entertainment_mentioner,730b13765787de9db7383734b8db253b,entertainment_mentioner__730b13765787de9db7383734b8db253b
ihrithik,Hrithik Roshan,United States,Entertainment,united states,Entertainment,Hrithik Roshan,,entertainment_mentioner,0c94e386f9074ecf0564f978535eb42a,entertainment_mentioner__0c94e386f9074ecf0564f978535eb42a
emmawatson,Emma Watson,United States,Entertainment,united states,Entertainment,Emma Watson,,entertainment_mentioner,c0efd98e7074447769ec799104f2e94d,entertainment_mentioner__c0efd98e7074447769ec799104f2e94d
conanobrien,Conan O'Brien,United States,Entertainment,united states,Entertainment,Conan O'Brien,,entertainment_mentioner,e1c0e5f7a65c7c54c2397f424cced96a,entertainment_mentioner__e1c0e5f7a65c7c54c2397f424cced96a
deepikapadukone,Deepika Padukone,United States,Entertainment,united states,Entertainment,Deepika Padukone,,entertainment_mentioner,eab2b13289ab67f463d0c8c62856c13f,entertainment_mentioner__eab2b13289ab67f463d0c8c62856c13f
bts_bighit,South Korean boy band BTS,United States,Entertainment,united states,Entertainment,South Korean boy band BTS,,entertainment_mentioner,c0eed04597cf2cf777660c0db7e14735,entertainment_mentioner__c0eed04597cf2cf777660c0db7e14735
priyankachopra,Priyanka Chopra,United States,Entertainment,united states,Entertainment,Priyanka Chopra,,entertainment_mentioner,51ae3a92ba49c90bd9b0d48565cba5ee,entertainment_mentioner__51ae3a92ba49c90bd9b0d48565cba5ee
aamir_khan,Aamir Khan,United States,Entertainment,united states,Entertainment,Aamir Khan,,entertainment_mentioner,a0bc3cd5d65f0bdc7f812a022b8f1852,entertainment_mentioner__a0bc3cd5d65f0bdc7f812a022b8f1852
actuallynph,Neil Patrick Harris,United States,Entertainment,united states,Entertainment,Neil Patrick Harris,,entertainment_mentioner,c7b680f114a3659e761abbcc55a23732,entertainment_mentioner__c7b680f114a3659e761abbcc55a23732
pitbull,Pitbull,United States,Entertainment,united states,Entertainment,Pitbull,,entertainment_mentioner,945ec354a9710c53c2dea169b33431ff,entertainment_mentioner__945ec354a9710c53c2dea169b33431ff
danieltosh,Comedian Daniel Tosh,United States,Entertainment,united states,Entertainment,Comedian Daniel Tosh,,entertainment_mentioner,863b00bcf8aec0caa28c8729f7f89a52,entertainment_mentioner__863b00bcf8aec0caa28c8729f7f89a52
arrahman,AR Rahman,United States,Entertainment,united states,Entertainment,AR Rahman,,entertainment_mentioner,8062a0445a196230f5634f4b066af493,entertainment_mentioner__8062a0445a196230f5634f4b066af493
coldplay,Coldplay,United States,Entertainment,united states,Entertainment,Coldplay,,entertainment_mentioner,aa968850a9d255494612acd0552f8fcd,entertainment_mentioner__aa968850a9d255494612acd0552f8fcd
anushkasharma,Anushka Sharma,United States,Entertainment,united states,Entertainment,Anushka Sharma,,entertainment_mentioner,65a65f4e6b6f73ce22adaa1a4fe84855,entertainment_mentioner__65a65f4e6b6f73ce22adaa1a4fe84855
nickiminaj,Nicki Minaj,United States,Entertainment,united states,Entertainment,Nicki Minaj,,entertainment_mentioner,206852b9306afa2b3c5dc232aab226f1,entertainment_mentioner__206852b9306afa2b3c5dc232aab226f1
avrillavigne,Avril Lavigne,United States,Entertainment,united states,Entertainment,Avril Lavigne,,entertainment_mentioner,b64a9394ec249c24e1ced4123ec9edd0,entertainment_mentioner__b64a9394ec249c24e1ced4123ec9edd0
aliaa08,Alia Bhatt,United States,Entertainment,united states,Entertainment,Alia Bhatt,,entertainment_mentioner,a71e5caa058d3887132622ed4c5467ba,entertainment_mentioner__a71e5caa058d3887132622ed4c5467ba
davidguetta,David Guetta,United States,Entertainment,united states,Entertainment,David Guetta,,entertainment_mentioner,bb28f8c4a84586e2eb1c3d092ab94f4b,entertainment_mentioner__bb28f8c4a84586e2eb1c3d092ab94f4b
