french_word,caption_text,additional_topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
accident,crash,188130,Consulates,crash,,french_fire_event,dcaa9fd4f23aaf0c29f540becf35b46f,french_fire_event__dcaa9fd4f23aaf0c29f540becf35b46f
accident chantier,serious crash,188130,Media,serious crash,,french_fire_event,ba74fc1de09c0a39ea1800c6534d2788,french_fire_event__ba74fc1de09c0a39ea1800c6534d2788
accident de circulation,crash,188130,ForeignMinistry,crash,,french_fire_event,dcaa9fd4f23aaf0c29f540becf35b46f,french_fire_event__dcaa9fd4f23aaf0c29f540becf35b46f
accident de la circulation,crash,188130,AAEntity,crash,,french_fire_event,dcaa9fd4f23aaf0c29f540becf35b46f,french_fire_event__dcaa9fd4f23aaf0c29f540becf35b46f
accident de moto,motorcycle crash,188130,LegislativeCommittee,motorcycle crash,,french_fire_event,10bf04f3ae64146c5dec9b520b428b3f,french_fire_event__10bf04f3ae64146c5dec9b520b428b3f
accident deux roues,motorcycle crash,188130,space,motorcycle crash,,french_fire_event,10bf04f3ae64146c5dec9b520b428b3f,french_fire_event__10bf04f3ae64146c5dec9b520b428b3f
accident deux véhicules,two vehicles involved in crash,188130,Media,two vehicles involved in crash,,french_fire_event,974f08cd4b80a7e7aa2ec9729eace071,french_fire_event__974f08cd4b80a7e7aa2ec9729eace071
accident grave,serious crash,188130,DiplomaticFacilities,serious crash,,french_fire_event,ba74fc1de09c0a39ea1800c6534d2788,french_fire_event__ba74fc1de09c0a39ea1800c6534d2788
accident grave de circulation,serious crash,188130,News,serious crash,,french_fire_event,ba74fc1de09c0a39ea1800c6534d2788,french_fire_event__ba74fc1de09c0a39ea1800c6534d2788
accident impliquant un motard,motorcycle crash,188130,Legislator,motorcycle crash,,french_fire_event,10bf04f3ae64146c5dec9b520b428b3f,french_fire_event__10bf04f3ae64146c5dec9b520b428b3f
accident sur un chantier,crash,188130,ForeignMinistry,crash,,french_fire_event,dcaa9fd4f23aaf0c29f540becf35b46f,french_fire_event__dcaa9fd4f23aaf0c29f540becf35b46f
accidents,accident,188130,Organization,accident,,french_fire_event,8876489ce00d6d9fdf61ed1c773f047e,french_fire_event__8876489ce00d6d9fdf61ed1c773f047e
automobiliste tué,fatal crash,188130,CompanyKeyword,fatal crash,,french_fire_event,5b7d4d4148d0c6f8c1f59860ecd9df6a,french_fire_event__5b7d4d4148d0c6f8c1f59860ecd9df6a
avp,crash,188130,Person,crash,,french_fire_event,dcaa9fd4f23aaf0c29f540becf35b46f,french_fire_event__dcaa9fd4f23aaf0c29f540becf35b46f
avp moto,motorcycle crash,188130,ForeignMinister,motorcycle crash,,french_fire_event,10bf04f3ae64146c5dec9b520b428b3f,french_fire_event__10bf04f3ae64146c5dec9b520b428b3f
avp poids-lourd,truck crash,188130,Pipeline,truck crash,,french_fire_event,77a7eb62c4e51b92924e1df4e7dfa003,french_fire_event__77a7eb62c4e51b92924e1df4e7dfa003
avp scooter,scooter crash,188130,Media,scooter crash,,french_fire_event,4020399c3f0586dbe89ee9a42e8b8c2f,french_fire_event__4020399c3f0586dbe89ee9a42e8b8c2f
bombe chantier,WW2-era ordnance discovered,188130,ForeignMinister,WW2-era ordnance discovered,,french_fire_event,7a6faa2b8e790ba79e6a5b188fc741a6,french_fire_event__7a6faa2b8e790ba79e6a5b188fc741a6
bombe sur le chantier,WW2-era ordnance discovered,188130,News,WW2-era ordnance discovered,,french_fire_event,7a6faa2b8e790ba79e6a5b188fc741a6,french_fire_event__7a6faa2b8e790ba79e6a5b188fc741a6
bus incendie,bus fire,188130,Exec,bus fire,,french_fire_event,1de7b1336dd646b34d89ef10284d6be0,french_fire_event__1de7b1336dd646b34d89ef10284d6be0
camion en feu,truck on fire,188130,Refinery,truck on fire,,french_fire_event,8ac4fafca190ad887173c864e9f49153,french_fire_event__8ac4fafca190ad887173c864e9f49153
camion incendie,truck fire,188130,Refinery,truck fire,,french_fire_event,12ce05e12418dfa11d9978a2ba2e5574,french_fire_event__12ce05e12418dfa11d9978a2ba2e5574
